bot,stance,followers_deg,followers_hom,followings_deg,followings_hom,mentionings_deg,mentionings_hom,mentioners_deg,mentioners_hom,replyings_deg,replyings_hom,replyers_deg,replyers_hom,quotings_deg,quotings_hom,quoters_deg,quoters_hom
0,1,19,1.0,46,1.0,0,,0,,0,,0,,0,,0,
0,2,1,0.0,6,0.5,4,0.25,1,1.0,88,0.9886363744735718,87,1.0,0,,0,
0,0,5,0.4000000059604645,110,0.15454545617103577,0,,0,,1,1.0,1,1.0,0,,0,
1,0,0,,0,,1,1.0,3,1.0,0,,0,,0,,0,
0,2,23,0.695652186870575,20,0.550000011920929,0,,13,0.8461538553237915,12,1.0,17,0.8823529481887817,3,0.3333333432674408,1,1.0
0,1,35,1.0,38,1.0,19,0.8421052694320679,0,,0,,0,,5,1.0,0,
0,1,49,0.3265306055545807,15,0.5333333611488342,8,0.75,3,0.6666666865348816,22,1.0,22,1.0,6,1.0,6,1.0
1,0,0,,0,,0,,0,,0,,0,,0,,0,
0,0,2,0.5,1,0.0,1,1.0,2,1.0,2,1.0,2,1.0,0,,0,
0,2,2,0.5,25,0.03999999910593033,1,0.0,0,,131,1.0,131,1.0,0,,0,
0,2,0,,0,,2,0.5,0,,1,1.0,1,1.0,0,,0,
0,1,8,1.0,55,0.8727272748947144,32,0.875,2,1.0,87,0.9885057210922241,66,1.0,3,1.0,3,1.0
0,1,415,0.9975903630256653,437,0.9954233169555664,40,0.9750000238418579,7,1.0,4,1.0,0,,8,1.0,0,
0,0,0,,3,0.0,2,0.5,1,1.0,0,,0,,0,,0,
1,0,0,,5,0.20000000298023224,1,0.0,0,,0,,0,,0,,0,
0,1,51,0.9607843160629272,368,0.9619565010070801,0,,0,,0,,0,,0,,0,
0,0,1,0.0,1,0.0,1,1.0,1,1.0,0,,0,,6,1.0,6,1.0
0,2,111,0.8918918967247009,64,0.75,7,1.0,22,0.9545454382896423,6,1.0,22,0.6363636255264282,1,1.0,3,1.0
0,2,0,,10,0.30000001192092896,0,,0,,11,1.0,11,1.0,0,,0,
0,2,22,0.6818181872367859,25,0.36000001430511475,2,1.0,3,0.6666666865348816,3,1.0,4,0.75,4,1.0,11,0.3636363744735718
0,0,3,1.0,9,0.6666666865348816,0,,0,,3,1.0,3,1.0,1,1.0,1,1.0
0,1,14,0.6428571343421936,6,0.6666666865348816,5,1.0,2,1.0,42,1.0,41,1.0,19,1.0,18,1.0
0,1,94,0.7553191781044006,101,0.7623762488365173,21,0.9047619104385376,230,0.852173924446106,54,0.9814814925193787,77,0.9610389471054077,6,1.0,170,0.9176470637321472
0,1,71,1.0,225,1.0,13,1.0,10,1.0,2,1.0,1,1.0,2,1.0,0,
0,1,81,1.0,105,1.0,17,0.8823529481887817,0,,0,,0,,2,1.0,0,
0,1,8,1.0,64,0.9375,0,,0,,0,,0,,0,,0,
0,0,0,,11,0.1818181872367859,2,0.5,1,1.0,0,,0,,0,,0,
0,2,0,,3,0.0,2,0.0,0,,19,1.0,19,1.0,0,,0,
0,0,12,0.9166666865348816,8,0.75,0,,0,,48,1.0,48,1.0,1,1.0,1,1.0
1,1,3,1.0,14,0.9285714030265808,21,0.9523809552192688,0,,0,,0,,0,,0,
0,0,0,,1,0.0,0,,1,0.0,0,,0,,0,,0,
0,1,85,0.6941176652908325,37,0.837837815284729,14,0.8571428656578064,38,0.9473684430122375,133,1.0,163,1.0,6,1.0,11,1.0
1,1,19,0.9473684430122375,55,0.9272727370262146,40,0.8999999761581421,0,,2,1.0,1,1.0,15,0.9333333373069763,0,
0,2,4,1.0,44,0.8181818127632141,7,0.8571428656578064,3,1.0,14,0.9285714030265808,12,1.0,6,0.8333333134651184,0,
0,0,2,0.5,0,,1,1.0,1,1.0,0,,0,,0,,0,
1,0,0,,9,0.1111111119389534,0,,0,,0,,0,,0,,0,
0,0,0,,2,0.0,0,,0,,2,1.0,2,1.0,0,,0,
0,1,11,1.0,165,0.8727272748947144,48,0.875,1,0.0,45,0.7555555701255798,4,0.25,6,1.0,0,
0,1,41,1.0,74,0.9729729890823364,141,0.914893627166748,5,1.0,35,1.0,17,1.0,94,0.978723406791687,0,
0,2,0,,4,0.25,1,0.0,0,,3,1.0,3,1.0,0,,0,
0,2,4,0.0,14,0.4285714328289032,7,0.2857142984867096,0,,0,,0,,0,,0,
0,2,25,0.7200000286102295,26,0.3461538553237915,6,0.5,11,0.7272727489471436,71,0.98591548204422,72,0.9583333134651184,11,1.0,13,1.0
