id,label
u2704715387,human
u1483909830159085571,human
u753165526566899713,human
u5932762,human
u1005804188238934017,human
u18783525,human
u1281284856127897604,human
u1014513206478426112,human
u2234457766,human
u262343673,bot
u995329809822765058,human
u1395262745159815174,human
u1540623062,human
u1123606100413014016,bot
u951751049391558656,human
u27635954,human
u32492934,human
u1136185025068752896,human
u3287999704,human
u1029392984842719233,human
u107770718,human
u1483899937830146058,human
u417053258,human
u36333739,human
u3128688292,human
u1131862796105388033,human
u1169879005408817153,human
u1130945249659039744,human
u2385884246,human
u2865007695,human
u46276118,human
u2726856502,human
u35034750,human
u1408791409780473870,human
u1167120000286523392,human
u159169086,human
u2372296831,human
u3025143731,human
u941102447686180869,human
u381289719,human
u329342299,human
u3158071445,human
u3741979273,human
u1338871486183051269,human
u1301635162967429120,human
u792043180258570240,human
u725576392537067520,human
u1389876718047875073,bot
u234133984,human
u1117675617376358400,bot
u1921682646,human
u935152012576067585,human
u457102747,human
u836678619166486529,human
u2546418373,human
u1278589381553426433,human
u3315496315,human
u121853212,human
u756129,human
u775485757679017985,human
u1924550256,human
u974697596085329921,human
u2956121356,human
u1442861452084191235,bot
u1361391454237597696,human
u750848688675782657,bot
u878315447048839168,human
u808051518242979841,human
u863109518,human
u1107734489818714113,human
u909451577999724544,human
u540223123,human
u1063595899153199104,human
u160634046,human
u3568748296,human
u2264368966,human
u19783561,human
u148465548,human
u621543,human
u1480199599889526784,human
u14243046,human
u8724862,human
u1136840119866945536,human
u2678253282,human
u447342992,human
u1475871142619623424,human
u1280332915885453312,human
u2415767978,human
u1433385218,human
u225506157,human
u700435442982895617,human
u246380574,human
u183280073,human
u7637292,human
u1164464202846625792,human
u1251631538975858688,human
u3029951,bot
u2370911419,human
u3227977716,bot
u258972661,human
u379953676,human
u26889413,bot
u15778644,human
u1118102668889575424,human
u1091479567800459264,human
u50722668,human
u587303527,human
u27503534,human
u3242991169,human
u2838767611,human
u87269548,human
u815656520193024000,human
u2890770580,human
u16232185,human
u1136617467151814657,human
u17396170,human
u843796077799243776,human
u1007218217633361920,human
u1170507797160554497,human
u91334387,human
u16245822,human
u746774587623497729,human
u14293310,human
u1106178800918953984,human
u191190317,human
u1126457618027962368,bot
u987753310441627648,human
u1412178678,human
u922617394379591680,human
u258087566,human
u1262864964072755201,human
u1414168497588998145,human
u124810572,human
u2492917412,human
u1976622337,bot
u594661781,human
u433622293,human
u184413447,bot
u1102052803638255617,human
u1179406524705333252,human
u1156564906289881091,bot
u2755969933,human
u24713327,human
u748185011191316480,human
u1427516209268858880,human
u1372878390672420867,human
u1093871985581572096,human
u1255160104250458112,human
u1418522924026417155,bot
u1393972126206644227,human
u1257367414641250307,human
u1437110339917828099,human
u852058527988428800,human
u1208028608209575939,human
u877856679303434244,human
u1031273115685466112,bot
u1433818532215730176,human
u1409043813943943172,human
u3473022974,bot
u2688973478,bot
u267753999,human
u1433505537396727816,human
u796974685288157184,human
u181041474,human
u458580088,human
u734922361242324992,human
u3141788489,human
u763206812636221440,bot
u17068286,human
u35410744,human
u417085651,human
u947800699,human
u1212524335174311936,human
u1060796083260047362,human
u1109943056420257794,human
u745011926158163968,human
u17393790,human
u1963452751,human
u302260456,human
u578844556,human
u138814032,human
u15608380,human
u304856046,human
u2737588808,human
u205323122,human
u194456924,human
u81995523,human
u446620951,human
u3192185109,human
u1005370056413413376,human
u71454567,human
u1485110511574589440,human
u710606442143883265,human
u16181396,human
u523332812,human
u225895485,human
u1443919701575409673,bot
u855697714021105664,human
u836912308127469570,human
u4926409928,human
u1681624476,human
u1128624282022629376,bot
u1181886724609323008,human
u1388152776002347008,human
u1120106966838333440,human
u1044725817908109312,human
u1234854495252774912,bot
u28818671,human
u1282014745,human
u290004768,human
u207465671,human
u301628954,human
u198194549,human
u937027385505058822,human
u2244891990,human
u318976741,human
u167040325,human
u179541638,human
u156981152,human
u1286341463597604864,human
u1168803431471091712,human
u1171690670786056192,human
u875776212341329920,human
u838315198612111360,human
u224043416,human
u2502019975,human
u1144616238808752129,human
u2561298974,human
u16887429,human
u597511633,human
u11296872,human
u30198750,human
u575932743,human
u3042711,human
u1047898380322701312,human
u811538725192826884,human
u7461152,human
u331297886,human
u875760348,human
u1588276453,human
u87657446,human
u750022168675688449,human
u713855504393617408,human
u574364219,human
u1321026715309789190,human
u4939401,human
u98652139,human
u995695514,human
u1280901258874884098,human
u2284917140,human
u3305395701,human
u19778050,human
u541741212,human
u3024749475,human
u1331701204234199042,human
u1240680148313288704,human
u1229052022885900290,human
u1170984406263246848,human
u17065799,human
u982767511698530304,human
u44874400,human
u413284225,human
u826688566134706177,human
u981915792886370304,human
u2975579890,human
u19090293,human
u4105240514,human
u713090149609934848,human
u1380426029139828740,bot
u1166362433763643392,human
u1448642086056566788,human
u1376447618918719492,human
u1106209087,human
u3305754231,human
u63815425,bot
u234764852,human
u992064945020907520,human
u732644550792097792,human
u1256568420134465536,human
u1060104844969758721,human
u1413545724978122753,human
u1432024457682378753,bot
u1232499645701672961,human
u1312718662969839617,human
u1001109752263462913,human
u415021912,human
u480404707,human
u953186687261134848,human
u1192371828750053376,human
u1232682548209344512,human
u1293209086939496448,human
u812926437032390656,human
u24001655,human
u2505271093,human
u92152953,human
u579684200,bot
u23227706,human
u854085236,human
u113502611,human
u1042810503238754304,human
u35354684,human
u818892614,human
u365414988,human
u1084955158407188488,bot
u1482181888676712449,human
u916457738963742720,human
u1096094896736428032,human
u29469782,human
u979830716258291714,human
u1021428436886343680,human
u1316019709,human
u892366930287497218,human
u47122016,human
u1043526602443960326,bot
u1063589010,human
u1277490265973022721,human
u23615111,bot
u14789042,human
u632815919,human
u16659187,human
u90497345,human
u17469266,human
u983500608115064832,human
u193659574,human
u953074060237393921,bot
u2325736448,bot
u20234549,human
u1408554274947207185,human
u14095344,human
u1425124199128084480,human
u83046427,bot
u790959772468072453,human
u1213867000771907585,bot
u785099695895015424,human
u2888895350,human
u1243086301324140544,human
u1362047552242274306,human
u3630851177,human
u126311742,human
u87410560,human
u3958405758,human
u4083531,human
u3365101,human
u1561251870,human
u195920016,human
u97753165,human
u736277537395904512,human
u322901183,bot
u68199818,human
u72231577,human
u476582730,human
u1447830879481516035,human
u765845,human
u760457994,human
u1143695244304814081,human
u1171350359350157312,human
u2232848496,human
u11974732,human
u1958671394,human
u445070647,human
u2307675307,human
u816646064493170688,human
u1383476748,human
u130797483,human
u247943231,bot
u769279457387540480,human
u1111600251939377152,bot
u1267051110721781761,human
u1236822020513505283,human
u937710988190765056,human
u101756062,human
u427089628,human
u1089422893270786048,human
u1312211184800718849,human
u930654436619366401,human
u1897970054,human
u1285134035946266624,bot
u1063073206620381187,human
u840746981190447105,human
u3225399275,human
u19805983,human
u134758540,human
u1483820144594153477,bot
u1537028058,human
u160571559,bot
u175282603,human
u747004731533443073,bot
u1943926213,human
u165905874,human
u1713417312,human
u110121475,human
u20831552,human
u3068484222,human
u69080516,human
u831282715,human
u792067425659260928,human
u104744479,human
u1205421834356830208,human
u816263912630996996,human
u2979535712,human
u599781263,human
u156656964,human
u4901650162,human
u50725778,human
u1192003193921654784,human
u1054895671164063744,human
u882601,human
u1455938994521444353,bot
u2810023685,human
u14361941,human
u3110551736,human
u1467973039883182090,human
u804279990636474368,human
u146536061,human
u271921448,human
u1473658785705168899,bot
u2801042705,human
u271516623,human
u752037990411694081,human
u1421256881314598915,human
u727155379772252160,human
u340445091,human
u180531306,human
u115091858,human
u188670183,human
u809479999296335872,human
u23155802,human
u351432837,human
u33836629,human
u2998896042,human
u378838718,human
u277551458,human
u1317244770830385158,bot
u3318185437,human
u927353167108497408,human
u1265364337612296192,human
u1131330113847595008,human
u1111603513820397568,human
u975848453271097344,human
u1240170150969688064,human
u178563985,human
u148814027,human
u757365218,human
u1358944872774782977,human
u1366129768869941249,bot
u200226529,human
u141369568,human
u1180871784297586688,human
u1158097052812894208,human
u994750783378874368,human
u909060166611558400,bot
u108621970,human
u981192783028396033,human
u340037000,human
u715751988,human
u1106906338704150528,human
u86292908,human
u65017689,human
u547871798,human
u51862212,human
u1467162809381253122,human
u1925927425,human
u97597139,human
u1350220454674329600,human
u556379155,human
u1195336767706148865,human
u1216393462062424066,human
u618128128,human
u988223928513585152,human
u1001155338589163523,human
u896190574960574464,human
u929732297414381568,human
u1033383109440356352,human
u1284897085846953986,human
u105530526,human
u876674644698427392,human
u1323681516812181508,human
u480875170,human
u363223261,human
u393705422,human
u416157837,human
u142368496,human
u14962763,human
u14860076,human
u2222286870,human
u524192316,human
u1430393813588226052,bot
u374934966,bot
u737883397,human
u1280585659699224576,human
u1169311344316882945,human
u2350358260,human
u1045640514693935106,human
u2723963928,human
u115781868,human
u1049949307351134208,bot
u839176785455529984,human
u1115701939973439488,bot
u14336304,human
u1226935161398398976,human
u20549992,human
u589032635,human
u2571833844,human
u130344472,human
u1886108436,human
u23519396,human
u1154129986699321344,human
u383060321,human
u1144251759998537728,human
u1183060277979439104,human
u1063394132146610178,human
u716576919328841728,human
u755566642642378754,human
u1315008703175651328,human
u1465132866854023170,human
u2832896673,human
u721309216603029504,human
u2326010894,human
u16520284,human
u3022633752,human
u16111910,human
u40885516,human
u209993471,human
u2568111326,human
u69588404,human
u1862202366,human
u188741386,human
u1006506407322144768,bot
u47519455,human
u882235051,human
u80572279,human
u283149384,human
u14351515,human
