id,followers,membership,mentioned,post,like,pinned
u2319350382,343,0,4,1014,86,1
u1450005594,308,0,0,1037,74,0
u2378534328,350,0,0,1037,79,0
u1169501036568088577,354,0,0,1019,84,0
u2794693791,1,0,16,157,0,1
u23576906,0,2,1,106,0,1
u1253989968663457793,2,0,2,402,0,0
u171909982,210,1,8,1404,89,1
u1019944707311403008,242,2,42,1544,72,1
u15931637,1,16,74,332,0,1
u459107299,0,2,121,126,0,0
u1477589766917001222,2,0,0,80,0,0
u3589968563,106,1,0,1080,77,1
u822845135293714433,390,0,59,1182,80,1
u1232606515179204608,189,0,71,1294,83,1
u3439471,286,4,2,1110,76,0
u16659187,256,3,14,1320,62,1
u1642815073,3,1,3,173,0,0
u1220279101228900352,111,0,0,1110,80,0
u227701742,354,0,2,1101,82,1
u2242325372,270,10,122,1094,85,1
u949754838732156928,465,0,3,1202,71,0
u45010849,31,6,135,1600,89,1
u1148997425912262656,224,0,10,1171,77,0
u69546188,3,1,0,167,0,0
u21114659,571,18,117,1340,52,1
u14647570,334,105,720,1402,91,0
u28656166,136,0,16,996,0,0
u930419292,1,0,1,173,0,1
u7426632,405,10,14,1217,61,0
u96791042,2,5,6,61,0,0
u1428029466161389574,4,0,2,322,0,0
u2240322455,334,0,5,996,65,0
u20479813,249,33,112,1037,86,0
u47472893,201,1,16,1105,85,0
u311107295,148,5,54,1064,65,0
u881650677797330944,210,26,966,1823,88,1
u192589318,445,15,55,1067,71,0
u385185222,452,1,32,1038,81,0
u1479907266652475393,2,0,0,82,0,1
u83091807,2,1,10,95,0,1
u3352671022,136,6,72,1155,88,1
u64991683,2,0,1,115,0,1
u470386680,6,2,4,136,0,0
u19062096,326,0,13,1170,80,0
u1448966033600024576,520,0,0,1107,82,0
u1221402746399662082,383,0,0,1079,88,0
u1362869923110932483,472,0,2,1118,87,1
u148481941,1,1,1,165,0,1
u200459463,347,0,6,1089,51,1
u18226564,1,4,2,315,0,0
u1137881,1,2,12,163,0,1
u15802031,1,0,48,232,0,1
u1972539134,285,2,21,1264,75,1
u1397136484654800897,2,0,5,12,0,0
u1267051110721781761,377,0,62,1518,88,0
u3423735975,79,0,6,1288,76,1
u11178672,396,48,53,1494,81,0
u304856046,417,2,8,1020,86,1
u1222871348,1,0,5,91,0,0
u392317014,1,1,3,301,0,1
u114412574,340,4,160,1074,70,1
u25692586,1,1,1,250,0,0
u19341833,125,70,4,1066,32,0
u1368076911516258304,128,0,3,1109,76,0
u713272110198743040,1,0,1,168,0,1
u1299686030875004928,374,3,419,1114,73,1
u442213499,212,0,61,1059,39,1
u221969524,1,0,34,215,0,1
u2182641,171,27,212,1117,40,1
u785284455770497024,167,0,0,1038,64,1
u37700619,388,0,0,1193,61,0
u2723963928,266,22,94,1362,87,1
u275454299,5,0,1,169,0,1
u821122178888384517,534,0,0,1166,73,1
u159222433,344,0,15,1214,91,1
u749640763059933184,410,0,28,1204,62,0
u13914392,356,7,1,1205,76,0
u1292760397007802368,330,0,2,1191,60,1
u1453437063118868484,309,0,52,1212,81,0
u3158280662,4,2,5,71,0,1
u1194208970728263680,4,2,0,162,0,1
u3012193654,239,0,99,1292,85,1
u1106209087,389,1,7,1173,92,1
u176087555,382,0,5,1167,80,1
u2343398881,1,1,11,117,0,1
u432748384,344,4,51,1117,61,0
u22362095,246,0,3,1116,55,0
u107644537,3,15,10,183,0,1
u3363584909,32,39,488,1499,74,1
u607698782,442,1,72,1284,63,0
u233981200,1,1,0,243,0,0
u194207046,180,0,5,1062,68,0
u1330462951090900994,269,0,71,1376,89,0
u21385636,411,0,4,1120,68,0
u1091340300151390209,344,0,2,1115,91,0
u877185623697879040,1,1,16,252,0,1
u1121799138239111168,7,5,20,82,0,1
u1953117589,449,6,36,1208,91,1
u329818631,491,6,47,1007,83,0
u1445432327367237638,200,1,5,1176,65,0
u374726395,1,11,8,135,0,0
u473431649,149,0,6,1142,76,1
u1048648559728496649,120,1,37,1672,65,1
u823083,275,25,89,1319,88,0
u1131643030442795008,1,0,0,91,0,1
u865549909381890048,154,2,55,1053,61,1
u15998031,1,3,3,56,0,1
u4401379345,1,2,50,114,0,1
u1484931838372155404,4,0,0,163,0,0
u571141141,320,0,189,1349,66,1
u844058359,293,3,68,1256,95,1
u2496656412,427,5,15,576,89,1
u576694434,1,0,6,125,0,0
u13475852,177,4,28,996,87,0
u439418320,53,1,50,1026,97,0
u2922928743,454,19,264,1268,59,1
u130496027,507,19,335,1238,45,1
u63147879,605,3,11,1046,93,0
u1306516976391593985,107,0,6,1119,48,1
u23152767,1,1,0,71,0,0
u12340562,416,23,20,1046,74,1
u207534677,1,13,14,388,0,1
u582386994,542,2,7,1009,85,0
u1421638262,122,1,13,1022,85,1
u819991243073712133,164,0,0,923,80,0
u353307210,2,1,38,256,0,1
u426754478,1,2,1,157,0,0
u48036604,353,12,16,1100,76,1
u817165422,297,6,13,1210,69,0
u225041726,3,3,2,89,0,1
