id,followers,membership,mentioned,post,like,pinned
u1182012259960143873,122,1,1,1030,77,0
u1217638295817146369,43,0,11,66,58,1
u1351475153490894852,1,0,0,178,0,0
u879456634413740032,127,1,10,1000,65,1
u1417541818657476613,1,0,33,56,0,0
u1041440667313078274,53,0,42,704,91,0
u1009861266725376000,7,3,0,212,0,0
u193364583,298,3,20,1018,76,0
u3552463032,1,1,0,135,0,1
u714447618777202688,69,1,2,1093,77,0
u1303694349008613377,7,1,1,61,0,1
u892744983211630596,2,1,1,57,0,1
u1440753277654630407,179,1,1,608,78,0
u4215034523,1,0,1,278,0,0
u1304078274428104705,1,0,72,315,0,0
u278791721,118,8,106,713,94,1
u481762079,4,1,8,316,0,0
u164302521,4,0,0,113,0,0
u1197649877443809280,1,0,0,40,0,0
u2865100348,156,30,866,1164,90,1
u1353459490478301185,3,0,0,202,0,1
u3335731978,90,35,46,1053,92,0
u936331435614593024,49,1,3,800,82,0
u794312262328664064,3,1,6,41,0,0
u78286458,2,0,3,74,0,1
u798988727079096324,1,0,0,41,0,0
u1462278983182082048,311,0,11,1191,69,0
u170688082,112,3,178,1497,80,1
u1323615224,1,0,2,40,0,0
u1197451389959655425,1,0,0,103,0,0
u1113143442543136769,4,0,5,99,0,1
u1291280040320172034,39,0,5,1085,73,0
u150478028,5,0,3,40,0,1
u28364479,86,2,2,1066,59,1
u1404849766534615044,2,0,0,42,0,1
u2577886615,64,16,22,1174,71,1
u799117652669054976,1,1,0,38,0,0
u1444638001443876864,1,0,0,18,0,0
u989396481282052096,54,0,368,1015,83,0
u2897957976,17,1,2,87,0,0
u4021650673,139,0,2,581,88,1
u1032594621417828352,0,0,0,96,0,0
u1138829595480924165,2,4,3,48,0,0
u1119542262,1,1,1,45,0,0
u3002171140,0,2,0,200,0,0
u1915277246,2,0,2,278,0,1
u1440498139908108291,1,0,0,92,0,0
u1399201183793885187,4,0,0,24,0,0
u1130858272674725888,2,0,0,200,0,0
u1220353316254703617,2,2,0,63,0,1
u1154321940489703424,3,0,0,63,0,0
u568260266,1,1,0,200,0,0
u1720270718,1,0,1,204,0,0
u3388504887,0,0,0,185,0,0
u115381796,2,4,23,255,0,1
u1287239187427553281,38,0,0,291,96,1
u4892051319,1,3,0,41,0,1
u855487392068841472,1,2,0,200,0,0
u3245552196,24,1,0,171,89,0
u4444031112,1,0,0,40,0,0
u1334901012281262080,0,0,0,53,19,1
u21449643,3,4,22,59,0,1
u18706826,1,0,5,77,0,1
u3846107957,1,0,0,84,0,0
u1386138976847761411,1,0,0,18,0,0
u3128046078,2,2,4,51,0,0
u888743382713065476,3,0,0,200,0,0
u224576141,45,4,2,262,5,0
u1364323983273959430,1,0,0,40,0,0
u38418580,1,1,1,72,0,1
u17401169,2,3,0,200,0,0
u727151330339467266,1,0,1,48,0,1
u938759705270239236,5,0,0,40,0,0
u1036876613798035456,2,0,4,40,0,1
u96496631,1,0,3,220,0,0
u2542132494,1,2,4,294,0,1
u1100763769750372354,1,0,0,200,0,0
u904344869581316097,1,0,0,40,0,0
u907036029961379840,1,0,1,43,0,0
u2882072878,8,0,0,286,0,0
u895948501288407040,4,2,5,104,0,0
u1353735910098132998,2,0,0,40,0,0
u18168511,1,0,1,61,0,1
u1154395412385738754,3,1,2,87,0,0
u2382100904,1,0,0,200,0,0
u3000232516,1,0,0,98,0,0
u2229505958,1,1,0,40,0,1
u1975412299,6,0,2,222,0,1
u1304341193883627521,5,0,7,46,0,1
u779577742111174660,1,0,0,203,0,0
u1298169022823923712,4,1,2,233,0,1
u900251054008348672,1,0,0,40,0,0
u1094322881075376128,7,0,0,130,0,0
u1127558902290288640,1,0,2,48,0,0
u709387364653789184,1,1,17,45,0,0
u2423058966,1,3,1,47,0,0
u1257657896093077506,6,0,0,42,0,0
u3002332681,1,0,2,41,0,0
u862364028,1,1,2,43,0,0
u3302584252,1,0,6,51,0,0
u737547113467252736,5,0,0,29,0,1
u1449079390852243460,1,0,0,47,0,0
u1332520539773165569,1,0,0,200,0,1
u728706048,3,0,1,957,70,1
u1293640384791425027,6,1,0,207,0,0
u147977670,73,0,0,188,86,0
u87765465,1,9,11,69,0,0
u19203268,2,1,82,198,0,1
u921016410251366401,1,0,0,165,0,0
u622099688,2,0,0,171,0,0
u1008463588510429184,1,4,14,49,0,1
u9408852,1,0,0,204,0,0
u894057794,48,67,231,1399,95,1
u1052617997012127745,1,0,15,51,0,0
u931591451032551425,2,2,13,47,0,0
u1102992281290694656,8,4,45,219,0,0
u1026866847046672384,1,0,0,199,0,0
u211850509,2,0,0,40,0,0
u1329801621547716608,1,0,0,199,0,0
u22174515,1,0,1,72,0,1
u1429115774292070406,5,0,0,536,53,0
u1491826902,2,0,0,82,0,1
u172600244,1,0,0,40,0,0
u892415402,16,0,8,810,44,1
u1038752508875874304,1,0,2,61,0,1
u850580674105028608,9,2,1,58,0,1
u1448387414288912388,1,0,5,106,0,0
u3343158677,1,0,1,228,0,0
u21392407,1,8,2,64,0,0
u1409410846237892610,1,1,0,70,0,0
u1186268144068898819,5,2,2,56,0,1
u1251001765111226369,1,1,1,198,0,1
u1225874727840952320,1,0,0,81,0,1
u3527298737,2,4,3,258,0,1
u1083943563455578114,2,0,2,204,0,1
u1302786301620609031,57,0,2,65,81,0
u1015350898355208192,2,0,0,40,0,0
u1407455972545613824,3,0,3,205,0,1
u833300465106485248,0,0,0,173,0,0
u964908772928950272,2,0,1,40,0,0
u1057868056175742977,1,0,0,40,0,0
u726679633500852224,5,0,0,108,0,0
u3377830707,1,0,0,39,0,0
u1033051070082306048,1,0,5,40,0,1
u1270221764514025473,1,0,0,83,0,1
u1480562620755292165,1,0,0,91,0,0
u1173081358521946113,1,0,2,200,0,0
u934387335113961473,1,1,0,215,0,0
u1129658093564915712,3,0,5,58,0,1
u745347030889992192,1,2,1,40,0,0
u1256164887161700352,1,1,0,43,0,0
u2269058059,1,4,0,44,0,1
u705926906,3,5,10,135,0,1
u833396022751719425,1,0,0,182,0,0
u1295395840387842048,1,0,1,44,0,1
u1019494505383202816,1,0,0,44,0,0
u1324208764627550208,2,0,8,64,0,1
u1289282717306126336,1,0,0,71,0,0
u2904865133,17,19,48,244,0,0
u1145664256140034050,1,0,0,240,0,1
u1333461488,1,0,0,198,0,0
u625544587,1,1,5,118,0,1
u168574484,1,0,18,14,0,0
u711207477505691648,1,0,1,199,0,1
u1323753083076288515,4,0,5,365,0,0
u23694258,16,0,5,284,0,1
u1091273109498445824,2,0,0,231,0,0
u1349184056248971264,1,0,0,92,0,0
u1476998605642907656,2,0,1,8,0,0
u1282686966,1,0,0,240,0,0
u1188464523713204224,1,0,0,136,0,1
u1461350706548391954,2,0,0,238,0,1
u473382464,0,0,0,200,0,0
u1470767893822550021,1,0,0,201,0,1
u1363291188179181570,1,0,5,91,0,0
u756122645901545472,1,1,18,78,0,0
u1054284237686431744,1,0,0,56,0,0
u847743416800747520,3,1,0,203,0,0
u1070041900411994112,1,3,0,40,0,0
u1021271099580059648,1,0,0,10,0,0
u25951988,1,1,6,124,0,1
u1243590512113745924,0,0,0,40,0,0
u911310388511129600,1,0,9,75,0,0
u967139918404308999,2,0,0,41,0,1
u1324770699823718400,8,0,0,154,0,0
u1344408234921132032,4,0,4,63,0,1
u1396558526386954248,1,1,3,45,0,1
u1458589101637222409,3,0,0,40,0,0
u1273491779547918338,1,0,11,42,0,0
u18951709,2,0,0,41,0,0
u1283429390047739904,1,0,0,117,0,0
u1234224774718595076,1,1,1,114,0,0
u1013723691815927808,4,3,0,200,0,0
u169674025,1,4,12,119,0,1
u2446750633,2,1,1,276,0,1
u541547125,1,0,1,41,0,0
u993302864708689920,2,0,1,249,0,0
u4170439413,1,1,3,88,0,0
u1408649534,2,0,0,118,0,0
u759093226510745600,2,0,0,46,0,0
u135141410,1,0,23,203,0,1
u1376722880646447105,1,0,0,191,0,0
u2697810786,1,0,0,40,0,0
u795029,1,5,2,61,0,0
u820025704616062976,2,0,3,94,0,1
u153811959,2,0,0,282,0,1
u1148526174676627456,1,1,2,205,0,0
u1230908481760309248,0,0,2,105,0,1
u819851750593200129,3,1,1,58,0,1
u1362389749449818120,2,0,0,29,0,0
u19345116,5,1,0,198,0,1
u1204774424739766274,5,0,2,42,0,0
u861957390698246145,1,0,0,40,0,0
u3193444933,1,0,0,40,0,0
u1472455015293984775,7,0,0,111,0,0
u3818008579,1,0,0,200,0,0
u1126535920273043458,6,0,0,46,0,1
u1050392630922629121,3,1,7,173,0,1
u779067631231827968,3,4,1,229,0,1
u1476748024223350784,1,0,1,126,0,0
u767973997418020864,1,0,4,47,0,0
u237051101,2,0,1,180,0,0
u887029827185790986,2,0,2,56,0,1
u994147546426683397,0,1,22,81,0,0
u3307157470,1,1,0,8,0,0
u1351645493982605321,11,0,0,94,0,0
u1351587301831409664,2,0,0,95,0,0
u786804744069128193,5,0,16,74,0,0
u245986823,2,1,0,41,0,1
u2728096128,1,0,0,242,0,0
u17775450,2,0,0,41,0,1
u1383945500546633732,1,1,1,114,0,1
u3241026093,1,1,2,237,0,0
u1388165612342493191,1,0,1,198,0,1
u509849786,1,5,2,119,0,1
u762679008421146625,1,0,2,43,0,0
u1481165359462117377,1,0,0,36,0,1
u1484732380825153540,3,0,0,214,0,0
u2457789487,1,2,0,40,0,0
u787994857906249728,3,2,1,200,0,0
u175855555,1,0,0,234,0,0
u1362750191980453893,1,0,1,23,0,1
u1029267605301809152,0,0,1,40,0,1
u2758518175,1,1,1,49,0,0
u214557846,2,0,0,40,0,1
u500203815,3,0,1,356,0,0
u1426016964346925059,1,0,0,58,0,0
u832587223782469632,2,0,2,81,0,1
u1193751861087522816,1,1,0,204,0,0
u1056864026343415810,2,0,3,87,0,1
u1306564541212291072,0,1,3,69,0,1
u4818068673,1,0,0,36,0,0
u624897703,1,3,5,232,0,0
u1108398806134149120,3,0,4,40,0,1
u897860555687436288,2,0,0,201,0,1
u1358558345880248325,1,2,2,116,0,0
u1239374408583532544,1,0,0,22,0,0
u1317580765522202624,1,1,5,215,0,1
u127300784,70,0,0,376,80,0
u1224409970848030720,1,0,0,107,0,0
u2472578083,1,0,0,43,0,0
u1460350909100273667,1,0,0,89,0,1
u4829508039,1,1,0,41,0,0
u459594454,1,0,0,39,0,1
u1458366576676282371,3,0,1,12,0,1
u2244934093,4,0,0,98,0,0
u49510723,1,0,0,40,0,0
u1235673902963191808,4,0,0,41,0,1
u1330783601433088002,1,0,1,60,0,0
u1479305895137853442,1,0,0,13,0,0
u1089457571566624768,1,0,0,208,0,0
u888083033018048513,4,4,0,200,0,0
u1370386280878637071,1,0,26,57,0,0
u947780684566765568,1,0,0,227,0,0
u1275957428727607297,1,0,6,45,0,0
u37219294,1,3,1,41,0,1
u362084030,4,0,1,204,0,1
u1027130923609927681,3,1,0,40,0,0
u2282953796,23,0,0,41,0,1
u1131120886248103937,1,0,0,40,0,0
u364075824,1,0,0,198,0,0
u1293293568329752577,2,0,1,78,0,0
u1352625723480154112,4,0,0,122,0,0
u1019954148526231552,1,6,36,56,0,0
u904902871854059520,1,0,0,203,0,0
u1256333491173838855,0,0,0,199,0,0
u1483827912528699394,1,0,0,47,0,1
u950950538744483840,1,0,0,37,0,0
u197454677,1,1,0,229,0,1
u1375127026840039424,6,0,19,177,0,1
u1375549676640960517,2,0,0,58,0,0
u1014118816983474178,1,0,0,40,0,0
u714544180547162115,1,0,0,40,0,0
u1335482170471833600,1,0,0,58,0,0
u953254493654831105,4,0,0,41,0,1
u1013680876926980097,1,0,22,60,0,0
u827028840341856256,1,0,0,197,0,0
u403332412,1,3,31,229,0,0
u1345835373516050432,2,0,30,105,0,1
u1351573551174791176,5,1,3,100,0,0
u1392398196,2,1,7,255,0,1
u63800807,6,0,0,201,0,0
u1241128889247817740,1,0,0,200,0,0
u106735855,1,0,11,127,0,1
