id,followers,membership,mentioned,post,like,pinned
u329260641,180,0,1,1047,80,1
u785939118,2,0,1,171,0,0
u913026317574180865,217,1,1,1184,76,1
u991965599780757504,40,1,501,1014,61,0
u27218932,365,0,0,979,55,0
u1412178678,159,4,87,1140,85,0
u37100077,348,2,5,1030,89,0
u77234984,275,29,451,1088,22,0
u291874773,2,1,0,125,0,1
u720017922089951232,2,0,0,51,0,0
u383995215,3,2,41,104,0,1
u43879159,158,3,45,1197,44,1
u2797706535,100,5,16,1027,95,1
u238190087,243,0,3,1013,91,0
u2842853434,152,12,69,1334,100,0
u963884836162342913,212,2,53,1030,95,1
u1003913756223496192,367,2,21,1235,83,1
u54593950,1,0,0,82,0,1
u5988912,150,2,42,1184,90,1
u147994804,403,8,232,1353,61,0
u392608775,239,10,335,1520,92,1
u19837528,348,42,662,1188,90,0
u1073606435580325889,0,10,487,1031,38,1
u121895573,351,5,0,984,72,1
u171835605,252,3,4,1000,73,0
u1148681431,187,2,37,1041,86,1
u26832834,82,44,293,1181,74,1
u22495264,135,7,141,1076,64,0
u177137867,247,3,5,997,37,0
u1440683443998711812,2,0,0,88,0,1
u3064320599,200,6,207,1212,84,1
u71543212,367,2,67,1152,74,1
u51687101,66,1,18,1014,84,0
u14368074,410,26,311,1366,58,1
u14789042,290,35,49,1126,68,1
u1360403457329487875,1,1,33,95,0,1
u1389961515705454597,140,0,90,1108,90,1
u1111701057225150465,3,1,3,453,0,1
u2162132592,1,5,2,66,0,1
u211288514,1,0,14,214,0,1
u16630098,204,20,210,1142,59,1
u1183382935,1,8,18,68,0,0
u264918266,1,0,0,83,0,0
u787955435340963840,373,0,7,1130,90,0
u1214475126315634689,320,0,2,1098,81,0
u38897222,89,4,21,996,92,1
u1409079091278528513,242,0,29,1322,71,1
u541741212,357,0,10,1100,74,0
u59221014,265,5,32,1028,79,0
u582721240,268,0,15,1087,73,1
u1480423084838506496,3,0,0,87,0,1
u66369181,178,19,317,1329,74,0
u1240946574,1,0,0,43,0,0
u49567800,5,88,34,1036,62,0
u1241855324061122563,1,0,1,84,0,0
u348591850,8,0,1,324,0,1
u142033506,469,0,1,1100,84,0
u41359434,1,0,1,160,0,1
u21104818,1,1,0,80,0,0
u91583544,1,1,80,448,0,1
u1336339632011657224,342,0,1,378,93,1
u10266432,1,0,1,57,0,0
u882977989,2,0,0,200,0,0
u18014546,3,0,239,169,0,1
u406583979,372,0,7,1330,80,0
u762014236893732864,362,0,32,1265,0,0
u1301625199843061762,246,1,14,1089,68,0
u1094718306525810689,310,3,29,1276,75,1
u1731805261,2,9,68,279,0,1
u1223600300126240768,2,1,1,242,0,1
u156611885,237,3,26,1095,86,1
u338221257,2,0,1,328,0,0
u19700387,394,88,569,1104,82,1
u894982813853863938,320,1,1,1081,74,1
u1170962538047184898,6,2,2,51,0,1
u234764852,406,1,7,1099,65,1
u1303621701016662017,459,1,0,1168,87,1
u258161837,1,1,3,72,0,0
u189068159,89,2,32,1009,47,0
u2750548111,226,1,91,1109,85,1
u28657802,454,22,81,1333,90,1
u1254097248855699458,1,1,1,112,0,1
u87316632,353,15,197,1171,92,1
u14344402,2,0,6,371,0,1
u1326817712895627265,25,0,70,1143,80,1
u49979157,1,0,2,124,0,1
u1199686509328289793,106,6,16,63,93,1
u1962626484,469,13,291,1333,73,1
u278937589,1,7,0,132,0,0
u2431419187,96,3,98,1120,76,1
u983780245768757250,81,4,14,178,91,1
u949778836048277504,240,0,15,1058,84,1
u18101713,1,7,4,45,0,0
u138529583,69,3,42,1000,89,0
u795649,292,15,33,1089,96,0
u288873285,1,2,1,144,0,1
u1165240801,2,1,0,83,0,1
u37860248,554,14,14,1082,88,0
u1111996925539172352,497,0,1,1072,80,0
u3565141937,354,0,2,1108,94,0
u1581645991,219,9,54,1025,97,1
u761182689277927424,223,3,3,1051,80,1
u363341250,94,13,126,1139,84,1
u32807399,115,8,56,1179,82,0
u35034750,428,0,4,1056,85,0
u2896065555,349,0,2,951,86,1
u1539678780,332,0,2,1089,81,0
u934775377179881473,1,2,7,131,0,1
u2786900559,1,15,77,146,0,1
u379923901,217,22,170,1084,95,1
u9776092,188,1,26,1056,91,1
u240815049,244,0,0,1164,71,1
u707484470392332288,263,2,50,1239,84,1
u50275521,206,2,3,1011,71,0
u87473622,205,10,346,1323,92,1
u3303039694,1,3,1,57,0,1
u170354385,273,11,16,1115,84,1
u19159322,2,2,2,48,0,1
u1267125789709012992,1,0,0,96,0,1
u15474568,382,5,6,1054,84,0
u391485689,1,6,2,170,0,1
u1586018209,1,0,4,95,0,1
u611906387,82,3,26,1043,81,0
u71156555,552,5,8,1247,86,1
u20405474,466,5,156,1145,85,1
u2318374983,225,2,9,986,90,0
u252397899,398,10,33,1271,73,0
u1295429066049421314,522,0,7,1129,72,1
u20261952,456,0,13,1204,76,0
u369844667,1,0,2,93,0,1
u1097337516053544960,226,1,97,1282,80,1
u1303939760797474816,455,0,3,1139,86,0
u1285489951270993920,381,0,32,1067,64,0
u960459029058375682,191,7,54,1104,84,1
u763052115392593920,52,5,322,1052,89,0
u104604540,249,8,358,1083,90,0
u6958,252,3,1,1100,88,0
u18055737,152,14,73,1081,55,1
u19638751,1,1,20,231,0,1
u47128513,92,1,8,1043,74,1
u902926941413453824,263,47,774,1297,73,0
u841787910051504128,274,1,50,1000,93,0
u34907260,364,0,23,1150,78,1
u567192377,191,1,14,1059,63,0
u719663099,7,1,4,367,0,0
u14167540,176,0,45,1167,71,1
u110388353,99,0,186,1102,62,1
u23989927,30,5,305,1161,78,1
u817062,322,6,12,1009,84,1
u1443045195323518982,233,0,0,1091,70,0
u45360352,1,9,15,267,0,0
u137364924,1,0,0,91,0,1
u46854930,118,18,30,1577,58,1
u29819222,2,0,3,123,0,0
u20884310,1,22,30,62,0,0
u51023770,201,12,54,1135,27,0
u265990770,349,2,5,1004,83,0
u2193100156,244,8,60,998,95,1
u3075845932,2,8,22,352,0,0
u808597645,1,0,11,143,0,0
u14173930,6,15,21,425,0,1
u198194549,194,4,32,1155,75,1
u1690132748,1,0,1,146,0,0
u836654633950949376,1,1,1,95,0,1
u106364904,72,12,310,1155,73,0
u3244716743,1,0,1,162,0,0
u379953676,166,0,2,1093,47,0
u311956171,80,2,182,1087,78,0
u49969533,1,3,20,86,0,0
u1089159225148882949,98,0,0,258,81,0
u1114620344424435713,12,0,21,144,0,0
u117539435,149,18,35,1198,70,1
u444800309,104,0,28,996,48,0
u1352499916476731392,1,0,0,90,0,1
u104562738,79,14,42,934,72,0
u15393506,1,0,0,123,0,1
u751844218985865216,201,0,29,1186,82,0
u1052241356574330880,194,0,0,1135,85,0
u2482888200,614,0,2,1127,81,1
u78496052,1,0,4,166,0,1
u975735690498596864,186,9,188,1325,55,1
u1545143347,2,3,6,151,0,1
u1160268364406595584,1,0,1,121,0,1
u1055907624,322,14,39,1048,72,0
u710350225,193,6,50,1091,82,0
u701817337570271232,12,0,274,1067,61,1
u14219075,1,3,3,499,0,1
u252166714,416,5,192,1396,36,1
u49620730,326,6,65,1136,60,1
u4430502617,2,1,3,389,0,1
u24854898,1,5,39,201,0,1
u1267273155799851008,2,0,0,40,0,0
u514455738,3,1,0,83,0,1
u424098004,1,2,2,45,0,0
u54848703,250,1,27,1019,61,0
u1332432956573540354,2,0,1,79,0,0
u1327504613667434497,245,3,32,1163,74,0
u481348615,1,2,3,83,0,1
u111724165,356,1,9,1158,92,0
u99130413,364,1,23,1141,73,0
u1670105485,136,6,152,1104,89,0
u747752121416691712,5,0,7,168,0,0
u1351328967672918020,7,0,4,183,0,1
u1381286723859017728,306,0,4,1111,46,0
u903319628339961858,1,0,0,227,0,0
u105810584,221,0,220,1278,33,0
u15467750,1,2,1,78,0,0
u285165232,86,12,144,1159,69,0
u335433001,446,1,3,1067,69,0
u610659001,512,62,406,1328,86,0
u1319735265527824385,176,7,0,1171,0,1
u935522128002248704,4,1,0,80,0,0
u970716252179136514,657,0,89,1145,88,1
u356164932,178,1,194,1100,76,1
u22335138,1,6,0,63,0,1
u961201465,2,4,4,107,0,1
u14207787,212,1,20,1130,97,1
u305236970,374,6,30,1207,85,0
u1235348526458114048,2,0,11,70,0,0
u44584666,260,1,15,1019,89,1
u27710842,2,2,0,55,0,1
u44771048,38,18,29,1014,90,0
u27922157,189,31,605,1606,69,1
u1285027406961610757,398,0,2,1127,73,0
u763259380137467904,356,1,10,1017,68,0
u461294085,2,2,0,279,0,0
u503635075,0,0,1,241,0,1
u34573631,1,0,9,174,0,0
u324626778,258,0,107,961,90,0
u1241684471553896448,120,0,3,1100,70,0
u836678619166486529,225,3,2,1190,86,1
u745240964852224000,191,1,12,397,96,0
u20744708,3,9,70,410,0,1
u362590473,7,0,2,163,0,0
u1081222837459996672,71,21,116,1122,83,1
u407705146,2,1,0,95,0,1
u953759424950210560,2,0,0,138,0,1
u282352687,4,4,3,118,0,1
u244082406,124,1,67,995,85,0
u337696211,11,0,3,107,0,1
u1211071,1,1,12,144,0,1
u4171790482,2,0,14,151,0,0
u1058311728,1,0,0,241,0,0
u955807966120169472,1,1,3,178,0,1
u1598458730,1,1,0,126,0,1
u1302236344534675456,472,0,4,1113,78,1
u216779161,231,0,19,1017,86,0
u32556505,2,1,4,71,0,0
u1358056278770212869,203,0,228,543,74,1
u565289346,3,0,14,59,0,0
u1920750644,211,0,11,1201,80,1
u116661436,7,2,0,346,0,0
u1237544865216507906,153,8,229,1159,58,1
u507584430,4,0,6,166,0,0
u165270515,27,4,3,76,0,0
u2968747193,224,5,43,1014,93,1
u4859777525,192,4,33,1121,89,1
u96591869,279,4,54,1023,91,1
u15652787,153,2,1,1228,62,1
u898252465652592640,4,4,5,328,0,0
u218182256,49,0,8,1003,0,1
u18239795,87,21,9,1139,6,1
u1239886723510931457,51,0,30,1062,75,0
u22396466,325,0,9,1123,63,0
u142670646,1,0,0,66,0,0
u1333145744681947140,3,0,72,148,0,1
u1208765275878895617,52,5,37,1239,79,1
u1159794988139601920,4,1,0,305,0,1
u2461780680,9,0,19,152,0,1
u818282957618216960,541,7,113,1072,46,1
u43878033,401,61,348,1323,77,1
u3359167125,3,0,6,170,0,0
u6549332,219,30,149,1194,78,1
u753461283442323456,4,2,3,260,0,1
u1244970812123348992,2,1,0,122,0,0
u1903978172,3,0,9,127,0,1
u1260395813726871552,2,0,0,41,0,1
u48289662,261,38,979,1259,62,1
u1366287668305354755,4,0,1,200,0,0
u5990172,1,8,6,125,0,0
u2189387236,323,7,42,1062,82,0
u36713795,1,1,5,166,0,1
u1280556040761880581,1,1,2,178,0,1
u301628954,115,5,5,1044,37,0
u767892066,91,4,145,1078,67,1
u1137100701664833536,2,0,0,211,0,1
u2544372314,2,0,0,200,0,0
u748528569064710145,272,92,815,1527,88,0
u1485394590,1,7,1,112,0,0
