id,followers,membership,mentioned,post,like,pinned
u972047222954184704,1,0,0,229,0,0
u717456558922330113,56,4,122,763,89,1
u1246652243937460225,1,0,0,27,0,0
u539219365,119,1,18,649,98,0
u1124405762,127,0,6,1044,76,1
u1297139964036210689,6,0,0,97,0,0
u1142961546403950592,17,11,29,535,69,0
u1011559160540876800,24,1,29,1025,92,1
u1260616594209869826,24,2,0,995,78,1
u69904027,2,0,0,200,0,0
u528020973,213,5,18,1134,86,1
u596489946,109,1,1,434,79,0
u1429114364141789184,1,0,0,33,0,0
u1066634199396900865,97,0,58,1036,50,1
u2171027089,0,0,0,282,0,1
u1153834840795598853,56,0,1,709,90,0
u3670178534,227,0,7,1018,81,0
u897217613255790593,1,0,0,39,0,0
u76008587,1,0,0,48,0,0
u77531463,2,0,1,149,0,0
u393207402,5,8,31,1034,85,1
u998825510552723456,9,1,32,190,0,1
u223143577,1,0,0,22,0,0
u65968777,171,0,5,989,49,0
u504526414,214,0,5,737,89,0
u1163480880700018689,28,0,1,333,91,1
u1351243951559229440,1,1,0,182,0,1
u30280532,1,0,0,330,0,0
u50276476,1,1,378,365,0,0
u56745215,3,1,0,203,0,0
u1255396713671598081,1,0,2,94,0,0
u895826978,2,0,0,40,0,0
u1407086744642764801,2,0,2,108,0,1
u1105425376640200705,51,0,0,499,63,1
u2798525492,1,0,0,86,0,0
u4714402397,1,0,0,26,0,0
u1278123143706693632,3,0,0,240,0,1
u14126475,1,0,1,184,0,1
u697633,1,4,2,45,0,0
u1258940065419419648,1,0,0,128,0,1
u1386737540892446730,2,0,0,184,0,0
u1264756842044878848,1,0,7,72,0,1
u1004350185349242885,2,0,0,200,0,0
u1309607309107134467,1,0,0,69,0,0
u1368321408917405701,3,0,0,85,0,0
u1086651817956687872,1,0,0,40,0,1
u62859704,1,1,1,53,0,0
u292343271,1,6,9,200,0,0
u1127176297237622785,1,0,1,150,0,1
u271419991,2,0,0,41,0,1
u979157752844111872,2,1,0,40,0,1
u755923763829497856,1,0,7,57,0,1
u1308453332080525313,1,1,0,151,0,0
u1430016319039197185,1,0,0,281,0,0
u725929489,1,0,0,39,0,0
u1461034599371493381,2,0,10,151,0,1
u1432511719620988929,2,0,0,223,0,1
u1106238403778088960,9,2,6,205,0,1
u1439081204704157705,1,0,9,102,0,1
u1417137379438125061,1,0,0,88,0,0
u1278465007496212480,1,0,0,40,0,0
u1297078898727849990,7,0,22,109,0,1
u1364940437421752330,1,0,0,240,0,0
u2281805170,1,0,0,200,0,0
u1258270872726646785,1,0,0,47,0,0
u838446393345859584,3,0,0,40,0,0
u200005355,1,0,0,40,0,0
u1295954426679758849,1,0,2,123,0,1
u811139603495350272,1,0,0,195,0,0
u1449684254884044807,4,0,0,96,0,0
u734090702,3,1,0,96,0,1
u1481150690798018561,5,0,0,106,0,0
u1453412133551628294,2,0,0,88,0,1
u1084774334516862976,1,0,1,74,0,1
u1447294159732232194,1,0,0,200,0,0
u209688755,1,0,2,209,0,0
u1485069997940436992,2,0,0,202,0,0
u298510171,1,0,0,40,0,0
u1209744730445225984,1,0,0,200,0,0
u2860651996,1,0,0,92,0,1
u559969059,1,0,0,40,0,0
u1446511677445480470,2,0,0,260,0,0
u548755884,1,0,0,39,0,0
u15935333,1,1,1,54,0,0
u739948326066364416,1,0,0,40,0,0
u1004631063119974400,2,0,0,277,0,0
u3284321905,1,1,5,181,0,0
u1400399562758524935,1,1,0,171,0,0
u1311256611722113026,8,0,2,99,0,0
u704620080,8,1,0,200,0,1
u872181152429346817,2,3,0,78,0,0
u1371647941,0,0,21,203,0,0
u1264491334284476418,1,0,0,80,0,0
u1482661626746654724,1,0,0,88,0,0
u2547412918,1,10,8,270,0,1
u3273261744,1,3,1,203,0,1
u53910169,0,2,0,243,0,1
u4049811659,4,2,0,328,0,1
u1447516961160798209,2,0,0,7,0,0
u517921400,1,7,1,201,0,0
u1476372623726628866,5,0,0,39,0,0
u1466113193332379660,1,0,0,90,0,0
u1339649273709944843,3,0,0,19,0,0
u1226351112892010496,1,0,0,26,0,0
u2506029166,1,1,5,224,0,0
u1392210580942041097,2,0,0,281,0,0
u1466997984298631171,4,0,0,240,0,1
u1911232100,5,0,0,41,0,1
u796483381374504960,1,0,0,39,0,0
u1218143665769500673,1,0,3,121,0,0
u1437118501844574224,3,0,0,82,0,0
u1017538419419942917,1,0,1,215,0,0
u1300438404769906689,2,1,0,201,0,1
u1279229906941960192,0,0,1,82,0,1
u1372095626469466112,1,0,0,239,0,0
u1212348401234235392,1,0,0,200,0,0
u214858616,1,0,6,91,0,1
u11835642,1,0,0,48,0,1
u601968022,0,0,11,104,0,0
u109410061,1,1,0,40,0,0
u1075326978,1,0,1,89,0,0
u1168489028141944832,1,0,0,40,0,0
u20630040,3,0,19,84,0,0
u1196254959345508352,1,0,0,40,0,0
u1425517472166387713,1,0,0,59,0,1
u1067150263453126665,2,0,0,198,0,0
u837601134353096704,17,0,3,252,0,1
u1470418257177890816,2,0,0,89,0,0
u1396921390691934214,2,0,1,177,0,0
u884818034640265216,1,0,0,200,0,0
u1476780498517061633,4,0,0,280,0,0
u1243862475734265862,0,0,0,214,0,0
u2768922824,1,0,1,153,0,0
u61000921,3,0,0,40,0,0
u1068644888751812614,7,4,89,353,0,0
u1287419475885776896,3,0,1,305,0,0
