uid,tweet
u972047222954184704,"Wetlands are critical to fight biodiversity loss &amp; tackle the climate crisis- Antonio Guterres 

#worldwetlandsday #environmentalprotection #EUGreenDeal https://t.co/9J1umG6Kxl"
u972047222954184704,KFL and @WeRobotics engineers have put together a seeder drone in preparation for an upcoming ecological restoration project. #environment #ClimateAction @cookswelljikos @WeRobotics https://t.co/Pu6pvdoobl
u972047222954184704,Flood modeling can play a critical role in management of dams in Kenya. https://t.co/YBVuteZ33f #ActOnClimate #resilience
u972047222954184704,"When you hear the word “drones” the first thing that comes to mind is probably not conservation. Find out how organizations are using drones in environmental conservation here.  https://t.co/gmGfmOl1TK
#conservation
#climatechange
#sdgs2030"
u972047222954184704,"UNEP at 50 is a time to reflect on the past and envision the future. It provides an opportunity to reinvigorate international cooperation and spur collective action to address the triple planetary crisis of climate change, nature and biodiversity loss, and pollution and waste."
u717456558922330113,"""Listen, people…Climate change is serious shit. I, the First Law of Thermodynamics, am serious shit."" https://t.co/uf10aNd3tx"
u1246652243937460225,"RT @js_castellanos: Norway: 
90% share of EVs, but only 15% of kms traveled. Or why EVs alone will not solve the climate crisis and everyon…"
u1246652243937460225,"RT @kateknuth: As your mayor, I will center climate action in our path towards a more just and equitable Minneapolis. We can and should be…"
u539219365,RT @davidschneider: We'll definitely deal with the climate crisis because one thing we've learnt in the past year and a half is that govern…
u539219365,"RT @POTUS: We can’t wait to tackle the climate crisis.

The signs are unmistakable. The science is undeniable. And the cost of inaction kee…"
u1124405762,"@MarkRuffalo @NYGovCuomo @SloopClearwater @riverkeeper @nirsnet @agreenewyork really disappointed by the position you have taken Mark. While this might stem from a concern for climate change, nuclear is part of the solution. our fear of nuclear is down to our inability to assess risks. we're probably underestimating the risk of CC by an order of magnitude"
u1124405762,"@AkshatRathi @siddharth3 This is par for the course.. distracting the world with an outrageous engineering feat indicating frantic climate action, when a ***t show is playing out otherwise.."
u1124405762,Maybe the next big climate geoengineering target should be pint sized nuclear detonations to trigger undersea volcanoes and get tons of SO2 injected into the stratosphere without all the C02 emissions (from say coal). Takers anyone ? https://t.co/mRy8OnTmYe
u1124405762,"@rocksea What other stuff does the school do ? Would be good to get an SoP and get this promoted.. monitoring , citizen science and the climate friendliness"
u1124405762,"The only saving grace for Delhi is that it hasnt seen these calamitous rains and other hydro met diasters. BLR, MAA, BOM all facing significant risks from extreme climate related events, compounded by poor urban design and planning. Poor AQ or floods and droughts ? Pick one. https://t.co/IIkDp47U5Z"
u1124405762,@RainTracker @navdeepdahiya55 Navdeep that's putting the blame squarely on meteorology alo e and absolving all anthropogenic sources. Temeprate climates hav inversion layer too and are colder fotuch longer. So we have made it worse for ourselves through our choices.
u1124405762,"There's a popular adage in Malayalam (and possible Tamil) that when loosely translated means ""stop shi**ing with a finger up your a-hole"". As we get close to #COP26 , my only request to the global north - stop doing this - penny pinching and pay-up for #climatefinance"
u1124405762,The German response to nuclear is the climate equivalent of vaccine hesitancy.. stupid is as stupid does!! https://t.co/ltnTsdwxuh
u1124405762,"Dare I say, climate change is a good reason for this to stop? Srinagar will probably soon become more 'hospitable' throughout the year. 
https://t.co/59k5EizIEN"
u1124405762,"@DrTongia @ShripadManthan @kidoctcr @CPR_Climate @CSEP_Org @Sw0oti @sresthab @Sandeeppaii @NavrozDubash @nandi555 @joeathialy @Bh_Chandra I don't think it will happen organically. The operation of inefficient TPPs is testimony to how a market and economics will have to be deliberately transformed with regulation and incentives. Another (strawman example, albeit) is nuclear. Cost alone isnt able to drive adoption"
u1124405762,The selfish response from @POTUS  and team on vaccines clearly tells us they aren't responsible allies in anything.  India is likely on its own in the fight against climate change too. Even more reason for us to chart our  future without looking for this invisible helping hand.
u1124405762,"@busbyj2 @Sandeeppaii @NavrozDubash @shreya_jai @tejastj88 @mili_m3011 @gangadharpb @101reporters @CPR_Climate @CPR_India @amol52d sounds good.. will look out for that. In the meanwhile, if you liked this podcast, you'll find these two pieces based on an independent analysis. the second is behind a paywall but if you sign up you get articles free - :

https://t.co/plcrUg7Fsz

https://t.co/WdFKtY4D1W"
u1124405762,@busbyj2 @Sandeeppaii @NavrozDubash @shreya_jai @tejastj88 @mili_m3011 @gangadharpb @101reporters @CPR_Climate @CPR_India @amol52d What should come first ? The pledge or the helping hand ? We have repeatedly been let down (GCF ) and we should be wary of making any pledge lest anyone mistake it for ability to deliver with domestic resources.
u1124405762,"@busbyj2 @Sandeeppaii @NavrozDubash @shreya_jai @tejastj88 @mili_m3011 @gangadharpb @101reporters @CPR_Climate @CPR_India @amol52d Win plaudits ? Surely not one of our top objectives Josh,  notwithstandinghow much this govt is all about plaudits only !"
u1124405762,"https://t.co/OLXJtOzMOx
""If we adequately address climate change, we will do so by building a future of abundance, not scarcity.""
Something to ponder about, but given the slow pace of decarbonisation, each of these vices is literally eating into our options here in the South!"
u1124405762,"I remember, nearly a decade ago, assessments of the diversity of the electricity generation mix were a thing. Security considerations were an important part of it. Now, as we enter a more uncertain (climate changed) world, we seem to have dropped the diversity considerations 1/ https://t.co/3UJ8Ejf1nW"
u1124405762,"The pace of #COVID19 vaccine roll out in the US is in line with the US's approach to climate change. It has to be a supply side technology measure that will have to fix their emissions problem. If only a single jab (or two) would densify cities, remove car dependency and cut beef"
u1124405762,"Indians will  consume these cleaner products in time, breathe cleaner air, live longer but in all likelihood in a climate changed world which we would have inherited from the west. That is a tragedy but being poor in a climate changed world is perhaps worse 13/"
u1297139964036210689,"RT @ri_montu: Due to the impact of #climate_change, the fight for #drinking_water on the #coast of #Bangladesh is becoming more difficult.…"
u1297139964036210689,RT @256Solomon: It is not so easy for everyone. If you know what the effects of climate change are then you will understand what we go thro…
u1297139964036210689,"RT @ri_montu: Extreme climate crisis in Bangladesh's shoreline. The photographs are saying that.
#ClimateCrisis #coastal #coast https://t.c…"
u1297139964036210689,"RT @GCAdaptation: 2️⃣7️⃣ of the world’s 4️⃣0️⃣ most climate-vulnerable countries are located in Africa, where #climate disasters are on the…"
u1297139964036210689,"RT @TRF_Climate: ""(It) presents a harrowing catalogue of the immense suffering that climate change means for billions of people, now &amp; for…"
u1297139964036210689,RT @WRIClimate: BREAKING: New @IPCC_CH #ClimateReport finds climate impacts are already widespread &amp; certain to get worse in the near-term.…
u1297139964036210689,RT @MukuhiMwaura: Big brands are fueling the continuous addiction to this harmful material contributing to climate change and harmful impac…
u1297139964036210689,RT @EcologyAfricaF1: African countries spending billions to cope with climate crisis https://t.co/3vdzYMlTSQ
u1142961546403950592,"I'm posting another poem on Twitter, this one prompted by the IPCC predicting that some of Florida may become unlivable not too long from now. 

Climate change has ‘irreversibly’ changed Florida, a new global report says | 2022/2/28 - Miami Herald https://t.co/NzS3hP7h2H"
u1142961546403950592,"@skdh @Mikeachim What would that have done to the climate? I don’t know, but I think it would have been significant. We could have had anthropogenic climate change 50 years earlier than we actually did."
u1142961546403950592,"RT @TheEconomist: Until the mid-1990s, Republicans and Democrats worried about climate change equally. Voters on the right were then persua…"
u1142961546403950592,"RT @johncarlosbaez: Where's the urgency?  

I don't expect urgency in tackling climate change until weather disasters are in the news almos…"
u1142961546403950592,"@It__data Here is where we differ. If we don't do anything about carbon emissions, these people are going to suffer horribly because of climate change. (Whereas the rich will be okay.)"
u1142961546403950592,"RT @MichaelEMann: ""Journalists, you need to start taking the climate crisis seriously!"" | Happy to be a signatory to this open letter spear…"
u1142961546403950592,"RT @skdh: The disappeared opinion piece about the international center for climate models has reappeared #ClimateChange 

https://t.co/gwaF…"
u1142961546403950592,Climate tipping points — too risky to bet against https://t.co/5Qr3cWbaBf
u1011559160540876800,"@himdaughter Consequence of over construction, cutting trees and overall climate change. Requires serious intervention of the right kind."
u1011559160540876800,"RT @TheWireScience: Two things are clear: that climate change played a part in the Chamoli disaster, and that governments should reconsider…"
u1011559160540876800,"Here today, gone tomorrow https://t.co/3WrWzj2ZcL 

The devastating effects of climate change in our midst"
u1011559160540876800,"Nice to have Jayashree and Mahesh's work from NCBS contribute to this important discussion that affects everyone on this earth
 
Researchers Find Flaws in High-Profile Study on Trees and Climate https://t.co/wdcFwXdgc5"
u1011559160540876800,"Amazing kid - she traveled all the way to the US on an eco-friendly boat.

Greta Thunberg, Climate Activist, Arrives in N.Y. With a Message for Trump https://t.co/WQ7KrolqaS"
u1011559160540876800,We Have to Stop Meeting Like This: The Climate Cost of Conferences  via @TheTyee https://t.co/zZzeiRPRdo
u1011559160540876800,With climate change and water shortages already in our midst this sounds suicidal..... https://t.co/ShxazmPIhv
u1260616594209869826,"RT @DanPriceSeattle: The 20 richest billionaires cause 8,000x more carbon emissions than the billion poorest people combined.

Climate chan…"
u1260616594209869826,".@BorisJohnson even Shell have dropped Cambo - now it’s your move. After talking about your ‘climate leadership’ at COP26 it’s time to show some.

You must #StopCambo and all new fossil fuel projects if you are serious about tackling the climate crisis"
u1260616594209869826,RT @aveganrebel: Environmentalists and politicians who refuse to acknowledge animal agriculture's role in the Climate Crisis and ecological…
u1260616594209869826,"@GreenpeaceUK @Greenpeace 
I’ve just emailed Kwasi Kwarteng to tell him to stop the Cambo oil field. As humanity enters code red, we have to stop more climate destruction and make the right decisions for the planet. Email Kwasi now: https://t.co/17nfGX7tDp #ClimateCrisis"
u69904027,"RT @unepwcmc: The latest GEO for Business brief has just launched: ""Future-proofing infrastructure to address the #climate, #biodiversity a…"
u69904027,"RT @UNCCD: The way we grow food is fueling #ClimateCrisis, but we can't keep living at nature’s expense!

New @nature_org report shows we c…"
u69904027,"RT @unepwcmc: At #COP26, the #nature and #climate agendas came closer together than ever before. 

What could this mean for #COP15 - the #b…"
u69904027,"RT @COP26: Wondering what climate change adaptation is? 🤔

The @UNFCCC climate dictionary has got you covered 👇

#COP26 | #TogetherForOurPl…"
