id,my_sent,num_inf_source,num_following,num_ego_edge,inf_s_rate,ego_rate
u1303151450462334977,0.8757,1,2,4,0.5,0.5
u1676715282,0.4341,1,3,5,0.3333333333333333,0.6
u1405638010331275265,-0.7906,1,1,1,1.0,1.0
u221411317,-0.296,1,1,1,1.0,1.0
u118409101,-0.4404,1,1,1,1.0,1.0
u14219075,-0.6124,1,2,3,0.5,0.6666666666666666
u259158556,-0.34,1,1,2,1.0,0.5
u574666372,0.8038,1,2,2,0.5,1.0
u132183460,-0.9349,1,1,2,1.0,0.5
u62337788,0.0,1,1,1,1.0,1.0
u1083863546864103424,-0.4728,1,1,2,1.0,0.5
u34550789,-0.6261,1,1,2,1.0,0.5
u741344448,0.8779,2,25,59,0.08,0.423728813559322
u841422144785526784,0.0,1,1,2,1.0,0.5
u728584794620071937,0.0,1,1,2,1.0,0.5
u85719802,-0.84,1,1,2,1.0,0.5
u1363225440433950720,-0.9468,1,2,2,0.5,1.0
u2690447629,-0.981,1,1,2,1.0,0.5
u295670747,0.6556,1,2,3,0.5,0.6666666666666666
u541728810,-0.2263,1,1,1,1.0,1.0
u746393736347803648,0.0,1,1,2,1.0,0.5
u1089685037207891968,-0.4939,1,53,156,0.018867924528301886,0.33974358974358976
u1340965692,0.7096,1,1,1,1.0,1.0
u128586397,-0.25,1,1,2,1.0,0.5
u2811899132,0.9715,1,1,2,1.0,0.5
u756481938853130242,-0.0531,1,1,1,1.0,1.0
u60919240,0.9925,1,4,7,0.25,0.5714285714285714
u1550327484,0.9988,1,78,99,0.01282051282051282,0.7878787878787878
u707510654270377984,-0.7579,1,27,79,0.037037037037037035,0.34177215189873417
u295351204,-0.4019,1,12,19,0.08333333333333333,0.631578947368421
u846413262371610628,-0.5574,1,1,1,1.0,1.0
u1113502059058335745,-0.9309,1,2,2,0.5,1.0
u20848539,0.9373,1,1,2,1.0,0.5
u786561383236243456,0.6249,1,28,80,0.03571428571428571,0.35
u2163130998,-0.5994,1,6,15,0.16666666666666666,0.4
u1063756244496859137,-0.8769,1,3,5,0.3333333333333333,0.6
u3309153939,-0.3313,1,3,5,0.3333333333333333,0.6
u239410139,0.4648,1,1,2,1.0,0.5
u1688483731,0.4614,1,3,3,0.3333333333333333,1.0
u2987346813,-0.5423,1,1,1,1.0,1.0
u1457106102223519749,-0.993,1,4,6,0.25,0.6666666666666666
u1013623905955741696,0.8885,1,1,1,1.0,1.0
u149027223,-0.9455,1,8,11,0.125,0.7272727272727273
u1092763844206682112,-0.3423,1,1,2,1.0,0.5
u111949673,-0.4359,1,1,2,1.0,0.5
u762690511836708864,-0.7389,1,1,2,1.0,0.5
u1870439395,-0.4184,1,1,2,1.0,0.5
u457472560,-0.4404,1,2,3,0.5,0.6666666666666666
