id,my_sent,num_inf_source,num_following,num_ego_edge,inf_s_rate,ego_rate
u576694434,-0.9859,1,2,3,0.5,0.666666667
u14173930,0.8388,1,7,10,0.142857143,0.7
u1050451964788654080,-0.9525,1,2,3,0.5,0.666666667
u747752121416691712,0.9456,1,7,14,0.142857143,0.5
u3331968809,-0.9889,1,3,3,0.333333333,1
u48796199,-0.4449,1,1,1,1,1
u503635075,0.8928,1,1,2,1,0.5
u1341674815,-0.9539,1,1,1,1,1
u23317873,-0.4393,1,1,2,1,0.5
u13162762,0.989,1,2,4,0.5,0.5
u18060747,-0.9067,1,1,2,1,0.5
u3259242518,0.888,1,1,1,1,1
u1731745322,-0.7526,1,5,5,0.2,1
u90155533,-0.8268,1,3,5,0.333333333,0.6
u105444423,-0.6313,1,7,12,0.142857143,0.583333333
u26688109,-0.5133,1,7,13,0.142857143,0.538461538
u128685655,-0.9517,1,1,1,1,1
u113404957,0.3182,1,1,2,1,0.5
u88154005,-0.4939,1,1,1,1,1
u67846383,0.5106,3,3,6,1,0.5
u2519891,0,1,2,3,0.5,0.666666667
u1036761,-0.926,1,10,20,0.1,0.5
u166479009,-0.8978,1,6,11,0.166666667,0.545454545
u21072696,-0.4109,1,2,2,0.5,1
u783740564,-0.3941,1,2,3,0.5,0.666666667
u15728275,0.4118,1,1,2,1,0.5
u265505095,0,1,1,2,1,0.5
u426334438,-0.931,1,1,1,1,1
u979315332,0.9612,1,1,1,1,1
u2369117648,0.9599,1,10,18,0.1,0.555555556
u3294836466,-0.8126,1,4,5,0.25,0.8
u1457106102223519749,-0.945,1,3,4,0.333333333,0.75
u43502462,-0.7461,1,1,1,1,1
u3198462079,-0.6597,1,5,9,0.2,0.555555556
u2174658107,-0.8993,1,1,1,1,1
u413212673,0.8156,1,2,3,0.5,0.666666667
u1213584359027965953,-0.2023,1,3,5,0.333333333,0.6
u107811766,0.34,1,1,2,1,0.5
u34255829,0.8955,1,2,3,0.5,0.666666667
u512785873,-0.296,1,96,101,0.010416667,0.95049505
u335348201,0,1,10,14,0.1,0.714285714
u1018030314659164160,0.9893,1,4,7,0.25,0.571428571
u782216798955417600,0,1,1,1,1,1
u289970411,-0.6388,1,1,1,1,1
u928647522817417216,0.9928,1,2,3,0.5,0.666666667
u1004642294866169856,0,1,2,4,0.5,0.5
u19025024,-0.5574,1,3,5,0.333333333,0.6
u1200902569,-0.9044,1,2,5,0.5,0.4
u2911413476,-0.8805,1,2,3,0.5,0.666666667
u747290455,-0.3736,1,1,2,1,0.5
u75503,-0.8202,1,6,11,0.166666667,0.545454545
u384516732,0.9569,1,1,1,1,1
u903675184871288836,-0.3796,2,2,3,1,0.666666667
u541508182,0.9107,1,16,29,0.0625,0.551724138
u2777818677,0.9973,1,8,21,0.125,0.380952381
u3102784563,0.9901,1,4,7,0.25,0.571428571
u115688462,0.994,1,10,14,0.1,0.714285714
u97192539,-0.9909,1,2,3,0.5,0.666666667
u913654872855252992,0.4588,1,1,1,1,1
u14175289,-0.9685,1,2,2,0.5,1
u1382776886544248833,0.4215,1,16,17,0.0625,0.941176471
u202150353,-0.9997,1,4,6,0.25,0.666666667
u39591951,0.8402,1,3,5,0.333333333,0.6
u54436268,-0.9687,1,1,1,1,1
u1341012740328964096,-0.2732,1,1,2,1,0.5
u16149910,-0.836,1,2,3,0.5,0.666666667
u2423861950,0,1,4,6,0.25,0.666666667
u859086172429090818,-0.9973,2,4,6,0.5,0.666666667
u15762276,0.8516,1,1,1,1,1
u106648006,-0.9694,1,2,2,0.5,1
u31101943,0.2003,2,2,3,1,0.666666667
u81582256,-0.9118,1,1,2,1,0.5
u461557605,-0.9899,1,8,30,0.125,0.266666667
u443350004,-0.9667,1,1,1,1,1
u477030336,0.8587,1,2,4,0.5,0.5
u1297635306192044033,0,1,1,1,1,1
u2358413663,0.9024,1,7,17,0.142857143,0.411764706
u1253672034,-0.998,1,2,3,0.5,0.666666667
u321780524,-0.0178,1,2,3,0.5,0.666666667
u366012686,-0.9989,1,1,2,1,0.5
u1446959350426349571,0.5229,1,2,3,0.5,0.666666667
u398836157,0.7184,1,3,11,0.333333333,0.272727273
u771405290591879168,0.9439,1,2,4,0.5,0.5
u1383155761753247747,-0.989,1,6,10,0.166666667,0.6
u187096996,0.5423,1,1,2,1,0.5
u29959495,-0.5994,1,7,9,0.142857143,0.777777778
u825050479507955714,0.8582,1,1,2,1,0.5
u2653700989,0.8631,1,7,20,0.142857143,0.35
u748618905199976456,-0.8126,1,1,2,1,0.5
u1374946302,0.8381,1,8,19,0.125,0.421052632
u17179747,-0.296,1,1,2,1,0.5
u607532355,-0.7783,1,2,3,0.5,0.666666667
u2391059966,-0.0387,1,2,2,0.5,1
u532971320,0.9559,1,4,7,0.25,0.571428571
u1008183932,-0.8205,1,1,1,1,1
u1247664346970324999,-0.6369,1,2,2,0.5,1
u1497738242,0.9062,1,3,3,0.333333333,1
u636188854,0.9933,1,6,9,0.166666667,0.666666667
u475823764,-0.5719,1,1,1,1,1
u1002205166223941632,-0.3612,1,1,1,1,1
u1389346632022511616,-0.9272,1,3,5,0.333333333,0.6
u183540750,-0.7707,1,3,6,0.333333333,0.5
u915906135764246528,0.9859,1,2,2,0.5,1
u1069370111218266113,-0.2903,1,8,12,0.125,0.666666667
u60941013,-0.7003,2,3,7,0.666666667,0.428571429
u526357742,0.5719,1,10,14,0.1,0.714285714
u990112098,0.5106,1,3,4,0.333333333,0.75
u38562659,0.5319,1,2,3,0.5,0.666666667
u89312744,0.1779,1,3,4,0.333333333,0.75
u362139381,0.6597,1,2,3,0.5,0.666666667
u113826230,0.9914,1,1,1,1,1
u1239508234718904320,0.9655,1,5,8,0.2,0.625
u4047721,-0.9981,1,1,1,1,1
u1137114248537169920,-0.9168,1,4,9,0.25,0.444444444
u1201246215192686598,-0.9365,1,4,5,0.25,0.8
u1409724627262357505,0.6854,1,6,10,0.166666667,0.6
u92398114,-0.9998,1,2,4,0.5,0.5
u798159936274497537,0.6124,1,1,2,1,0.5
u4126501,0.9592,1,2,2,0.5,1
u895604022220005377,-0.8934,1,5,9,0.2,0.555555556
u33183740,-0.979,1,3,4,0.333333333,0.75
u4794418649,0,1,1,2,1,0.5
u723734699248472065,-0.2023,1,10,13,0.1,0.769230769
u16951458,-0.4946,1,2,3,0.5,0.666666667
u54290957,-0.3786,1,3,5,0.333333333,0.6
u733092900,0.9183,1,3,6,0.333333333,0.5
u196411320,-0.2255,2,3,7,0.666666667,0.428571429
u20151889,-0.9848,1,1,2,1,0.5
u921981573297328128,0.7906,1,1,2,1,0.5
u110802477,0.4767,1,3,4,0.333333333,0.75
u738606868252102656,-0.0772,1,10,16,0.1,0.625
u1468153052742008835,0.9931,1,1,1,1,1
u1484608740,-0.8227,1,1,2,1,0.5
u1248720625021194242,-0.7057,1,1,2,1,0.5
u1437193698844966914,-0.4404,1,1,1,1,1
u257571954,0.6808,1,2,5,0.5,0.4
u20483422,-0.2057,1,1,2,1,0.5
u2704791306,-0.7339,1,2,4,0.5,0.5
u78632814,-0.1593,1,2,2,0.5,1
u1068913558816198661,-0.5258,1,7,23,0.142857143,0.304347826
u3136991384,0.9113,1,5,10,0.2,0.5
u2831150371,0,1,1,1,1,1
u31711965,0.9526,1,1,2,1,0.5
u2731150020,-0.6908,1,1,1,1,1
u85525108,0.643,1,3,5,0.333333333,0.6
u123468511,-0.3182,1,1,1,1,1
u163411226,-0.651,1,2,4,0.5,0.5
u928355662316343296,-0.0387,1,1,2,1,0.5
u359920994,0.9026,1,3,6,0.333333333,0.5
u3033020838,0.2755,1,1,1,1,1
u776689094,0.9864,1,3,7,0.333333333,0.428571429
u1205392308,-0.9527,1,1,1,1,1
u951135761214078977,-0.1363,1,3,5,0.333333333,0.6
u25543248,0.8176,1,1,1,1,1
u525564333,0.8379,1,3,5,0.333333333,0.6
u1038726722,-0.2924,1,4,7,0.25,0.571428571
u63772584,0,1,1,2,1,0.5
u559652727,-0.991,1,3,5,0.333333333,0.6
u31085022,0.3454,1,3,3,0.333333333,1
u45731216,-0.4019,1,3,7,0.333333333,0.428571429
u500391228,-0.3952,1,4,6,0.25,0.666666667
u1064083865634000896,0.7042,1,1,2,1,0.5
u203172604,0.4636,1,3,4,0.333333333,0.75
u1104567588187709440,-0.9333,1,6,11,0.166666667,0.545454545
u1265036128421322754,-0.8793,1,4,10,0.25,0.4
u715583783609569280,-0.9932,1,3,5,0.333333333,0.6
u1695662876,-0.8591,1,1,1,1,1
u49587515,0.8656,1,1,1,1,1
u3127375655,-0.1154,1,4,5,0.25,0.8
u60694237,0,1,3,3,0.333333333,1
u126359862,0.849,1,2,2,0.5,1
u898565245484105732,0.5093,1,2,3,0.5,0.666666667
u53021062,-0.9524,1,1,1,1,1
u137149503,0.7574,1,2,3,0.5,0.666666667
u2895393685,-0.9868,1,1,1,1,1
u2564494133,0.9256,1,1,2,1,0.5
u1260993686726295552,-0.7457,1,3,4,0.333333333,0.75
u55828179,0.4745,1,1,2,1,0.5
u9767052,0.2144,1,2,3,0.5,0.666666667
u62516676,-0.7003,1,2,3,0.5,0.666666667
u4157533276,0.8121,1,5,9,0.2,0.555555556
u981290881,0.4215,1,2,4,0.5,0.5
u49715274,0.2714,1,1,2,1,0.5
u896141,-0.9851,1,3,5,0.333333333,0.6
u422562472,0.9922,1,3,6,0.333333333,0.5
u14420299,0.8368,1,1,1,1,1
u866276342,-0.2944,1,1,1,1,1
u56598672,-0.9331,1,1,1,1,1
u1222116778349821952,0.296,1,7,14,0.142857143,0.5
u3064266184,-0.9999,1,1,1,1,1
u210605591,-0.8158,1,5,14,0.2,0.357142857
u14184263,0.749,1,1,1,1,1
u18429314,0.3182,1,3,5,0.333333333,0.6
u54384777,0.8957,1,5,5,0.2,1
u231494541,-0.3937,1,1,1,1,1
u3699733173,0.4019,1,1,1,1,1
u244818919,-0.8328,1,4,10,0.25,0.4
u148317880,-0.9766,1,1,2,1,0.5
u1866401275,0.9215,1,3,3,0.333333333,1
u279133903,-0.4215,1,5,7,0.2,0.714285714
u755435473464590337,0,1,1,1,1,1
u61762488,-0.9981,2,4,10,0.5,0.4
u2361372560,0.9324,1,1,2,1,0.5
u59051881,-0.8658,1,3,5,0.333333333,0.6
u946875311144296448,-0.1154,1,1,2,1,0.5
u764875744535281664,-0.4019,1,1,2,1,0.5
u391600060,0.2263,1,5,9,0.2,0.555555556
u9341102,0,1,2,4,0.5,0.5
u334266988,0.5719,1,6,6,0.166666667,1
u1387839187169185795,-0.9957,1,1,2,1,0.5
u18144320,-0.7606,1,1,1,1,1
u22803369,0.2449,1,2,3,0.5,0.666666667
u9536192,-0.1901,1,1,2,1,0.5
u1277940625267134465,0.9583,1,3,4,0.333333333,0.75
u570181991,0,1,1,1,1,1
