id,followers,membership,mentioned,post,like,pinned
u729277017028337664,0,0,1,282,0,0
u1034272792676421632,159,0,1,1159,62,0
u539219365,408,1,18,649,98,0
u23615111,405,0,1,1062,86,0
u1438296968,195,0,1,382,75,0
u1413511685583917056,161,0,1,1362,77,1
u2421492818,15,0,0,207,74,0
u1252117386,303,0,13,1126,83,1
u338099920,191,0,4,1124,63,1
u990731452022059008,85,0,25,1029,89,0
u1476527172743532544,1,0,0,200,0,0
u1269068431862763525,170,0,3,1018,78,0
u1020740575413317634,1,0,0,212,0,0
u38669987,321,0,0,1028,85,0
u1387051997736493058,1,0,0,40,0,0
u1142961546403950592,29,11,29,535,69,0
u4786318283,10,0,1,95,0,1
u2325736448,165,4,431,1000,77,0
u1118272114312863745,2,0,1,167,0,1
u2772516270,117,4,47,1004,60,1
u111020422,1,0,1,231,0,0
u1166764247218569222,48,0,0,1001,0,0
u4900427942,1,0,4,210,0,1
u35708687,158,0,49,1009,86,0
u3054344553,151,0,28,1119,63,0
u986670021538705408,1,0,0,82,0,0
u1311650703052476416,187,17,251,1459,70,1
u1633409329,115,0,2,873,39,0
u322814850,1,1,0,57,0,0
u1153834840795598853,145,0,1,709,90,0
u1134846370664386560,171,0,111,1186,82,1
u929457576063909888,1,0,0,88,0,0
u1445780987200241676,1,0,0,6,0,0
u912332925181599744,2,0,1,40,0,0
u1461060505057910791,1,0,88,223,0,1
u839507605,1,0,0,40,0,0
u1167330903955255296,2,0,8,216,0,1
u1265202021013078018,6,0,2,339,0,0
u863090413640572930,466,0,3,976,70,0
u3246247247,61,0,5,1058,47,1
u2291813732,67,0,55,1111,48,1
u57894955,1,0,1,93,0,0
u167057149,1,0,0,76,0,0
u1343985708617363459,1,0,0,42,0,1
u451783441,17,0,3,294,0,0
u1016359279895474176,74,0,20,1001,81,0
u471901030,1,0,0,39,0,0
u48755892,123,0,0,1023,91,0
u972760692,127,0,7,799,62,1
u1449148343775604740,1,0,0,109,0,0
u1462278983182082048,567,0,11,1191,69,0
u3344705062,234,0,0,443,96,0
u1545999955,192,0,1,602,84,0
u1138352461293318146,103,1,40,548,81,1
u1380758120180412416,238,0,7,990,76,1
u3187019743,1,2,1,41,0,0
u1213074050123100162,1,0,0,40,0,0
u23737978,1,0,1,56,0,0
u1242755968921931777,1,0,0,10,0,0
u2530641714,1,0,0,40,0,0
u2308978435,106,0,0,1037,95,0
u1351544959724302343,132,2,1,363,88,1
u2975068302,2,0,1,42,0,0
u133251696,1,0,34,58,0,0
u72797413,5,0,0,39,0,0
u1475601536730419204,160,0,0,841,41,0
u1290789185058566144,60,0,58,1092,71,0
u1428726598132457474,4,0,0,281,0,0
u1344621829743390720,1,0,0,39,0,0
u1138163010839752705,1,0,0,26,0,0
u833887783,1,0,0,241,0,0
u850067449491857408,121,0,1,309,38,0
u1394977452104069122,2,1,2,165,0,1
u1266087139336306688,1,0,0,40,0,0
u18834851,7,7,134,381,0,1
u115739179,1,0,0,40,0,1
u1247087661635993600,17,0,0,46,0,0
u351930344,65,0,2,1017,71,0
u895692584496107520,1,0,0,200,0,1
u837008119947542528,3,1,19,91,0,0
u2149872472,1,0,0,40,0,0
u1290045946655465472,67,0,3,707,87,1
u1117114004759957505,1,1,5,40,0,0
u1281778899681239040,1,0,0,171,0,0
u1412197282561380362,1,0,0,95,0,0
u1163211509637365761,2,0,0,59,0,0
u793097942072778752,2,0,0,91,0,0
u1210956763618394113,77,0,6,207,85,1
u50667334,50,0,0,462,62,0
u1318473869192130561,39,0,2,381,90,0
u57056456,1,0,0,200,0,0
u625655093,326,0,0,474,85,0
u58594750,1,0,3,80,0,0
u1475099844259848192,1,0,0,90,0,0
u3796298352,2,0,0,203,0,0
u2970511299,1,0,0,203,0,0
u2415812162,9,0,1,265,0,0
u13336652,4,1,2,200,0,0
u1239232480043032576,2,0,2,324,0,1
u1229139107215003648,1,0,0,39,0,0
u1243296485485228032,1,0,0,199,0,0
u1350454575178764288,2,0,0,181,0,0
u191210910,5,0,0,200,0,0
u1483652121908105218,3,0,0,144,0,0
u1275782308897763329,0,0,0,28,0,0
u1212161720031965184,1,0,0,198,0,0
u1270071556580900864,1,0,1,40,0,0
u995620859862704128,2,0,0,11,0,0
u1295424394584621058,1,0,3,161,0,0
u1257029795214483458,1,0,0,36,0,0
u1253703042580520965,8,0,6,166,0,0
u1421119841348509701,1,0,0,36,0,0
u728706048,9,0,1,957,70,1
u1450562451108339713,4,0,0,40,0,1
u1221013626485661696,1,0,0,169,0,0
u1266439580502290432,14,0,0,438,90,0
u228965580,2,0,2,71,0,0
u1453072527417245698,1,0,0,201,0,1
u19795341,8,0,0,82,0,0
u2680376912,1,0,0,80,0,0
u1220824797862645760,1,1,1,315,0,1
u1435308305006616580,1,0,0,244,0,1
u761933658710245376,1,0,0,142,0,0
u1481515696907505665,1,0,0,25,0,0
u391684150,2,0,0,41,0,1
u1031597700628795392,1,0,0,90,0,1
u1126210975101853697,12,0,0,729,68,0
u49648631,1,0,9,88,0,0
u254438018,1,0,0,43,0,0
u973704579333459968,1,0,1,41,0,0
u192003648,1,0,0,200,0,0
u296232668,3,0,0,40,0,0
u1471963376838320129,1,0,0,20,0,0
u3012555684,1,1,1,111,0,0
u734651642356760576,1,0,0,41,0,1
u2537656317,1,0,13,151,0,1
u1288520630879559680,1,0,0,213,0,1
u261077066,1,0,0,200,0,1
u121114324,5,0,1,221,0,0
u110853412,1,0,0,163,0,0
u1100836013151346688,3,1,5,103,0,1
u760052673320144896,3,1,3,127,0,0
u16103686,1,0,1,40,0,0
u2298880530,1,0,0,200,0,0
u941466202680983553,12,0,22,183,0,1
u1189941067765952512,3,0,0,234,0,0
u1346592811777286145,1,0,11,64,0,0
u1460630728694140928,4,0,0,185,0,0
u1285313685506920451,7,0,0,261,0,0
u1480180047243878402,6,0,0,39,0,0
u1678559605,1,0,0,197,0,0
u1437047222185730055,1,0,0,240,0,1
u984444619395039232,6,0,0,199,0,0
u1411387420977754113,2,0,2,162,0,0
u1424728617238605832,17,0,0,19,0,0
u179201640,1,0,8,48,0,0
u1026894047904980992,3,2,0,40,0,0
u922588947104124929,3,0,0,200,0,1
u567952295,1,0,0,239,0,0
u1112727626173558790,2,0,0,75,0,0
u1106238403778088960,12,2,6,205,0,1
u1267721380667092993,0,0,1,53,0,1
u1293217252104450048,6,0,12,47,0,0
u247693430,2,0,0,43,0,1
u1171931293006872576,3,1,0,64,0,1
u1145016098628259845,38,0,0,22,9,0
u247484483,77,0,17,845,83,0
u1245255974425784321,3,0,0,89,0,1
u1433995454316834819,2,0,0,114,0,0
u1388116614885826564,76,0,0,11,7,0
u1473980236643684353,1,0,0,241,0,0
u480280640,1,0,0,201,0,1
u851612992449921024,1,0,0,41,0,0
u886032877011558400,22,0,2,127,0,1
u1273523953533767681,0,0,0,75,0,0
u1044348826046345217,2,0,0,191,0,0
u1402280293030060042,1,0,2,17,0,1
u412261425,1,0,0,40,0,0
u1252717261254586368,2,0,0,201,0,1
u896572843000864768,4,1,20,240,0,1
u745822007502180352,1,0,0,42,0,0
u415678946,1,0,1,43,0,1
u47818264,1,0,0,87,0,0
u1136201240,2,0,0,196,0,0
u3161911874,2,0,0,75,0,0
u2527198478,3,2,19,241,0,1
u1441200213738213378,1,0,0,241,0,0
u1265375435782631424,2,1,0,41,0,0
u4120187122,10,0,0,327,0,0
u1467509396263559168,2,0,0,201,0,0
u1181415558,0,0,0,109,0,0
u1091322534274973696,1,0,0,199,0,0
u100361060,0,3,0,204,0,0
u1283429390047739904,1,0,0,117,0,0
u1354551453260591108,1,0,8,106,0,0
u1476838065159262234,2,0,0,13,0,0
u832274779541381120,1,0,42,146,0,1
u898507085956214784,3,0,0,201,0,0
u1020239978100600832,5,2,0,272,0,1
u1727864341,1,2,0,38,0,0
u2389320174,1,0,0,9,0,0
u835658456,2,0,1,81,0,0
u3402510663,2,0,0,82,0,1
u1427934375908282373,5,0,0,198,0,0
u768781141,1,0,0,92,0,1
u539286281,2,5,6,158,0,0
u264812207,0,0,0,200,0,0
u1132982264059518978,0,0,0,196,0,0
u1224697459122876419,1,0,0,201,0,1
u1133778950700896256,4,0,0,196,0,0
u1385546258027274243,1,0,0,41,0,1
u118303390,1,0,0,200,0,0
u1273185318812844033,10,1,0,79,0,0
u1197801729653235712,1,0,0,88,0,0
u380619896,1,0,0,41,0,1
u2244370974,1,0,0,40,0,0
u949071236,1,0,0,40,0,0
u1485069997940436992,2,0,0,202,0,0
u392650296,1,0,0,49,0,0
u3064205201,0,0,0,200,0,0
u988864309638942720,1,0,0,157,0,0
u1250295974896922661,1,0,1,104,0,1
u762530951738036224,1,0,0,139,0,1
u27862465,1,0,19,101,0,0
u857185148990668801,0,0,8,126,0,1
u996948302435254278,1,0,6,47,0,1
u1361475880900517890,3,0,0,84,0,0
u1111014022835523584,1,0,0,40,0,0
u31335598,1,0,0,40,0,0
u2805549558,2,0,0,40,0,1
u1473618294,1,0,0,40,0,0
u1241116080589979653,1,0,0,47,0,0
u237388163,2,0,0,196,0,0
u857298434973458434,2,0,4,118,0,0
u1150498377517412355,2,0,0,40,0,0
u18260331,1,0,0,38,0,0
u1941098064,4,0,0,40,0,0
u1346817153597583369,2,0,1,280,0,0
u1293626597044518915,4,0,0,25,0,0
u1336610836450746370,3,0,0,281,0,0
u1447327922952437763,3,0,0,173,0,0
u868637460,8,18,0,158,0,0
u418425622,3,4,0,290,0,0
u1357193095725613056,3,0,0,200,0,0
u1485380199009198082,2,0,0,31,0,0
u1409809080,2,0,1,164,0,0
u434366411,1,0,1,208,0,0
u213900733,2,0,0,40,0,0
u1426598677280346119,2,0,1,190,0,0
u126706320,1,1,21,57,0,1
u1355087298321289217,1,0,0,85,0,0
u1422299354208014342,1,0,0,92,0,0
u1323664087352549379,0,0,0,142,0,0
u1214587759425400832,1,0,0,201,0,1
u3867438447,1,0,0,212,0,1
u2481568951,1,0,5,145,0,0
u1148301726954508289,1,0,0,188,0,0
u1416786600965689349,1,0,0,40,0,0
u1482471344646283276,60,0,0,399,86,0
u880128004088778752,1,0,5,208,0,0
u1305933794063642625,1,0,0,40,0,0
u135863931,1,0,41,74,0,0
u1419053444271206403,1,0,0,200,0,0
u1418213669414993926,18,0,0,309,0,1
u484124996,1,0,0,201,0,1
u463091649,1,0,1,138,0,1
u1422971745263251458,1,0,0,111,0,0
u2257947242,152,0,0,861,68,0
u1366195052016513025,2,0,0,41,0,1
u1278142959578382336,1,0,0,160,0,0
u1004809513491316736,7,0,0,155,0,0
u1325472345004400645,1,0,8,105,0,0
u126328438,1,0,0,198,0,0
u1412740227802841088,5,0,2,222,0,1
u1483305714722426882,1,0,0,20,0,0
u49247261,1,0,0,197,0,0
u1372143922915467267,1,0,5,137,0,1
u967016130303942656,1,1,0,204,0,0
u4056495563,1,0,8,122,0,0
u3107971262,1,4,7,88,0,0
u714289020277272576,6,0,0,173,0,1
u1484045178096791552,1,0,0,155,0,0
u1466283078247235587,3,0,0,186,0,0
u1238040995268374528,11,0,1,204,0,1
u1598320794,1,0,0,129,0,0
u702165549376102401,0,0,0,39,0,0
u1105425376640200705,125,0,0,499,63,1
u1483243995702894592,2,0,0,17,0,0
u911747773,1,0,0,44,0,0
u1364257826458206210,1,0,0,39,0,0
u262493732,1,1,2,213,0,1
u1265795290268917761,3,0,0,197,0,0
u1680753716,6,0,0,200,0,0
u1133777767,1,0,0,40,0,0
u1249100467,145,0,1,571,98,0
u88006261,1,0,2,175,0,1
u1072738935908909056,2,0,0,242,0,1
u1151773559879897089,0,7,1,155,0,1
u1347330709514424320,4,0,1,321,0,0
u1218143665769500673,1,0,3,121,0,0
u1044599452864937985,5,0,0,254,0,0
u2914375975,1,0,0,198,0,0
u1250216239,2,0,1,217,0,0
u48684234,2,1,2,270,0,0
u172065212,2,0,2,118,0,1
u730063437951164416,1,0,0,40,0,0
u1428529991395037184,1,0,0,40,0,0
u1349725540148772871,1,0,0,84,0,0
u1161742860187766789,0,0,0,198,0,0
u718530641554448386,8,1,1,229,0,0
u4927518665,3,0,0,40,0,0
u1439912131961425922,13,0,0,328,0,0
u1622514817,0,0,32,220,0,0
u376291394,0,0,3,124,0,0
u1385340914504282118,3,0,0,40,0,1
u826409480288137216,2,0,6,138,0,1
u470125393,1,0,0,198,0,0
u3051917509,0,0,0,82,0,1
u1378114864493694977,1,0,0,200,0,0
u136289773,1,0,1,231,0,0
u23790917,1,0,0,39,0,0
u1289644112363347968,0,0,4,49,0,0
u758490663444819968,1,0,0,38,0,0
u1447952579594436610,22,0,0,218,0,1
u978803056786788352,2,0,0,69,0,0
u1351331102812639232,1,0,0,107,0,1
u3912267406,2,1,0,212,0,0
u1462153471608733699,1,0,0,40,0,0
u390126630,3,0,5,43,0,0
u15262064,1,0,0,206,0,1
u1273576699,0,0,0,26,0,0
u1459262265723662338,1,0,0,40,0,0
u1382743861412388875,1,0,0,40,0,0
u2303367690,1,0,0,39,0,1
u3691876996,3,1,3,196,0,1
u1025774014877163523,12,1,1,42,0,0
u442498454,2,1,0,224,0,1
u975320308851847169,1,0,0,238,0,0
u9816582,1,5,1,164,0,0
