id,followers,retweet,retweet_prec,post,treatment_effect
u133251696,2,22,0.379310345,58,0.13188
u21165566,20,39,0.354545455,110,0.159698609
u1292369749557608448,1,23,0.2875,80,0.204582
u1017402014744154112,34,37,0.28030303,132,0.1851486
u1023606049893306368,5,24,0.255319149,94,0.2172555
u732669133,3,18,0.243243243,74,0.2250045
u908011843364552705,1,8,0.173913043,46,0.204624
u2248822775,1,7,0.170731707,41,0.1578255
u2527198478,1,41,0.170124481,241,0.181547625
u1173921059516637184,1,6,0.15,40,0.204267
u1037645505839464448,2,6,0.146341463,41,0.203175
u2587605132,2,8,0.129032258,62,0.14483175
u996948302435254278,3,6,0.127659574,47,0.0869575
u963790885937995777,9,17,0.124087591,137,0.10919265
u2843854321,6,27,0.121076233,223,0.10597125
u1402280293030060042,1,2,0.117647059,17,0.0654948
u759469096534704128,4,21,0.115384615,182,0.2012745
u2978608072,5,7,0.114754098,61,0.0408954
u1051134148243533825,3,1,0.1,10,0.0662095
u122125066,1,8,0.097560976,82,0.09226875
u1134846370664386560,30,111,0.093591906,1186,0.101067094
u629327649,3,5,0.089285714,56,0.1431045
u2958976657,18,25,0.087108014,287,0.081500416
u1039602742124326913,24,20,0.086956522,230,0.059605
u1085767099182710784,12,5,0.086206897,58,0.129869654
u1246787492965232640,15,11,0.0859375,128,0.130627875
u896572843000864768,4,20,0.083333333,240,0.1076075
u1311850585386348544,7,5,0.081967213,61,0.138747
u1130959251671834624,34,30,0.081743869,367,0.0530985
u1047107172440657920,1,4,0.08,50,0.110137125
u1244885700258017282,1,4,0.078431373,51,0.1733445
u927662736,5,15,0.076142132,197,0.1492512
u1137132454550990849,1,8,0.073394495,109,0.171129
u239444226,1,3,0.073170732,41,0.11249595
u1001222542856785922,1,3,0.071428571,42,0.114941663
u2870114861,3,12,0.068965517,174,0.148491
u1042837937187160064,2,6,0.06741573,89,0.099813
u2619505685,2,16,0.064777328,247,0.195643
u2998832617,2,10,0.063291139,158,0.183414
u1425814022373269509,1,8,0.058823529,136,0.195993
u926322099144323072,1,4,0.058823529,68,0.139734
u1461060505057910791,1,13,0.058295964,223,0.0064785
u1151773559879897089,3,9,0.058064516,155,0.0464765
u1354551453260591108,2,6,0.056603774,106,0.09707775
u582962011,5,5,0.053191489,94,0.123022772
u709478978470481920,2,2,0.05,40,0.0021455
u2291813732,57,55,0.04950495,1111,0.118349396
u1308494794713370624,13,10,0.049261084,203,0.11466
u1004228755,2,4,0.048780488,82,0.10665375
u1325472345004400645,4,5,0.047619048,105,0.1272747
u891377682,5,2,0.046511628,43,0.03448725
u1081210692542308353,9,11,0.046218487,238,0.093766167
u1494860316,2,2,0.044444444,45,0.1146495
u4540401917,6,2,0.044444444,45,0.1110045
u118128665,9,2,0.044444444,45,0.0554575
u1216654609768484865,19,2,0.043478261,46,0.14072835
u1293217252104450048,2,2,0.042553191,47,-0.0044625
u1262317363984306177,12,17,0.041871921,406,0.1664745
u1410393440257445891,1,5,0.03968254,126,0.0099162
u1290789185058566144,21,43,0.039377289,1092,0.127852001
