id,followers,membership,mentioned,post,like,pinned
u73355398,117,4,67,1030,91,1
u393876679,1,0,2,55,0,0
u52664889,91,0,32,1011,89,0
u23544459,233,9,6,1092,89,0
u2374259623,408,5,38,555,90,0
u3589968563,90,1,0,1080,77,1
u1232606515179204608,161,0,71,1294,83,1
u3439471,241,4,2,1110,76,0
u16659187,220,3,14,1320,62,1
u1412178678,184,4,87,1140,85,0
u949754838732156928,403,0,3,1202,71,0
u382020443,602,0,1,1102,88,0
u45010849,31,6,135,1600,89,1
u77234984,251,29,451,1088,22,0
u69546188,3,1,0,167,0,0
u1225183906590269440,327,3,7,1264,89,0
u1088583379531038721,368,2,98,1243,87,1
u1085290065490632704,124,1,4,1269,95,1
u21114659,461,18,117,1340,52,1
u14647570,457,105,720,1402,91,0
u28656166,122,0,16,996,0,0
u126301470,192,0,6,924,64,0
u116845797,260,12,32,1068,66,0
u273036671,142,1,19,1049,74,1
u1666328714,88,0,0,321,76,0
u1260578233336111106,431,6,33,568,95,1
u245957167,396,4,75,1012,73,1
u96149284,56,18,241,1247,47,0
u1378773598589042698,4,0,0,212,0,0
u192589318,389,15,55,1067,71,0
u28392516,233,5,7,1010,64,0
u2389603556,291,8,33,1062,88,1
u19062096,290,0,13,1170,80,0
u1450005594,286,0,0,1037,74,0
u1262864964072755201,418,0,26,1121,63,1
u1169501036568088577,313,0,0,1019,84,0
u468759217,377,0,2,1164,80,1
u60551154,301,2,42,1004,85,1
u1003004687573020672,485,2,20,1157,89,0
u79950229,1,0,0,84,0,1
u1267051110721781761,340,0,62,1518,88,0
u2345021,166,4,0,1134,62,0
u293920545,195,1,112,1176,48,1
u1335517450654412800,23,0,1,17,0,0
u965674672988852225,109,4,16,565,89,1
u1216393462062424066,185,3,20,99,92,0
u114412574,315,4,160,1074,70,1
u5932762,77,8,45,1174,89,1
u1359485184261820420,3,0,0,200,0,0
u1140667771518423040,251,2,47,996,88,1
u1389961515705454597,189,0,90,1108,90,1
u126376603,76,0,0,1014,68,0
u19264039,105,1,27,998,96,1
u298433909,73,0,2,990,76,1
u393643881,36,1,3,1006,89,0
u34466573,2,0,0,240,0,0
u37700619,348,0,0,1193,61,0
u3321159693,428,55,371,1076,19,1
u24001655,199,0,9,1007,86,0
u821122178888384517,524,0,0,1166,73,1
u787955435340963840,333,0,7,1130,90,0
u749640763059933184,376,0,28,1204,62,0
u1214475126315634689,288,0,2,1098,81,0
u848193493,77,0,3,1051,56,1
u13914392,361,7,1,1205,76,0
u1222751,98,4,0,284,82,0
u1292760397007802368,284,0,2,1191,60,1
u1453437063118868484,272,0,52,1212,81,0
u541741212,319,0,10,1100,74,0
u59221014,366,5,32,1028,79,0
u15032122,219,0,0,1012,80,1
u582721240,264,0,15,1087,73,1
u176087555,301,0,5,1167,80,1
u908301129850736640,144,1,45,1032,85,0
u1566074456,2,6,2,239,0,1
u442627272,326,1,5,1032,89,1
u1031283188,161,0,7,1015,63,0
u142033506,426,0,1,1100,84,0
u1430556481242468353,339,0,15,1123,93,1
u925907616,144,6,42,1005,87,1
u185076709,90,17,111,1038,85,1
u755733097,403,28,964,1120,86,0
u1716121,400,17,304,1752,87,0
u1121799138239111168,7,5,20,82,0,1
u1953117589,387,6,36,1208,91,1
u109589477,321,6,10,1013,88,0
u329818631,422,6,47,1007,83,0
u105589263,230,0,0,996,55,0
u873873454256271360,2,0,0,38,0,0
u1445432327367237638,211,1,5,1176,65,0
u7637292,305,5,11,1009,92,1
u700806184182239233,172,1,86,1036,62,0
u1135162760097087489,51,9,89,362,99,1
u435105622,373,2,34,1019,85,0
u1336339632011657224,333,0,1,378,93,1
u31235299,301,2,16,1006,97,1
u998242627123376128,79,0,62,1070,78,1
u406583979,335,0,7,1330,80,0
u908449352913506304,485,0,5,1081,93,0
u940486459856949248,4,0,10,51,0,0
u25679988,333,0,3,1202,70,0
u2608768125,285,0,0,1063,82,0
u1237923963650498560,2,0,0,241,0,1
u1060796083260047362,122,0,0,1086,65,1
u1411619089,271,0,0,727,63,0
u23784804,424,6,19,1183,66,1
u2378713202,7,2,3,210,0,1
u16620874,281,3,5,1391,78,1
u1049203577640640513,60,0,3,1139,82,1
u985020698,107,0,96,1134,85,1
u19307505,328,15,14,1011,81,1
u997994342949236736,305,0,4,1002,78,0
u2922928743,452,19,264,1268,59,1
u1951616070,430,5,37,1019,72,1
u12340562,345,23,20,1046,74,1
u1254449643804676096,83,3,10,1123,75,1
u78406161,146,0,71,1053,86,1
u1253385369355268097,358,1,8,1189,86,1
u1731805261,2,9,68,279,0,1
u1010033533279014913,176,11,18,1156,59,1
u963424322516856832,395,1,0,1074,97,0
u66327572,453,2,125,1130,72,1
u135218064,204,5,4,998,69,1
u486788914,4,0,17,130,0,1
u200459463,333,0,6,1089,51,1
u7626982,244,0,1,1042,87,1
u1170962538047184898,7,2,2,51,0,1
u234764852,371,1,7,1099,65,1
u713091816757837826,338,0,3,1043,88,0
u1303621701016662017,414,1,0,1168,87,1
u15040978,201,10,40,1040,84,0
u831157867633852416,1,0,5,203,0,0
u14176770,324,6,51,1230,53,1
u1925199355,1,3,1,255,0,1
u1660875002,431,1,8,985,97,1
u1287502143000391681,367,3,14,1271,53,1
u760219193195302912,502,6,77,1295,79,1
u1062706908,191,3,41,658,94,1
u1254097248855699458,1,1,1,112,0,1
u142012757,107,0,51,1005,65,1
u1899161,625,15,0,1135,99,1
u2434191967,278,7,62,1315,53,1
u110183325,282,1,109,1487,73,1
u3430269892,140,0,0,990,81,0
u25178222,318,2,10,1465,58,1
u25786620,346,3,9,317,70,1
u8932272,382,21,245,1323,93,1
u571141141,280,0,189,1349,66,1
u3082871337,76,6,10,384,82,0
u75338122,333,2,5,648,92,1
u2363351662,231,5,87,1030,86,0
u156279849,299,0,3,1060,82,1
u1297135268961513478,1,0,0,200,0,0
u1166351,1,6,27,251,0,0
u1298178034705600512,269,0,1,1150,84,0
u1356033723494400002,1,0,25,59,0,0
u37860248,448,14,14,1082,88,0
u1326145610374844416,6,0,1,291,0,0
u1111996925539172352,464,0,1,1072,80,0
u818401525882036224,333,3,3,1122,78,1
u2893927442,293,1,4,983,72,0
u32807399,174,8,56,1179,82,0
u1383719180361375744,305,0,11,667,75,1
u2896065555,305,0,2,951,86,1
u909451577999724544,374,0,10,1253,88,1
u131053564,256,1,0,1054,89,0
u1038227208307961859,1,0,0,40,0,0
u428441121,223,1,14,1158,63,0
u1539678780,267,0,2,1089,81,0
u2492917412,419,95,447,1255,95,0
u19344825,243,16,172,1068,72,0
u121895573,272,5,0,984,72,1
u56828100,237,2,162,1027,93,1
u889876157935611904,120,0,30,620,89,0
u605360145,285,0,0,1110,86,0
u1427516209268858880,281,3,4,683,72,0
u1398183481616732161,47,0,4,411,100,1
u934897738172342272,273,3,748,1012,86,1
u17140359,251,37,0,1192,59,1
u1637260062,1,0,4,124,0,1
u110326494,397,24,302,1641,75,1
u1243560408025198593,514,8,434,1544,89,1
u3054361064,267,0,4,1055,76,1
u252388658,506,0,1,1074,93,0
u15474568,371,5,6,1054,84,0
u1377391693,110,0,15,1010,92,0
u332185953,190,12,47,1127,80,1
u25971804,179,4,16,886,59,0
u1453320862824808452,134,0,10,500,81,1
u807233040825126912,130,1,0,336,87,0
