id,followers,membership,mentioned,post,like,pinned
u588465294,159,2,16,990,77,0
u1448739324,142,0,33,1056,73,0
u3890280383,48,1,70,1071,88,0
u1148968216380788738,120,0,6,66,84,0
u945708754825342976,19,0,7,93,10,0
u879456634413740032,190,1,10,1000,65,1
u717456558922330113,297,4,122,763,89,1
u415765530,187,5,54,1047,88,0
u853092620,83,0,0,273,22,0
u724247406,1,0,0,40,0,0
u3239963093,108,0,1,171,93,0
u1041440667313078274,114,0,42,704,91,0
u528020973,393,5,18,1134,86,1
u1186931863228571649,2,0,0,39,0,0
u3301643341,340,18,199,822,97,0
u1158907365829177344,58,0,1,91,84,1
u1447128841319813121,115,0,15,75,20,1
u50426809,37,1,14,143,92,0
u193364583,444,3,20,1018,76,0
u3289968268,177,3,26,495,86,1
u1327323242735030273,5,0,0,24,0,0
u869356058690670594,141,6,225,1008,63,1
u1305560602706939906,16,0,8,168,88,0
u843655910820069376,109,0,7,154,98,0
u1357351456387592195,163,1,7,1084,82,1
u1011559160540876800,54,1,29,1025,92,1
u936331435614593024,91,1,3,800,82,0
u19403676,1,0,11,96,0,1
u1132608658087567360,359,0,2,1086,84,0
u1124405762,125,0,6,1044,76,1
u961168892109340672,23,3,4,1007,62,0
u1346991528,170,3,104,1012,94,0
u1049949307351134208,156,0,90,418,18,0
u1123606100413014016,169,1,4,965,77,1
u1269002722264653831,1,0,0,201,0,1
u2577886615,161,16,22,1174,71,1
u1346430334934646785,1,0,2,55,0,1
u1156564906289881091,361,1,0,619,90,1
u237270207,300,2,45,1043,82,0
u251372955,141,1,287,1063,87,0
u1301942561960009732,2,0,0,80,0,1
u994304342130913281,77,3,14,431,89,1
u934888976766390272,3,0,0,58,0,0
u1095011348436709376,47,0,2,358,85,0
u1251231109817397249,34,0,1,30,87,0
u265561503,44,0,39,999,63,0
u1469713549974855684,7,0,0,240,0,1
u739375182259888128,83,0,1,993,86,0
u45006241,199,1,8,1018,71,1
u827789521,167,0,17,776,86,1
u781982295863484456,102,2,116,1031,88,1
u1476118270394703874,1,0,0,92,0,1
u779444324748656640,2,1,0,204,0,1
u620669465,1,0,0,217,0,0
u248921411,2,0,0,29,0,0
u828301184368783360,133,10,10,152,94,0
u768550272624955392,28,0,8,923,86,0
u1171501310195056641,318,0,0,823,78,0
u1260616594209869826,46,2,0,995,78,1
u1225708549071761408,1,0,0,40,0,0
u185911610,247,1,0,189,79,0
u1418575769215782912,126,1,6,1282,74,1
u935142300447109121,1,0,0,201,0,1
u832885476306542594,268,0,5,181,96,1
u1006506407322144768,159,0,25,923,89,0
u4646156380,80,3,142,1051,74,0
u1250305224176066561,1,0,0,70,0,0
u1353459490478301185,3,0,0,202,0,1
u1001858422353158144,0,0,0,194,0,0
u290663751,22,1,0,217,0,1
u855742402950287361,95,0,7,66,91,0
u4199649639,138,0,11,412,62,0
u438135879,5,0,0,22,0,0
u3335731978,169,35,46,1053,92,0
u4021650673,297,0,2,581,88,1
u1308031437975826437,69,1,52,300,81,0
u866306487156695041,37,0,16,144,97,0
u37228557,1,0,1,40,0,0
u1292318555002875904,1,0,0,200,0,0
u82059681,2,0,0,201,0,0
u1336694352983314433,45,0,48,353,92,0
u77436536,307,4,17,1030,85,1
u824846683510943744,1,0,0,99,0,0
u105387876,98,0,0,1038,86,0
u714447618777202688,119,1,2,1093,77,0
u67838344,1,0,0,193,0,0
u157396300,9,1,0,40,0,0
u508650379,109,1,1,489,78,0
u1368788108225912842,4,1,12,100,0,0
u1017029007752290305,188,3,30,750,82,0
u67566869,2,2,1,230,0,0
u78587111,69,1,46,977,50,0
u1358808262179758080,38,1,1,38,95,0
u3670178534,322,0,7,1018,81,0
u635826578,120,1,15,343,93,0
u1197451389959655425,1,0,0,103,0,0
u1092808813693014017,40,2,93,540,20,0
u1189283870639833089,4,0,0,206,0,0
u1179835651807727616,180,0,5,33,83,0
u1182012259960143873,278,1,1,1030,77,0
u28649627,196,7,12,1000,67,0
u741330136562315264,0,0,6,48,0,1
u2876745630,0,0,0,219,0,0
u2865100348,346,30,866,1164,90,1
u101606329,5,1,17,57,0,0
u2425728790,2,0,0,204,0,0
u4840178752,0,0,1,196,0,0
u805690811413184512,300,0,0,348,78,0
u28364479,194,2,2,1066,59,1
u22313111,412,0,0,319,60,0
u1139414553253404672,2,0,0,196,0,0
u1305913452498743305,1,0,0,41,0,1
u989396481282052096,110,0,368,1015,83,0
u1451132239333367819,1,0,0,188,0,1
u1146144360762871808,108,0,23,283,92,0
u3219879796,11,0,0,40,0,0
u822506849039740929,2,0,0,199,0,0
u927146995923394560,0,0,0,52,0,1
u621083474,329,0,0,259,80,0
u1426208664826875904,2,0,6,93,0,1
u891007619787235328,38,0,58,378,84,0
u43519493,2,0,0,200,0,0
u1254025982224326656,92,19,1560,1048,93,0
u2215433100,2,0,23,60,0,0
u861942444,5,1,0,70,0,0
u4738399342,2,0,34,65,0,0
u1042182809945698305,87,0,21,343,64,0
u1338943108831129600,24,1,10,363,0,1
u887464432430850048,140,1,14,789,87,1
u1948032967,3,3,40,210,0,0
u1356647192002326529,2,2,5,56,0,0
u596489946,119,1,1,434,79,0
u177632301,320,0,1,356,85,0
u1376841165937520641,152,0,6,298,73,0
u1146058388452888577,1,2,0,47,0,0
u702654319691112448,1,1,3,109,0,0
u2229105008,1,0,3,134,0,0
u2602629047,1,0,0,214,0,0
u1174246379067256832,4,0,0,3,0,0
u157869434,49,0,20,800,52,1
u1005087744027082752,33,0,49,257,95,0
u737280006783684608,1,0,1,53,0,0
u1301611039642058752,50,0,1,240,30,0
u1267410033748443138,25,0,8,241,98,0
u2375821987,2,1,3,40,0,0
u2231957036,3,3,0,41,0,1
u1185262280243666944,3,0,0,40,0,0
u3805219155,22,0,37,557,98,0
u1350230458299150336,1,1,0,67,0,1
u2859135501,301,0,1,40,90,0
u1287239187427553281,95,0,0,291,96,1
u1324780713690963968,0,0,0,228,0,0
u855487392068841472,1,2,0,200,0,0
u1140546328260501504,4,0,0,180,0,0
u48008611,66,0,9,999,72,0
u1035372205977292800,379,0,4,1045,88,0
u997173172662292480,1,0,0,40,0,0
u1194201098166374400,14,1,0,41,0,0
u3093875686,1,0,9,199,0,0
u72541878,8,2,1,66,0,0
u504526414,210,0,5,737,89,0
u1372393287911411719,160,0,0,1038,76,0
u3234515937,1,0,6,241,0,0
u1463134325344407555,20,1,0,70,0,0
u2861591380,1,0,0,95,0,0
u937769910255702016,1,3,1,296,0,0
u775470383784873984,1,0,0,40,0,1
u1444591604010942468,2,0,0,86,0,0
u919922230905245697,64,0,7,1050,66,0
u742847065441505280,1,0,0,40,0,0
u1230946695367794689,1,0,0,194,0,0
u238285226,1,2,0,46,0,0
u4234411445,3,0,0,201,0,0
u1127718289801711616,1,0,0,40,0,0
u3378279069,1,0,0,193,0,0
u1702388364,1,0,0,243,0,0
u1222062459797766144,1,1,0,40,0,0
u2319354073,1,0,0,200,0,0
u1309970168962052096,2,0,0,40,0,0
u1356800296920502275,9,0,1,41,80,1
u982031319365496832,1,0,4,40,0,0
u43700309,1,0,0,40,0,0
u388595556,2,3,8,45,0,0
u1347846956127686657,1,0,0,39,0,0
u1528456471,51,0,16,1009,71,0
u48773551,174,2,1,1025,73,1
u1141626843235094529,2,0,6,51,0,1
u1405244064308551683,1,0,0,81,0,1
u808878324,1,0,0,155,0,0
u3989248213,1,6,54,232,0,0
u1407734353258434568,2,0,1,58,0,0
u827957754555949060,2,0,0,200,0,0
u959868384832839681,5,1,1,205,0,1
u3229898011,1,1,0,87,0,0
u1186342888868732928,1,0,0,39,0,0
u1304756180695289857,1,0,1,46,0,1
u1689862424,1,0,0,240,0,0
u700750398601039872,1,0,0,83,0,1
u1359884840762499080,2,0,0,246,0,1
u251595925,1,0,0,199,0,0
u1699744380,13,0,0,40,0,0
u1397649024237416458,1,0,0,124,0,0
u466099827,5,3,3,47,0,1
u2322193832,1,0,0,199,0,0
u3031871632,3,0,16,78,0,1
u41362122,1,0,0,201,0,1
u1410204055851261958,1,0,0,40,0,0
u940689019398230017,1,0,1,202,0,0
u1266355279,1,1,0,203,0,0
u163554681,1,0,6,125,0,0
u382027921,6,2,46,54,0,0
u1634089476,87,0,0,76,43,0
u17598537,1,0,0,199,0,0
u1124226747757682688,6,4,212,197,0,1
u3366199564,2,0,50,97,0,1
u448416174,1,1,0,40,0,0
u4883065037,2,0,1,40,0,0
u4399175235,1,0,0,195,0,0
u82037870,21,0,0,211,0,0
u967052279764410368,2,0,0,80,0,0
u1205078744,1,0,0,40,0,0
u43583714,1,2,0,40,0,0
u1200444512973344768,1,0,0,200,0,0
u1090887196754640896,5,2,102,102,0,0
u128063191,2,0,0,97,0,0
u1223016700280496130,350,0,21,749,11,0
u1386737540892446730,1,0,0,184,0,0
u100185304,10,2,5,131,0,1
u3371075147,1,0,0,212,0,0
u576905709,1,0,0,40,0,0
u1120239425009537024,2,0,0,40,0,0
u2303392016,1,0,0,200,0,0
u2382100904,1,0,0,200,0,0
u1330891490839687180,1,0,0,103,0,0
u107328524,42,0,305,1007,34,0
u860888703459352576,1,0,0,206,0,1
u884449994979364864,0,0,0,199,0,1
u1240783715363676161,1,0,1,44,0,1
u2205782114,0,1,0,210,0,0
u1367075399084163075,1,0,0,40,0,1
u351145094,1,2,1,201,0,0
u1028590807299829761,2,0,3,201,0,0
u3270250038,1,0,1,196,0,0
u1176607791852605440,1,0,3,56,0,0
u1359152609756663809,1,0,0,34,0,0
u1015101216739639296,1,0,0,200,0,0
u981473550254198784,81,0,10,948,83,0
u1383210463077470209,1,0,0,1,0,0
u879336851592630272,3,1,0,200,0,1
u786637119888367616,1,0,0,40,0,0
u2976930245,1,0,0,194,0,0
u1185010728346017792,1,0,0,30,0,0
u783999911465365504,164,0,0,325,76,0
u1199039332926902272,2,2,0,177,0,1
u929274665477996544,1,0,0,194,0,0
u1900923625,1,0,1,41,0,0
u1271048434330537985,5,1,0,40,0,0
u1063889977392586752,0,0,0,152,0,0
u278260127,2,0,0,216,0,0
u1245268751601131521,5,0,1,54,0,0
u1124291405449502720,14,0,1,45,0,1
u1174359145262305280,14,0,41,188,0,0
u903649503441498112,1,0,5,213,0,0
u4149877034,3,0,3,48,0,0
u1331681766814359552,2,0,0,163,0,1
u87765465,1,9,11,69,0,0
u2400445686,2,0,2,200,0,1
u1112092843,2,0,0,40,0,0
u1069521207018573824,2,0,13,83,0,0
u768528815127601152,1,0,0,200,0,0
u20030159,22,4,19,85,0,0
u820770184898211844,1,0,0,40,0,0
u810488486323163136,2,0,1,157,0,0
u16039495,4,0,1,293,0,0
u2552903630,2,1,4,51,0,0
u938673870,49,0,0,279,99,0
u1583338284,115,0,90,1036,61,0
u261810006,1,0,0,39,0,0
u1168604019176198144,28,3,24,236,0,0
u54439231,1,0,2,31,0,0
u408609667,1,0,5,70,0,0
u1291429051928911873,1,0,0,116,0,0
u2331035372,3,0,4,49,0,1
u1293608282876256257,1,0,1,41,0,1
u1107569814,1,0,0,40,0,0
u89016418,1,0,0,41,0,0
u953935219983298560,1,1,0,40,0,0
u3249837239,1,2,13,209,0,0
u172600244,1,0,0,40,0,0
u974286832425938944,1,0,0,200,0,0
u717356505150930945,9,1,1,111,0,0
u1112742948779622403,7,0,0,237,0,1
u14158301,1,0,0,8,0,1
u701037780831371265,1,15,5,205,0,1
u842142205,4,0,0,40,0,0
u1092173124681023493,61,0,2,871,85,0
u1417233888863195141,1,0,0,81,0,1
u2842688490,1,0,2,41,0,0
u12141752,0,3,1,182,0,1
u172134257,1,0,0,199,0,0
u1204315486592352257,3,0,6,42,0,1
u1290613410825199617,3,0,0,55,0,0
u1411389485246386178,2,0,0,22,0,0
u1461724219432124429,1,0,0,200,0,0
u212695361,1,0,0,240,0,0
u871439248569884672,1,0,1,87,0,1
u291978867,1,0,0,40,0,0
u502837481,1,1,0,201,0,1
u48339058,1,0,3,43,0,0
u1310694689587298306,1,1,1,24,0,0
u410145048,1,0,0,47,0,0
u1108977770,1,1,0,40,0,0
u1114172639973605376,4,0,6,59,0,0
u1029069752138907648,12,0,9,171,0,1
u956606106901581825,1,0,0,184,0,0
u1193531377922134016,3,4,18,72,0,1
u1230634852577230848,1,1,0,80,0,0
u103463399,1,0,0,30,0,0
u1318356452227108864,1,0,0,200,0,0
u1201951051508830208,6,0,0,130,0,0
u1407455972545613824,4,0,3,205,0,1
u1069599581900599302,1,0,0,45,0,0
u154880243,3,2,0,199,0,0
u813280314,2,0,0,64,0,0
u1314516864001888257,1,0,2,40,0,0
u1384448297339924480,1,0,0,92,0,0
u1307433502196076546,14,0,0,228,0,1
u1179831004976095232,1,0,11,75,0,1
u1231042249972076544,2,0,0,74,0,0
u812292520252231680,1,1,0,201,0,1
u250034442,2,0,1,41,0,0
u204832358,1,0,0,40,0,0
u1170169986087837696,1,1,0,80,0,1
u1073808123821928448,1,0,0,200,0,1
u1303293353337839616,2,0,0,42,0,0
u1287975543309139969,1,0,0,200,0,0
u892415402,38,0,8,810,44,1
u1476993928997998592,20,0,0,90,0,1
u975572363331878918,9,4,0,230,0,0
u86452222,1,1,0,200,0,0
u900529779606036481,1,0,3,199,0,0
u992153895278403584,1,0,0,200,0,0
u1256164887161700352,1,1,0,43,0,0
u866985001740619776,1,0,19,211,0,1
u127007847,5,1,0,201,0,0
u2739710038,8,0,0,151,0,0
u1381146523015262208,2,0,14,116,0,1
u890649295866609664,1,0,1,125,0,0
u824762326347706368,5,1,5,159,0,0
u1153225676473929728,2,4,4,179,0,1
u701220659758813184,2,0,5,57,0,0
u1250173046616457218,1,0,0,39,0,1
u1042193672983523328,1,1,1,45,0,0
u794178460679868416,1,0,0,211,0,0
u727374623013261313,2,3,0,41,0,1
u884022229,1,9,59,126,0,1
u1256507376636551170,1,0,0,36,0,0
u1171246262529794048,2,0,0,41,0,1
u1190232542835724289,3,0,0,40,0,0
u1193566604711399424,1,1,0,41,0,1
u1390476249244463112,2,0,0,200,0,0
u1201865058000818183,1,0,0,226,0,0
u1212339451851968512,1,0,0,40,0,1
u1328394906818195456,2,0,0,156,0,0
u16364025,1,0,2,200,0,0
u1182295083397402624,1,0,8,63,0,1
u1285905122166337536,3,0,4,204,0,0
u1296751126528704512,1,0,0,40,0,0
u963865433584558080,6,7,12,215,0,1
u781059970531991552,2,0,0,210,0,1
u3314732624,290,0,2,46,94,0
u1429436892110544898,1,0,1,41,0,0
u1094341524681306112,1,0,1,201,0,0
u303574520,1,0,0,51,0,0
u50301574,313,0,0,638,87,0
u1095528673355149316,2,0,6,210,0,0
u1030111039742988288,1,0,2,33,0,0
u71635784,1,0,74,87,0,0
u2987913520,2,0,0,200,0,0
u430172799,1,0,1,40,0,1
u93664252,13,0,0,200,0,0
u65453060,1,0,0,40,0,0
u1223643813144604673,1,0,0,135,0,1
u920358270044442624,1,3,109,246,0,0
u441341854,1,1,6,48,0,0
u824860302910959616,1,4,0,40,0,0
u554394845,1,0,2,56,0,1
u1969566128,2,0,0,209,0,0
u251874199,1,0,1,41,0,0
u3013642327,1,0,0,200,0,1
u39296859,1,0,0,200,0,0
u1241421239182376962,1,0,0,40,0,0
u506487817,2,0,0,40,0,0
u1350666605164949504,0,1,2,52,0,1
u35930728,3,0,2,44,0,0
u1344408234921132032,8,0,4,63,0,1
u2654096685,1,0,0,199,0,0
u1350263334,0,2,2,200,0,0
u870719840578715649,13,0,0,209,0,1
u953105171348967425,2,0,0,183,0,0
u1090009562269302784,0,1,0,208,0,0
u1188553944840265729,1,0,0,40,0,0
u756685628746698752,1,0,0,9,0,0
u1303969701404512256,2,0,0,137,0,0
u107040457,7,3,1,41,0,0
u46633803,1,0,0,200,0,0
u1437897235115634691,1,0,0,106,0,1
u1315873617012555777,5,0,0,281,0,0
u1118696374781054979,9,0,0,200,0,0
u262243683,1,0,46,76,0,0
u841321083110379521,1,0,0,111,0,1
u23540638,1,0,0,237,0,0
u1144223939742187520,14,0,3,441,0,0
u919277209,3,1,0,199,0,0
u753594354640400385,1,0,0,199,0,0
u820885078997745666,1,0,2,375,0,0
u4170439413,1,1,3,88,0,0
