id,followers,retweet,retweet_prec,post,treatment_effect
u72435786,1,60,0.625,96,0.079821
u872889523138703360,1,88,0.586666667,150,0.15029
u1613522221,1,89,0.581699346,153,0.201096
u95855933,1,130,0.448275862,290,0.127183
u1318588554252066816,1,54,0.43902439,123,0.206962
u3072533729,1,47,0.423423423,111,0.161322
u1071225642,1,30,0.422535211,71,0.161427
u633812492,1,38,0.422222222,90,0.167503
u1019618165007896577,1,55,0.364238411,151,0.178969
u2865100348,215,422,0.362542955,1164,0.123846127
u986106360,1,35,0.343137255,102,0.200494
u1254025982224326656,208,296,0.282442748,1048,0.123823122
u1035557609770811392,1,18,0.276923077,65,0.12852
u251372955,123,287,0.269990593,1063,0.088250257
u1199694833335635973,1,14,0.264150943,53,0.134694
u785839416933834755,1,13,0.240740741,54,0.179571
u1222763249474523136,1,13,0.240740741,54,0.069573
u3218981387,1,13,0.232142857,56,0.150038
u1236224386639765505,1,43,0.187772926,229,0.167314
u1422690117307752448,1,11,0.161764706,68,0.176246
u887334051996196868,1,7,0.152173913,46,0.164556
u1300663354613145600,1,5,0.138888889,36,0.144613
u3697517847,1,6,0.136363636,44,0.094486
u736138282300542976,1,6,0.130434783,46,0.159264
u22190804,1,6,0.130434783,46,0.013741
u1364865596542844928,1,6,0.12,50,0.006685
u2417782351,1,7,0.118644068,59,0.145957
u1177309886629076993,1,6,0.117647059,51,0.145201
u979585694711521281,1,6,0.113207547,53,0.0636475
u2597670788,1,5,0.111111111,45,0.117754
u1166289692767195136,1,14,0.108527132,129,0.150731
u1114172639973605376,1,6,0.101694915,59,0.131096
u3301643341,172,73,0.088807786,822,0.123752962
u1210564689060610049,1,4,0.086956522,46,0.143647
u2420962992,1,4,0.086956522,46,0.122416
u989396481282052096,56,88,0.086699507,1015,0.154482051
u2651353567,1,4,0.083333333,48,0.136983
u2922637577,1,5,0.075757576,66,0.136507
u1239551635363442690,1,9,0.074380165,121,0.161427
u754995650,1,3,0.073170732,41,0.137046
u628018416,1,3,0.071428571,42,0.150878
u856542084286873601,1,3,0.069767442,43,0.136059
u2885692329,1,3,0.069767442,43,0.062573
u866306487156695041,67,10,0.069444444,144,0.098795824
u1426208664826875904,1,6,0.064516129,93,0.005558
u1092808813693014017,109,33,0.061111111,540,0.111505296
u752569136,1,3,0.06,50,0.142576
u790570008141193216,1,3,0.06,50,0.14245
u806297631144157184,1,3,0.06,50,0.075096
u2294255946,1,4,0.057971014,69,0.171927
u19403676,1,5,0.052083333,96,0.096964
u1722125586,1,10,0.05,200,0.121431333
u951914083615477761,1,2,0.048780488,41,0.121569
u1260015011033804802,1,4,0.046511628,86,0.143969
u1134720673,1,2,0.046511628,43,0.140056
u1178667391011606528,1,2,0.045454545,44,0.009072
u1188917860145553408,1,2,0.044444444,45,0.1159725
u3890280383,48,47,0.04388422,1071,0.133218125
u1310098210187214849,1,1,0.043478261,23,0.120561
u4149877034,1,2,0.041666667,48,0.132636
u1310694689587298306,1,1,0.041666667,24,0.130942
u441341854,1,2,0.041666667,48,0.128394
u1045879172659335169,1,2,0.04,50,0.135086
u1179831004976095232,1,3,0.04,75,0.115248
u1275694049731674116,1,1,0.04,25,0.0484295
u100185304,1,5,0.038167939,131,0.008148
u958060762567790593,1,2,0.032258065,62,0.015946
u832885476306542594,86,5,0.027624309,181,0.027859479
u1354962570990350345,1,1,0.026315789,38,0.141064
u843655910820069376,51,4,0.025974026,154,0.093769667
u1381146523015262208,1,3,0.025862069,116,0.021791
u1225576247008219136,1,1,0.025,40,0.139993
u1057843371606192128,1,1,0.025,40,0.134491
u430172799,1,1,0.025,40,0.133413
u1078353546863693826,1,1,0.025,40,0.111482
u97008319,1,1,0.024390244,41,0.1351
u1429436892110544898,1,1,0.024390244,41,0.002926
u1456718895423819776,1,1,0.023809524,42,0.140882
u917787162787110912,1,1,0.023809524,42,0.138418
u417622400,1,1,0.023809524,42,0.050001
u39725174,1,1,0.023255814,43,0.100023
u919684291470147584,1,1,0.022222222,45,0.139069
u1124291405449502720,1,1,0.022222222,45,0.137872
u741330136562315264,1,1,0.020833333,48,0.1298675
