id,followers,follower_sent,retweet,retweeted,membership,mentioned,post,like,pinned
u1101320424,96,-0.5719050505050507,10,221,5,19,1238,68,1
u729277017028337664,0,-0.7702,1,0,0,1,282,0,0
u16598272,0,,1,0,3,4,96,0,1
u1413511685583917056,98,-0.321303738317757,0,635,0,1,1362,77,1
u1333006089013633025,2,-0.022749999999999992,0,0,1,0,280,0,0
u1479690432875360256,0,,0,0,0,0,96,0,0
u1476692379277172738,114,-0.5340231999999999,8,244,0,14,1352,75,0
u2291813732,92,-0.3351353535353536,55,56,0,55,1111,48,1
u1123606100413014016,119,-0.09113888888888891,2,32,1,4,965,77,1
u170688082,258,-0.28224139194139186,123,321,3,178,1497,80,1
u1476527172743532544,0,,0,0,0,0,200,0,0
u1276116241690906627,12,0.09617692307692309,0,12,0,1,112,86,0
u38669987,146,-0.1693095541401274,0,730,0,0,1028,85,0
u1095574616771346432,1,0.9377,0,0,0,0,58,0,0
u1114969954951020545,9,-0.35016666666666674,1,0,0,2,125,0,0
u4786318283,6,-0.46058333333333334,0,0,0,1,95,0,1
u481762079,5,-0.5749,7,0,1,8,316,0,0
u1118272114312863745,1,-0.9708,1,0,0,1,167,0,1
u2386783885,98,-0.19932075471698124,0,888,8,0,1097,89,0
u164302521,1,0.0,0,0,0,0,113,0,0
u1201056730727288832,2,-0.92605,1,0,0,3,140,0,0
u237572596,0,,0,0,1,1,270,0,1
u1484734106680369154,0,,0,0,0,0,96,0,0
u1259184412031365122,31,-0.5061235294117647,0,4,0,0,280,1,0
u29887134,0,,0,0,1,0,90,0,0
u247717812,0,,0,0,2,0,100,0,1
u1348974884051972101,4,-0.21162499999999998,0,16,0,0,1037,89,0
u14443226,2,-0.7257333333333333,22,0,7,33,307,0,0
u1288176173466308609,3,-0.08550000000000002,0,0,0,0,283,0,0
u1322647962925834246,44,-0.13847600000000004,1,310,0,2,895,61,1
u253626138,0,,0,0,0,0,84,0,1
u1167330903955255296,2,0.15953333333333333,4,0,0,8,216,0,1
u52702200,1,-0.40625,0,0,0,1,133,0,1
u1399211203189043210,0,,0,0,0,0,128,0,1
u948014469044678656,4,0.2740666666666667,2,0,2,5,274,0,1
u1276426094242127874,2,-0.9904999999999999,0,0,0,0,123,0,1
u4895341505,14,-0.36378333333333335,0,13,0,0,728,12,0
u1411777444772724745,0,,0,0,0,0,81,0,0
u1448654813793718277,0,,0,0,0,0,116,0,1
u1462278983182082048,28,-0.28911000000000003,11,354,0,11,1191,69,0
u1243265286402224129,0,,0,0,0,0,130,0,1
u2926575252,0,,0,0,0,0,76,0,0
u1232012278578307075,0,,0,0,0,0,82,0,1
u1449981486480953344,0,,0,0,0,0,40,0,0
u1016359279895474176,37,0.16520256410256406,4,140,0,20,1001,81,0
u1017541345865621506,6,0.001683333333333333,4,0,0,7,107,0,1
u1485270531364503553,0,,0,0,0,0,153,0,0
u1373668366574059523,0,0.0,0,0,0,1,172,0,1
u1290227929838948358,5,0.05716000000000003,2,0,6,14,113,0,1
u1475601536730419204,7,-0.29441,0,635,0,0,841,41,0
u48966397,3,-0.23303333333333334,6,0,3,0,90,0,0
u1444900086811668480,0,,0,0,0,0,52,0,0
u1481802894512992256,0,,0,0,0,0,120,0,0
u38098415,7,-0.0872,0,70,0,0,1076,41,0
u409752593,1,0.0,14,0,0,15,106,0,1
u1448623369306398720,0,,0,0,0,0,67,0,0
u1484079482164109314,2,0.030949999999999978,0,15,0,0,172,99,0
u1231762111258251264,4,-0.29625,6,0,0,11,103,0,1
u314284976,0,,0,0,0,0,40,0,0
u1343359252539256832,0,,0,0,1,2,199,0,0
u242551694,1,-0.9162,0,0,0,74,149,0,0
u1664138053,0,-0.6753,0,0,2,2,202,0,1
u1444591604010942468,0,,0,0,0,0,86,0,0
u1412099975073472519,2,-0.88575,1,0,0,2,120,0,0
u30280532,1,0.891,0,0,0,0,330,0,0
u1127718289801711616,0,,0,0,0,0,40,0,0
u112241247,0,,0,0,0,0,43,0,1
u1972519165,6,-0.47459999999999997,4,0,1,12,183,0,1
u1218134791628972033,1,-0.9037,1,0,0,1,152,0,0
u630641976,8,-0.02497777777777778,1,0,4,6,183,0,0
u1420862675744169992,0,,0,0,0,0,241,0,1
u379885436,0,,0,0,0,0,43,0,0
u18834851,7,-0.25160000000000005,4,0,7,134,381,0,1
u1225937368349380608,0,,0,0,0,1,164,0,1
u806790040219066368,1,0.8932,0,0,1,1,126,0,0
u837008119947542528,3,-0.18256666666666665,0,0,1,19,91,0,0
u8996182,0,,1,0,1,1,122,0,1
u1408309359927431168,0,,0,0,1,0,105,0,1
u256599912,0,,0,0,0,0,69,0,0
u1336018451694047234,2,0.012499999999999956,0,0,0,1,89,0,0
u15606203,0,,1,0,4,1,393,0,1
u958729147408310272,1,0.7378,0,0,0,0,175,0,1
u959868384832839681,1,-0.7179,1,0,1,1,205,0,1
u1047649893974605824,0,,0,0,0,0,32,0,0
u745881808303185920,0,,0,0,0,1,138,0,1
u1689862424,1,0.6229,0,0,0,0,240,0,0
u226896124,0,,0,0,0,1,65,0,0
u16033885,0,,0,0,1,0,72,0,0
u163554681,0,,4,0,0,6,125,0,0
u107390224,2,-0.4343,0,0,0,9,116,0,0
u1402484518221533191,0,,0,0,0,0,131,0,0
u3181233348,0,,0,0,0,0,251,0,0
u2970511299,0,,0,0,0,0,203,0,0
u1061431320302231552,0,,0,0,0,0,81,0,0
u1296690703783755776,0,,0,0,0,0,122,0,0
u1439018555874349057,0,,0,0,0,0,93,0,0
u94910867,0,,0,0,0,0,120,0,0
u1282693762385403906,8,-0.1775625,2,0,0,6,334,0,0
u2415812162,8,-0.10763750000000001,1,0,0,1,265,0,0
u82037870,3,-0.1950333333333333,0,0,0,0,211,0,0
u2420439750,0,,0,0,0,0,41,0,1
u758665131110739972,1,0.9119,1,0,2,1,191,0,0
u1239232480043032576,1,-0.9456,2,0,0,2,324,0,1
u1443331897682169856,1,0.9119,0,0,0,1,121,0,0
u113415723,1,0.0,0,0,0,1,275,0,1
u2358534582,0,,0,0,0,2,322,0,1
u780497246391459840,0,,0,0,0,1,301,0,0
u1252240472011046915,0,,0,0,0,0,270,0,1
u1243324016766713856,0,,0,0,2,0,135,0,1
u1303741215519780867,3,0.8675666666666665,2,0,0,6,174,0,1
u1337102993976659968,3,-0.8092333333333332,2,0,2,2,83,0,0
u2293616232,0,,0,0,0,2,163,0,0
u1295424394584621058,0,,0,0,0,3,161,0,0
u1421685130616205320,0,,0,0,0,0,90,0,0
u81368764,0,,0,0,0,0,122,0,0
u1367648970378416129,1,-0.3595,0,0,0,2,207,0,1
u1405968261955588100,2,0.67685,0,0,0,32,220,0,0
u91802252,0,,0,0,3,0,58,0,1
u4831352767,1,0.9447,0,0,0,1,40,0,0
u4528328473,1,-0.0258,2,0,0,4,86,0,1
u1023492902109020160,0,,1,0,1,1,97,0,1
u1460609335671853069,0,,0,0,0,1,80,0,0
u1346946444238925824,7,-0.2510428571428571,0,0,0,0,81,0,1
