id,follower_sent,followers,following,membership,mentioned,post,like,pinned
u2319350382,-0.1652611111111111,184,486,0,4,1014,86,1
u1450005594,-0.1268563176895307,375,415,0,0,1037,74,0
u2378534328,-0.11767357357357357,439,457,0,0,1037,79,0
u1169501036568088577,-0.11965790697674418,536,460,0,0,1019,84,0
u2794693791,0.30862,6,1,0,16,157,0,1
u23576906,-0.5589000000000001,4,2,2,1,106,0,1
u1253989968663457793,-0.9997,1,2,0,2,402,0,0
u171909982,-0.0960741116751269,254,264,1,8,1404,89,1
u1019944707311403008,-0.1394785714285714,303,297,2,42,1544,72,1
u15931637,-0.3367071428571428,42,1,16,74,332,0,1
u459107299,0.4004,7,1,2,121,126,0,0
u1477589766917001222,,0,2,0,0,80,0,0
u3589968563,-0.37225735294117646,98,134,1,0,1080,77,1
u822845135293714433,-0.20959339207048458,299,573,0,59,1182,80,1
u1232606515179204608,-0.17243211009174314,254,218,0,71,1294,83,1
u3439471,-0.05568550724637683,221,558,4,2,1110,76,0
u16659187,-0.15517739726027396,296,594,3,14,1320,62,1
u1642815073,,0,3,1,3,173,0,0
u1220279101228900352,0.07040285714285714,156,464,0,0,1110,80,0
u227701742,-0.3735619047619047,47,505,0,2,1101,82,1
u2242325372,-0.18638838709677416,291,443,10,122,1094,85,1
u949754838732156928,-0.10180736342042754,502,543,0,3,1202,71,0
u45010849,-0.16596587301587298,203,76,6,135,1600,89,1
u1148997425912262656,-0.1979735135135135,229,279,0,10,1171,77,0
u69546188,0.11643333333333335,3,4,1,0,167,0,0
u21114659,-0.15064615384615385,183,729,18,117,1340,52,1
u14647570,-0.08513024691358025,506,616,105,720,1402,91,0
u28656166,-0.2515505617977528,150,212,0,16,996,0,0
u930419292,-0.99558,6,1,0,1,173,0,1
u7426632,-0.2104337837837838,339,597,10,14,1217,61,0
u96791042,-0.04780000000000001,11,6,5,6,61,0,0
u1428029466161389574,,0,4,0,2,322,0,0
u2240322455,0.0350109090909091,187,848,0,5,996,65,0
u20479813,-0.1508767441860465,207,369,33,112,1037,86,0
u47472893,-0.010858730158730163,258,504,1,16,1105,85,0
u311107295,-0.2856086956521739,96,246,5,54,1064,65,0
u881650677797330944,0.031058260869565223,449,692,26,966,1823,88,1
u192589318,-0.2998152173913044,166,629,15,55,1067,71,0
u385185222,-0.36090069444444445,218,611,1,32,1038,81,0
u1479907266652475393,,0,3,0,0,82,0,1
u83091807,-0.6035666666666667,8,7,1,10,95,0,1
u3352671022,-0.09295104166666668,408,518,6,72,1155,88,1
