id,followers,follower_sent,retweet,retweeted,membership,mentioned,post,like,pinned
u23615111,393,-0.2044524752475245,0,405,0,1,1062,86,0
u1165331774190292993,8,0.47675000000000006,9,0,7,74,289,0,0
u1111007023041310725,3,0.5067,0,0,1,17,55,0,1
u1252117386,294,-0.037375816993464005,2,492,0,13,1126,83,1
u1446682206349500422,2,0.83825,1,0,0,6,86,0,1
u719848247163031552,0,,1,0,0,1,221,0,0
u1449049570705555464,0,,0,0,1,0,129,0,0
u304822355,135,-0.03518214285714289,8,370,4,11,1091,84,0
u74042304,117,-0.05233389830508476,0,302,1,23,994,76,1
u19403676,1,0.5994,5,0,0,11,96,0,1
u462207001,12,-0.16377500000000003,1,0,0,4,69,0,0
u2577886615,21,0.11338148148148146,3,59,16,22,1174,71,1
u237270207,79,-0.13692289156626505,9,167,2,45,1043,82,0
u193364583,77,-0.2667675,4,244,3,20,1018,76,0
u1014312247315886092,1,-0.9355,7,0,0,5,149,0,0
u1142961546403950592,62,0.04076461538461537,14,171,11,29,535,69,0
u1433414328498237445,3,-0.7993750000000001,0,68,0,0,181,62,0
u78587111,27,0.11997333333333332,2,147,1,46,977,50,0
u1338939176356556800,37,0.13146279069767444,0,157,0,29,998,84,0
u1353459490478301185,0,,0,0,0,0,202,0,1
u309977000,1,-0.7184,0,0,0,0,183,0,1
u933703443390386176,0,,2,0,0,2,92,0,1
u290663751,5,-0.50004,2,0,1,0,217,0,1
u1166619684290080768,1,0.7096,0,0,0,0,214,0,0
u322814850,0,,0,0,1,0,57,0,0
u28364479,18,-0.1726761904761905,0,2,2,2,1066,59,1
u508650379,42,-0.2864204545454545,0,96,1,1,489,78,0
u1310946306882445313,12,-0.21852857142857143,0,0,0,0,348,8,1
u142652621,45,0.09865416666666667,1,492,0,1,893,84,0
u1449148343775604740,0,,0,0,0,0,109,0,0
u887970043459514368,0,,0,0,1,4,71,0,1
u130978693,0,,0,0,0,0,80,0,1
u989162931714654209,3,-0.08919999999999999,3,0,0,29,146,0,0
u1426208664826875904,1,0.4003,6,0,0,6,93,0,1
u2714158969,1,0.9437,0,0,0,0,32,0,0
u2314422439,1,0.9945,1,0,0,4,84,0,0
u4021650673,48,0.012312500000000002,1,147,0,2,581,88,1
u1124405762,67,-0.22106216216216215,2,9,0,6,1044,76,1
u1338943108831129600,23,-0.230004,0,0,1,10,363,0,1
u482109376,29,0.04803548387096776,1,23,1,6,202,62,0
u635826578,30,0.0034833333333333196,2,78,1,15,343,93,0
u1154426168159932419,2,-0.08429999999999999,4,0,2,6,75,0,1
u702654319691112448,1,0.9825,0,0,1,3,109,0,0
u42769304,0,-0.7702,0,0,0,1,130,0,1
u42587626,0,,0,0,1,1,164,0,0
u2602629047,0,,0,0,0,0,214,0,0
u2353617878,1,0.7717,0,0,2,1,68,0,0
u1243106670349299713,0,,0,0,0,1,167,0,1
u1375223497111310338,1,0.7871,0,0,1,8,296,0,0
u2415748447,1,-0.946,0,0,6,3,45,0,1
u974511929254268931,0,,1,0,1,1,314,0,1
u1459916998389948418,28,0.3281272727272727,0,325,1,5,1138,50,1
u1224264510,0,,0,0,0,0,12,0,0
u937769910255702016,2,0.24600000000000002,0,0,3,1,296,0,0
u1594201,0,,0,0,0,0,280,0,0
u1197941990354112512,1,-0.5966,0,0,0,2,45,0,1
u1331257674529468417,2,0.4939,1,0,1,2,166,0,1
u3670178534,52,-0.15755818181818176,3,209,0,7,1018,81,0
u4536416234,1,0.5859,0,0,0,0,63,0,1
u888743382713065476,3,0.5574,0,0,0,0,200,0,0
u1087363105657626624,2,-0.3033,0,0,1,0,50,0,1
u808421492140740609,1,-0.4404,0,0,2,1,167,0,1
u361825938,10,-0.33898181818181816,25,0,5,51,263,0,1
u1265528062147518464,0,,0,0,0,3,97,0,0
u1275531009367273472,0,,0,0,0,1,121,0,0
u1242375206565486592,0,,0,0,0,1,103,0,0
u3149763392,0,,0,0,0,0,244,0,0
u2891321601,2,0.5057,0,0,0,0,76,0,1
u1469301598551748611,1,-0.875,0,0,0,0,98,0,0
u1479240861019951105,0,,0,0,0,0,40,0,0
u1366853673259778050,0,,0,0,0,1,120,0,0
u2224437935,0,,0,0,0,0,198,0,0
u36918785,3,0.12509999999999996,0,0,3,7,75,0,1
u15261825,0,,0,0,0,1,71,0,1
u85808955,0,,0,0,0,0,81,0,0
u1126210975101853697,1,0.59385,1,48,0,0,729,68,0
u2756263326,1,-0.3695,0,0,2,2,306,0,1
u163715685,0,,0,0,1,0,46,0,0
u2498722776,0,,0,0,0,0,52,0,0
u1253703042580520965,6,-0.62345,0,0,0,6,166,0,0
u1469936197698928644,0,,1,0,0,1,40,0,0
u1148863622967414786,0,,0,0,0,0,24,0,0
u1388928926869753857,5,-0.48722000000000004,0,0,2,5,170,0,1
u1267766897384226822,1,-0.9979,2,0,0,8,123,0,1
u2292526496,2,0.5128333333333334,1,0,3,2,284,0,0
u133655793,1,-0.7222,0,0,1,0,89,0,0
u1040676903580037121,2,0.7393000000000001,0,0,1,0,215,0,0
u1239268162052468738,1,-0.998,0,0,0,1,80,0,0
