id,followers,follower_sent,retweet,retweeted,membership,mentioned,post,like,pinned
u329260641,124,-0.36289047619047626,0,891,0,1,1047,80,1
u785939118,0,,1,0,0,1,171,0,0
u913026317574180865,39,-0.19595609756097562,4,412,1,1,1184,76,1
u991965599780757504,37,-0.0035500000000000093,90,102,1,501,1014,61,0
u27218932,124,-0.24724126984126996,0,643,0,0,979,55,0
u1412178678,66,-0.3060149253731342,3,239,4,87,1140,85,0
u37100077,339,-0.15205718232044194,1,510,2,5,1030,89,0
u77234984,57,-0.23533870967741943,61,349,29,451,1088,22,0
u291874773,2,-0.08755000000000002,0,0,1,0,125,0,1
u720017922089951232,3,0.08126666666666671,0,0,0,0,51,0,0
u383995215,4,0.16377999999999998,27,0,2,41,104,0,1
u43879159,168,-0.13633910614525138,14,24,3,45,1197,44,1
u2797706535,96,-0.08017142857142856,0,680,5,16,1027,95,1
u238190087,24,0.1249741935483871,1,373,0,3,1013,91,0
u2842853434,134,-0.007889510489510478,16,836,12,69,1334,100,0
u963884836162342913,147,-0.053394193548387106,4,555,2,53,1030,95,1
u1003913756223496192,27,-0.07484054054054054,4,150,2,21,1235,83,1
u54593950,0,,0,0,0,0,82,0,1
u5988912,41,-0.11297073170731707,16,233,2,42,1184,90,1
u147994804,40,-0.027754545454545445,176,112,8,232,1353,61,0
u392608775,48,0.08472264150943397,78,613,10,335,1520,92,1
u19837528,97,0.05931775700934577,128,216,42,662,1188,90,0
u1073606435580325889,90,-0.2041463917525772,396,130,10,487,1031,38,1
u121895573,116,-0.2925829059829059,0,664,5,0,984,72,1
u171835605,121,-0.1877467741935484,0,438,3,4,1000,73,0
u1148681431,56,-0.12643793103448278,2,247,2,37,1041,86,1
u26832834,64,-0.14111791044776123,49,86,44,293,1181,74,1
u22495264,76,-0.46680128205128213,8,111,7,141,1076,64,0
u177137867,58,-0.19471967213114752,0,955,3,5,997,37,0
u1440683443998711812,0,,0,0,0,0,88,0,1
u3064320599,114,-0.04628086956521739,52,87,6,207,1212,84,1
u71543212,76,-0.043898717948717934,17,225,2,67,1152,74,1
u51687101,35,0.06372777777777777,2,347,1,18,1014,84,0
u14368074,113,-0.19975932203389835,34,566,26,311,1366,58,1
u14789042,56,0.10188906249999999,1,561,35,49,1126,68,1
u1360403457329487875,6,-0.15651666666666667,3,0,1,33,95,0,1
u1389961515705454597,92,0.04227299999999998,18,203,0,90,1108,90,1
u1111701057225150465,2,0.8492,0,0,1,3,453,0,1
u2162132592,5,-0.74656,1,0,5,2,66,0,1
u211288514,0,,4,0,0,14,214,0,1
u16630098,40,-0.2714904761904762,20,153,20,210,1142,59,1
u1183382935,14,-0.0019928571428571218,9,0,8,18,68,0,0
u264918266,1,-0.9653,0,0,0,0,83,0,0
u787955435340963840,294,-0.07736819672131144,3,312,0,7,1130,90,0
u1214475126315634689,309,-0.16385963302752282,2,729,0,2,1098,81,0
u38897222,97,0.03060566037735847,4,106,4,21,996,92,1
u1409079091278528513,337,-0.1008507082152974,22,137,0,29,1322,71,1
u541741212,331,-0.0963066860465116,0,75,0,10,1100,74,0
u59221014,118,-0.07455537190082645,7,145,5,32,1028,79,0
u582721240,254,-0.13115588235294112,2,133,0,15,1087,73,1
u1480423084838506496,0,,0,0,0,0,87,0,1
u66369181,87,-0.10753999999999997,89,315,19,317,1329,74,0
u1240946574,2,0.3972,0,0,0,0,43,0,0
u49567800,13,0.28959999999999997,12,6,88,34,1036,62,0
u1241855324061122563,0,,1,0,0,1,84,0,0
u348591850,8,-0.20498,0,0,0,1,324,0,1
u142033506,437,-0.12345010845986992,1,302,0,1,1100,84,0
u41359434,1,0.9964,1,0,0,1,160,0,1
u21104818,1,-0.5859,0,0,1,0,80,0,0
u91583544,14,-0.10264999999999998,21,0,1,80,448,0,1
u1336339632011657224,4,-0.07120000000000001,1,142,0,1,378,93,1
u10266432,0,,0,0,0,1,57,0,0
u882977989,0,,0,0,0,0,200,0,0
u18014546,3,-0.04196666666666667,1,0,0,239,169,0,1
u406583979,352,-0.23880509383378007,0,692,0,7,1330,80,0
u762014236893732864,300,-0.1463769230769231,3,613,0,32,1265,0,0
u1301625199843061762,181,-0.15486939890710388,8,13,1,14,1089,68,0
u1094718306525810689,130,-0.09783214285714284,10,47,3,29,1276,75,1
u1731805261,23,-0.18143750000000003,49,0,9,68,279,0,1
u1223600300126240768,1,-0.4014,0,0,1,1,242,0,1
u156611885,86,-0.01681609195402299,11,121,3,26,1095,86,1
u338221257,1,-0.9948,0,0,0,1,328,0,0
u19700387,173,-0.02497071823204421,103,555,88,569,1104,82,1
u894982813853863938,58,-0.4780741935483871,0,422,1,1,1081,74,1
u1170962538047184898,6,0.3034666666666667,0,0,2,2,51,0,1
u234764852,360,-0.16743125,3,95,1,7,1099,65,1
u1303621701016662017,241,-0.20111828793774308,0,24,1,0,1168,87,1
u258161837,3,0.2655,0,0,1,3,72,0,0
u189068159,13,0.054861111111111124,9,48,2,32,1009,47,0
u2750548111,132,-0.041638805970149254,8,162,1,91,1109,85,1
u28657802,66,-0.1810085714285714,60,301,22,81,1333,90,1
u1254097248855699458,0,0.0,1,0,1,1,112,0,1
u87316632,165,-0.2547120689655173,84,553,15,197,1171,92,1
u14344402,4,-0.193725,4,0,0,6,371,0,1
u1326817712895627265,20,-0.005719047619047608,46,448,0,70,1143,80,1
u49979157,0,,1,0,0,2,124,0,1
u1199686509328289793,107,-0.04213247863247861,10,23,6,16,63,93,1
u1962626484,144,-0.13622721518987344,201,82,13,291,1333,73,1
u278937589,5,-0.19496,0,0,7,0,132,0,0
u2431419187,17,0.18494999999999998,15,75,3,98,1120,76,1
u983780245768757250,98,0.08154903846153842,7,77,4,14,178,91,1
u949778836048277504,100,-0.13171881188118814,6,212,0,15,1058,84,1
u18101713,14,-0.1495,2,0,7,4,45,0,0
u138529583,32,0.0851485714285714,0,74,3,42,1000,89,0
u795649,70,-0.070324,5,210,15,33,1089,96,0
u288873285,0,,1,0,2,1,144,0,1
u1165240801,3,-0.23650000000000002,0,0,1,0,83,0,1
u37860248,121,-0.3050656000000002,4,372,14,14,1082,88,0
u1111996925539172352,433,-0.23464074889867834,0,328,0,1,1072,80,0
u3565141937,303,-0.06988562300319491,1,690,0,2,1108,94,0
u1581645991,94,-0.040980952380952354,16,625,9,54,1025,97,1
u761182689277927424,94,-0.13933299999999998,2,19,3,3,1051,80,1
u363341250,91,-0.17443899999999996,55,737,13,126,1139,84,1
u32807399,115,-0.16226528925619835,13,166,8,56,1179,82,0
u35034750,421,-0.1325950338600451,0,182,0,4,1056,85,0
u2896065555,238,-0.10272663934426222,0,148,0,2,951,86,1
u1539678780,216,-0.27485283842794755,0,347,0,2,1089,81,0
u934775377179881473,1,0.5215,0,0,2,7,131,0,1
u2786900559,15,-0.020313333333333333,29,0,15,77,146,0,1
u379923901,83,-0.12309887640449438,66,323,22,170,1084,95,1
u9776092,108,0.10198303571428573,8,141,1,26,1056,91,1
u240815049,49,-0.07881481481481484,0,86,0,0,1164,71,1
u707484470392332288,162,-0.22503099415204675,9,609,2,50,1239,84,1
u50275521,84,-0.10406395348837205,1,501,2,3,1011,71,0
u87473622,126,-0.05195999999999997,28,74,10,346,1323,92,1
u3303039694,3,-0.27626666666666666,0,0,3,1,57,0,1
u170354385,146,-0.21935570469798657,2,578,11,16,1115,84,1
u19159322,1,0.7783,0,0,2,2,48,0,1
u1267125789709012992,0,,0,0,0,0,96,0,1
u15474568,157,-0.1935918238993711,1,772,5,6,1054,84,0
u391485689,4,0.4015000000000001,1,0,6,2,170,0,1
u1586018209,2,0.2213,4,0,0,4,95,0,1
u611906387,43,0.06519333333333335,2,78,3,26,1043,81,0
