id,followers,follower_sent,retweet,retweeted,membership,mentioned,post,like,pinned
u1241742781376352257,99,0.08602110091743122,74,222,4,472,1515,88,1
u32746100,26,-0.06398928571428572,2,235,2,8,1177,64,1
u1019944707311403008,60,-0.07487142857142859,9,292,2,42,1544,72,1
u159968349,20,-0.274655,3,83,1,13,1065,65,1
u953369915544801283,60,0.054816923076923034,1,457,4,3,1008,77,1
u965674672988852225,58,0.15475593220338982,10,297,4,16,565,89,1
u15255245,43,0.193194,2,154,2,9,1173,90,0
u3093242123,21,0.12199545454545455,1,253,0,155,822,89,1
u1085290065490632704,58,0.01133770491803279,2,836,1,4,1269,95,1
u1053276898900525056,5,0.29429999999999995,0,0,1,0,202,0,0
u3228486315,59,0.09026721311475408,15,181,4,60,992,94,1
u12414242,79,0.24913333333333332,1,409,3,4,1000,78,0
u242272620,66,0.1778119402985074,15,71,0,25,219,90,1
u1062061528931819523,74,0.297675,17,151,0,35,445,93,1
u1174247613509636098,37,0.10764000000000004,1,838,1,1,1001,88,0
u273036671,96,0.2694435643564357,1,182,1,19,1049,74,1
u1250977807,11,0.12186363636363637,1,155,3,11,1098,78,0
u270863497,0,,0,0,3,0,165,0,0
u860079234,0,,0,0,0,0,241,0,0
u108621970,46,-0.013526530612244892,23,315,20,343,1115,55,1
u435105622,77,0.06583076923076922,0,541,2,34,1019,85,0
u751844218985865216,125,0.16361307692307686,0,3,0,29,1186,82,0
u845997035845304320,1,0.2023,0,0,0,2,199,0,0
u15802031,1,0.8271,11,0,0,48,232,0,1
u949993477,1,0.8687,0,0,0,0,129,0,0
u1030528615,123,0.22470992366412212,1,452,0,14,887,84,1
u1453320862824808452,24,-0.40414583333333337,2,340,0,10,500,81,1
u1141468930646650881,107,0.48169532710280355,0,490,0,0,958,68,0
u883159967162707969,37,-0.21464500000000003,2,34,0,8,1154,77,1
u25178222,31,-0.140721875,6,325,2,10,1465,58,1
u1121799138239111168,24,0.07617500000000003,13,0,5,20,82,0,1
u1953117589,55,0.12634363636363635,17,658,6,36,1208,91,1
u331297886,118,-0.15662879999999993,0,816,0,0,1101,78,1
u374726395,12,-0.12578333333333339,3,0,11,8,135,0,0
u700806184182239233,45,0.04290217391304349,0,163,1,86,1036,62,0
u1040184649056747520,43,0.1388431818181818,7,129,3,16,531,90,1
