id,follower_sent,followers,following,membership,mentioned,post,like,pinned
u1182012259960143873,0.19649117647058825,190,457,1,1,1030,77,0
u1217638295817146369,0.13988000000000003,123,73,0,11,66,58,1
u1351475153490894852,,0,1,0,0,178,0,0
u879456634413740032,0.3582470588235295,315,386,1,10,1000,65,1
u1417541818657476613,0.5232,1,1,0,33,56,0,0
u1041440667313078274,0.3062943396226415,225,170,0,42,704,91,0
u1009861266725376000,0.9984666666666667,4,7,3,0,212,0,0
u193364583,0.31065777777777775,201,658,3,20,1018,76,0
u3552463032,,0,1,1,0,135,0,1
u714447618777202688,0.23127857142857142,236,310,1,2,1093,77,0
u1303694349008613377,0.9424,1,8,1,1,61,0,1
u892744983211630596,0.7428,2,2,1,1,57,0,1
u1440753277654630407,0.18637608695652177,140,623,1,1,608,78,0
u4215034523,,0,4,0,1,278,0,0
u1304078274428104705,0.6293733333333333,19,1,0,72,315,0,0
u278791721,0.24266216216216213,536,415,8,106,713,94,1
u481762079,-0.12678,5,4,1,8,316,0,0
u164302521,,1,8,0,0,113,0,0
u1197649877443809280,,0,1,0,0,40,0,0
u2865100348,0.30901759259259254,607,663,30,866,1164,90,1
u1353459490478301185,,0,3,0,0,202,0,1
u3335731978,0.19212105263157894,412,364,35,46,1053,92,0
u936331435614593024,0.41754347826086957,98,196,1,3,800,82,0
u794312262328664064,0.5085333333333334,3,3,1,6,41,0,0
u78286458,,2,3,0,3,74,0,1
u798988727079096324,,0,1,0,0,41,0,0
u1462278983182082048,-0.1799181818181818,39,750,0,11,1191,69,0
u170688082,-0.15491341463414635,303,347,3,178,1497,80,1
u1323615224,0.0,1,1,0,2,40,0,0
u1197451389959655425,,0,1,0,0,103,0,0
u1113143442543136769,0.87985,3,4,0,5,99,0,1
u1291280040320172034,0.0466,116,233,0,5,1085,73,0
u150478028,0.60055,7,8,0,3,40,0,1
u28364479,0.3758285714285714,83,383,2,2,1066,59,1
u1404849766534615044,-0.9674,4,5,0,0,42,0,1
u2577886615,0.19009999999999996,103,427,16,22,1174,71,1
u799117652669054976,,1,5,1,0,38,0,0
u1444638001443876864,,0,1,0,0,18,0,0
u989396481282052096,0.3295178571428571,145,227,0,368,1015,83,0
u2897957976,-0.027539999999999995,22,25,1,2,87,0,0
u4021650673,0.09077560975609757,223,588,0,2,581,88,1
u1032594621417828352,,0,1,0,0,96,0,0
u1138829595480924165,0.09686666666666666,6,5,4,3,48,0,0
u1119542262,0.72445,6,1,1,1,45,0,0
u3002171140,,0,1,2,0,200,0,0
u1915277246,0.65735,2,2,0,2,278,0,1
u1440498139908108291,,0,1,0,0,92,0,0
u1399201183793885187,,0,10,0,0,24,0,0
u1130858272674725888,,1,2,0,0,200,0,0
u1220353316254703617,0.610025,4,2,2,0,63,0,1
u1154321940489703424,,1,4,0,0,63,0,0
u568260266,0.9565,2,1,1,0,200,0,0
u1720270718,0.9482,2,4,0,1,204,0,0
u3388504887,,1,1,0,0,185,0,0
u115381796,0.02273333333333332,19,3,4,23,255,0,1
u1287239187427553281,0.19596923076923078,71,137,0,0,291,96,1
u4892051319,0.9835,1,1,3,0,41,0,1
u855487392068841472,0.9993,1,1,2,0,200,0,0
u3245552196,0.463775,17,81,1,0,171,89,0
u4444031112,,1,1,0,0,40,0,0
u1334901012281262080,0.25670714285714286,30,0,0,0,53,19,1
u21449643,0.28295000000000003,2,3,4,22,59,0,1
u18706826,0.9701,1,1,0,5,77,0,1
u3846107957,,0,1,0,0,84,0,0
u1386138976847761411,,0,1,0,0,18,0,0
u3128046078,0.453,3,2,2,4,51,0,0
u888743382713065476,-0.96145,4,6,0,0,200,0,0
u224576141,0.26138,93,269,4,2,262,5,0
