id,followers,membership,mentioned,post,like,pinned
u491423626,1,2,0,200,0,0
u242490547,116,0,68,1014,61,0
u1653171638,29,27,289,402,0,1
u1007582855113969664,103,0,19,207,91,1
u925836293031960576,113,0,22,774,94,0
u4375683675,90,3,90,860,94,1
u1584137959,125,15,176,1281,84,1
u3011623795,88,3,37,1039,96,1
u381440981,201,2,10,607,94,0
u442627272,117,1,5,1032,89,1
u95292788,1,1,0,99,0,1
u422388777,128,20,224,1212,81,1
u613173206,166,2,6,1058,81,1
u483330559,3,0,1,322,0,1
u595982444,180,19,64,1221,86,0
u14238165,322,8,15,923,87,0
u4776752134,190,1,15,669,94,1
u778925259806371840,153,0,29,1005,75,1
u979336309,57,1,5,934,86,0
u252388658,265,0,1,1074,93,0
u279823862,104,1,7,1046,81,0
u59886644,59,0,18,998,74,1
u1951616070,135,5,37,1019,72,1
u456933366,136,2,13,216,75,0
u1091752710041268224,131,0,78,1178,87,0
u1236334913491697669,119,1,19,193,96,1
u857722144809246722,151,1,8,884,94,1
u2448534947,70,3,13,348,96,1
u1689323390,123,3,9,965,81,1
u103095293,170,13,60,1281,77,1
u1094571084152737794,227,0,13,646,80,0
u1130811102063992833,4,1,0,201,0,1
u2753232592,135,5,102,1088,78,1
u113502611,180,7,66,1009,81,1
u18499709,203,8,426,1052,76,0
u365925205,1,5,231,113,0,0
u2446901304,57,0,181,599,87,1
u106789873,62,2,185,1021,78,0
u785099695895015424,109,45,25,1191,99,1
u2821451759,203,10,227,1204,95,1
u1227635429500948483,32,0,4,543,84,1
u1466829387601375233,21,0,27,1176,92,1
u819224053919739904,148,4,94,1140,69,1
u96149284,22,18,241,1247,47,0
u112479899,49,17,121,1437,68,1
u43879159,65,3,45,1197,44,1
u120024640,54,1,212,996,90,0
u733532010,190,3,129,1034,85,0
u2173030009,362,2,24,1034,84,0
u1145412069866364928,173,4,101,1079,72,1
u2356570651,5,2,22,71,0,1
u376618837,160,13,6,1082,93,1
u818892614,82,6,43,1052,86,1
u905399486,184,11,77,1159,85,0
u855482971868069890,167,2,84,997,89,0
u983159285755465728,1,0,4,45,0,0
u380776958,89,0,187,1004,88,1
u1617860070,250,1,50,1081,81,0
u15968273,1,1,3,697,0,1
u32576539,2,1,6,97,0,1
u183407966,144,3,64,1042,80,1
u319941318,163,1,14,1034,92,0
u37492261,115,8,43,1074,85,1
u166024333,1,2,3,76,0,1
u1713511512,182,0,0,1049,81,0
u93957809,69,86,260,1009,2,0
u870698898360107015,1,1,4,203,0,1
u821301248,312,1,15,1010,78,1
u121895573,239,5,0,984,72,1
u3374281312,1,8,0,63,0,1
u60551154,328,2,42,1004,85,1
u1972539134,91,2,21,1264,75,1
u1852084208,2,0,0,201,0,1
u1229413054456254465,28,0,17,132,16,1
