Data_id,aveT,aveC,eATE,ePEHE
0,1.126458645,2.408682823,0.28222406,0.28226653
1,0.87694782,1.963196993,0.08624911,0.08626294
2,0.897933364,2.116333246,0.21839964,0.21841057
3,0.917659521,2.054049492,0.13638961,0.13646708
4,0.887371421,1.99004519,0.10267377,0.10270615
5,0.913613677,2.077227354,0.16361392,0.16361696
6,1.132019281,2.538783312,0.4067642,0.40774018
7,0.90610379,2.052425861,0.14632195,0.1463453
8,0.898551047,2.135928869,0.23737776,0.23750168
9,0.930826008,1.797564507,0.13326156,0.13337387
10,1.112133265,2.677572966,0.5654397,0.56544
11,0.895161271,1.980087757,0.084926486,0.08497499
12,1.065204859,2.518347263,0.45314258,0.45388684
13,0.909159482,2.048298359,0.13913894,0.13914761
14,0.970151424,2.196946859,0.22679555,0.22694114
15,0.937154472,1.87577939,0.06137532,0.06146748
16,0.968595028,2.11494565,0.14635074,0.14640182
17,0.972305179,2.30143261,0.32912785,0.329155
18,0.955987155,2.099236488,0.14324951,0.14330627
19,1.017574191,2.318778038,0.30120385,0.30123132
20,0.955710411,2.114545107,0.1588347,0.15885526
21,0.954954684,1.980379105,0.02542448,0.025548235
22,0.968320429,2.236692429,0.2683723,0.26837885
23,1.005658507,2.255354404,0.24969614,0.24976704
24,0.992797017,2.061869383,0.069072366,0.06912525
25,1.151168227,2.677710295,0.52654207,0.52674294
26,0.898732901,2.064669371,0.16593635,0.165965
27,0.947306097,2.134809971,0.18750417,0.1875227
28,1.114519954,2.665166855,0.5506469,0.5519733
29,0.900311232,1.974501252,0.0741899,0.074437454
30,0.934870064,2.030842543,0.0959723,0.09601488
31,1.158510089,2.705420971,0.5469105,0.5472529
32,1.076553464,2.507635117,0.4310817,0.43179187
33,0.89228636,2.076121807,0.18383557,0.1838392
34,0.964904547,2.109508514,0.14460409,0.14477526
35,0.938819647,2.226653814,0.2878341,0.2878528
36,1.038704753,2.288128138,0.24942338,0.24942715
37,1.00199008,2.272912502,0.27092254,0.27366543
38,0.879814267,2.144101143,0.26428676,0.26432806
39,0.949062824,2.176343441,0.22728062,0.22729562
40,0.947016537,1.99198091,0.044964075,0.04501827
41,1.004255891,2.058364868,0.054108977,0.05413274
42,0.919728935,2.006958961,0.08723009,0.08743452
43,0.887742043,2.071755648,0.1840136,0.184026
44,1.053474784,2.46762538,0.41415036,0.41741672
45,0.970595717,2.016891479,0.046295762,0.04635096
46,1.019216895,2.266785383,0.24756837,0.24761443
47,0.98072952,2.18310976,0.2023803,0.20238279
48,1.054082751,2.503064871,0.44898212,0.44960266
49,0.990502059,2.190687418,0.2001853,0.20088929
50,0.877232492,1.969658256,0.09242582,0.09246536
51,0.898807406,2.133361578,0.23455405,0.23456961
52,0.881911755,2.02755332,0.14564174,0.1456568
53,0.908999443,2.09056282,0.1815635,0.1817359
54,1.156228185,2.674433708,0.5182055,0.5182119
55,0.922413826,2.050343275,0.12792945,0.12797332
56,0.941009998,2.028478861,0.08746874,0.08751536
57,0.954740286,2.215872526,0.26113236,0.26115036
58,0.962719679,2.194199085,0.23147929,0.23148698
59,1.035624623,2.305545568,0.26992095,0.26993358
60,1.153024197,2.697695971,0.5446718,0.5447539
61,1.01272893,2.102120399,0.08939147,0.089461476
62,0.990459442,2.101739883,0.1112802,0.1113866
63,0.898354053,2.073416948,0.17506278,0.17524046
64,1.120297313,2.589138031,0.4688406,0.46913815
65,1.079321861,2.320569277,0.2412473,0.24537307
66,0.925282419,2.093006849,0.16772437,0.16774788
67,0.989784181,2.322907925,0.33312368,0.33314624
68,0.931837678,2.128014088,0.19617641,0.19620635
69,1.04154551,2.327949762,0.28640437,0.28642228
70,1.015354872,2.369149685,0.35379493,0.3538803
71,0.918257236,2.058811665,0.14055455,0.14065808
72,1.182816863,2.708283663,0.5254669,0.5255033
73,0.901043594,2.018874884,0.11783123,0.11936398
74,0.85193187,2.032315731,0.1803838,0.18039724
75,1.04226768,2.287725687,0.24545783,0.24546365
76,0.935500503,2.079051495,0.14355111,0.14356104
77,1.12696898,2.672691584,0.54572284,0.5462408
78,0.916409612,1.986229181,0.06981933,0.070060804
79,1.099563599,2.462458372,0.362895,0.36832604
80,0.934352636,2.160191774,0.22583926,0.22584724
81,1.036972284,2.305959702,0.26898754,0.2689965
82,0.875749648,2.080800772,0.20505083,0.20506638
83,1.075679183,2.399231672,0.3235525,0.32577422
84,1.001354456,2.161639214,0.16028512,0.1611791
85,0.932756484,2.11332655,0.18056989,0.18058048
86,0.799103737,1.968363881,0.16926032,0.16928059
87,0.890266359,1.856446147,0.033820212,0.03390029
88,0.974213123,2.155397892,0.18118489,0.18181407
89,0.964242458,2.114131212,0.1498887,0.14989989
90,0.97945118,2.155764103,0.17631292,0.17636576
91,1.141174078,2.719522953,0.578349,0.57834923
92,1.183954835,2.572187662,0.38823295,0.38847548
93,0.964920402,2.169275522,0.20435524,0.20468003
94,1.044953704,2.083155394,0.03820169,0.03838557
95,0.965997756,2.267873764,0.30187607,0.30187872
96,0.937574029,2.209132671,0.27155864,0.271572
97,0.989732027,2.188114405,0.19838238,0.19839112
98,0.996624053,2.187857151,0.19123316,0.19124614
99,0.91676724,2.045713902,0.12894684,0.1291718
,,,0.139076131,0.139259238
