Data_id,aveT,aveC,eATE,ePEHE
0,0.911369622,1.924447298,0.013077855,0.013318189
1,0.88754952,2.138110876,0.25056136,0.2505771
2,0.929424405,2.044720173,0.11529577,0.11533278
3,0.837533355,2.023122072,0.18558878,0.18559521
4,0.912938654,1.919651389,0.006712735,0.007162667
5,0.906633794,1.904919982,0.001713812,0.002759904
6,0.967328727,1.940137744,0.027190924,0.027368747
7,0.932411015,2.071954966,0.13954389,0.13956483
8,0.907625198,1.98350668,0.07588148,0.075913996
9,0.86526382,1.881837964,0.016574085,0.01677163
10,0.960715473,1.947436213,0.013279319,0.013494751
11,0.855026543,1.957438111,0.10241151,0.102473095
12,0.958067179,2.097972393,0.13990527,0.13993838
13,0.924888611,2.080101013,0.15521258,0.15525526
14,0.914996862,2.005287647,0.09029108,0.09032829
15,0.864171088,1.858087897,0.006083012,0.006616995
16,0.894712508,1.986982107,0.09226984,0.09229362
17,0.937997341,1.984085202,0.04608774,0.04616034
18,0.992789507,2.205307961,0.21251845,0.21254373
19,0.959305167,1.962685347,0.00338006,0.004111288
20,0.943503439,2.078721762,0.13521814,0.13527127
21,1.020456553,2.121167898,0.100711465,0.10073838
22,0.975583196,2.026941538,0.05135846,0.051405735
23,0.876302958,2.051239252,0.17493623,0.17495176
24,0.96286267,2.09482789,0.13196522,0.1319979
25,0.909309447,2.014620066,0.10531056,0.105350785
26,0.929262996,1.914813876,0.01444906,0.014629451
27,0.947363853,2.135083914,0.18772006,0.18774089
28,0.866106093,2.046538591,0.18043232,0.18045431
29,0.94277972,2.089545012,0.14676547,0.14678873
30,0.897265255,2.054768324,0.15750313,0.15753062
31,0.953323066,2.034674168,0.08135104,0.081421524
32,0.826101542,1.929536343,0.1034348,0.103499815
33,0.87756598,2.015484095,0.137918,0.13795668
34,0.882474899,2.013973475,0.13149858,0.13152383
35,0.901678741,2.075861931,0.17418331,0.17420532
36,0.890305698,1.927553415,0.037247777,0.037326198
37,0.92092675,2.019599199,0.09867257,0.098695435
38,0.863435984,1.962623,0.099187076,0.099219404
39,0.977723956,2.026067257,0.0483433,0.048540164
40,0.980575383,2.078915596,0.09834027,0.0983969
41,0.96989733,1.996363282,0.026465893,0.02663499
42,0.952729821,2.016158104,0.0634284,0.063450865
43,0.9468714,2.114604473,0.16773331,0.16774729
44,0.979691148,2.177782536,0.1980915,0.19813256
45,0.971152127,2.122182846,0.15103066,0.15112233
46,0.95990777,2.301120996,0.3412131,0.3412207
47,0.952269912,2.043321371,0.09105134,0.09112958
48,0.863974273,1.907090783,0.04311651,0.043164477
49,0.936674058,2.09884429,0.16217005,0.1621829
50,0.999323428,1.897400022,0.101923406,0.10193984
51,0.975033164,2.095552206,0.12051904,0.12054362
52,0.977127612,2.136417866,0.15929037,0.15946059
53,0.980665684,2.167431831,0.1867662,0.1867855
54,0.95571506,2.1053195,0.1496045,0.14962533
55,0.945182979,2.133374691,0.18819177,0.18822384
56,0.883285701,1.914444327,0.031158686,0.031316433
57,0.924527943,2.130379677,0.20585167,0.20611316
58,0.969453394,2.191963673,0.22250998,0.22252175
59,0.826272607,1.858554959,0.032282412,0.032364853
60,0.890168786,2.099243879,0.2090751,0.2090904
61,0.973833203,2.019324064,0.04549104,0.045552284
62,0.963430643,2.124026299,0.16059566,0.16062349
63,0.922167361,2.091756582,0.16958916,0.16960238
64,0.925380051,1.937650561,0.012270451,0.012485538
65,0.897183776,1.987831593,0.09064782,0.0906927
66,0.874883413,2.016845703,0.14196223,0.14198813
67,0.935786128,2.150789976,0.21500385,0.21501458
68,0.850592673,2.096024752,0.24543208,0.24544401
69,0.955930829,2.083958149,0.1280272,0.12809424
70,0.949457467,1.955876112,0.006418824,0.006776196
71,0.898445904,2.021461725,0.12301576,0.123033784
72,0.918895483,2.048165798,0.12927026,0.12929362
73,0.922175288,2.197393894,0.27521873,0.2752475
74,0.875330389,2.089474201,0.21414393,0.2141701
75,1.000515461,2.147689342,0.147174,0.14719309
76,0.950377762,2.043869019,0.093491316,0.0935373
77,0.997485042,2.059388876,0.061903834,0.061950665
78,0.942146242,1.953791022,0.011644959,0.011854343
79,0.922775328,2.040803671,0.1180284,0.11804805
80,1.010102391,2.053828001,0.04372549,0.043847617
81,0.951371074,2.049163342,0.09779227,0.09783458
82,0.955036938,2.115336418,0.16029942,0.16032133
83,0.811320245,1.873590112,0.062269986,0.06231512
84,0.84714663,1.920033216,0.072886765,0.07292855
85,0.937957883,2.118068695,0.18011075,0.1801582
86,0.969197035,1.939746141,0.029451072,0.02957436
87,0.867567182,1.815170884,0.052396417,0.052473377
88,0.911751568,1.999019504,0.087267995,0.08727832
89,0.964455724,2.133627892,0.16917217,0.16919118
90,0.952420771,1.97409761,0.021676779,0.021854745
91,0.911355853,2.127756119,0.21640033,0.21644399
92,0.940822363,2.010231733,0.06940937,0.06945974
93,0.954174995,2.198903322,0.2447285,0.2447509
94,0.889928341,1.881508827,0.008419573,0.008891686
95,0.882103801,1.953555346,0.071451545,0.071537845
96,0.95454365,1.948509574,0.006034136,0.006227618
97,0.937684059,2.108269691,0.17058569,0.17061871
98,0.944708467,2.111425161,0.16671681,0.16672975
99,0.979194641,2.088754416,0.10955942,0.1095755
,,,0.072568931,0.072487533
