0y1,0y0,0yc0,0yc1,10y1,10y0,10yc0,10yc1,20y1,20y0,20yc0,20yc1,30y1,30y0,30yc0,30yc1,40y1,40y0,40yc0,40yc1,50y1,50y0,50yc0,50yc1,60y1,60y0,60yc0,60yc1,70y1,70y0,70yc0,70yc1,80y1,80y0,80yc0,80yc1,90y1,90y0,90yc0,90yc1,100y1,100y0,100yc0,100yc1,110y1,110y0,110yc0,110yc1,120y1,120y0,120yc0,120yc1,130y1,130y0,130yc0,130yc1,140y1,140y0,140yc0,140yc1,150y1,150y0,150yc0,150yc1,160y1,160y0,160yc0,160yc1,170y1,170y0,170yc0,170yc1,180y1,180y0,180yc0,180yc1,190y1,190y0,190yc0,190yc1,200y1,200y0,200yc0,200yc1,210y1,210y0,210yc0,210yc1,220y1,220y0,220yc0,220yc1,230y1,230y0,230yc0,230yc1,240y1,240y0,240yc0,240yc1,250y1,250y0,250yc0,250yc1,260y1,260y0,260yc0,260yc1,270y1,270y0,270yc0,270yc1,280y1,280y0,280yc0,280yc1,290y1,290y0,290yc0,290yc1
-0.0009952163,-0.000822999,-0.0005103857,-2.9324367e-05,-0.00026105484,0.2978762,0.31187904,0.08439507,0.11253933,0.6762871,0.71485436,0.243884,0.3138364,0.6879275,0.83978003,0.4176904,0.50643474,0.4806828,0.6699138,0.54992235,0.7429744,0.406769,0.6358334,0.7034222,0.96903086,0.27738786,0.760131,0.84299576,1.1327918,0.18366452,0.825824,0.9251204,1.2199303,0.17496943,0.89057803,0.9938244,1.2087,0.13886216,0.79605085,0.9709072,1.1951284,0.14935589,1.0004919,0.97974145,1.1872429,0.07041137,0.90935844,0.9598027,1.2117488,0.057668097,1.0358154,1.0214106,1.2169099,0.025743715,0.9800921,1.0066379,1.2047522,0.021100618,1.0821999,1.0474455,1.177022,0.04911018,1.2067044,1.0596551,1.1457348,0.042527214,1.063808,1.0864542,1.1405839,-9.6993295e-05,0.8682503,1.1158786,1.1387382,0.030740567,1.0040942,1.1447653,1.1355972,-0.00028521658,0.9622692,1.2135746,1.0955095,0.007319879,0.9763748,1.2293298,1.0859544,-0.00028121777,0.87427807,1.2721897,1.125837,-0.00016533118,0.9920325,1.3338424,1.0666515,-0.00029135175,0.905144,1.3388779,1.0497402,-0.0003399495,1.0928582,1.3682444,1.0291419,-0.00073508505,0.9988534,1.4129614,0.990972,-0.00070379477,0.89011955,1.4029462,0.8938571,-0.00043717644,0.9296269,1.3587062,0.8489031,-0.0005417107,0.91132337,1.3532465,0.9334687,-0.00072003005,0.93776464,1.4506257
-0.0008189853,-0.00025418773,-0.0003852044,-0.0003684654,-9.33484e-05,0.3458431,0.32376304,0.048605777,0.15584603,0.773395,0.7283115,0.19698727,0.3809641,0.9242072,0.8365299,0.39873934,0.58232284,0.87562454,0.72189504,0.5546701,0.8319051,1.0069137,0.7439418,0.72703445,1.0784347,1.1020765,0.8039921,0.9139652,1.2598002,1.173392,0.9103935,1.043451,1.3716468,1.2426664,1.0531722,1.1141577,1.3650686,1.225908,0.94368976,1.1241899,1.3603358,1.2932167,1.0909148,1.1169977,1.3559672,1.3202393,1.1234254,1.1231335,1.3905737,1.385258,1.1595399,1.147554,1.3985415,1.3917012,1.070896,1.1933546,1.392921,1.3905773,1.1024517,1.1579893,1.376247,1.4155757,1.1951529,1.1651826,1.3591735,1.3918066,1.0997411,1.1584901,1.3548915,1.367521,1.1995828,1.2009397,1.3631892,1.433349,1.065212,1.2101626,1.3819134,1.3767586,1.1378574,1.2317446,1.3603946,1.406733,1.1840799,1.2356663,1.3671484,1.3655335,0.9303249,1.2756058,1.4325619,1.4144413,1.153133,1.3026375,1.4047455,1.3806384,1.0957232,1.3152183,1.4177103,1.3972924,1.0197533,1.3117312,1.4197438,1.3688,1.0638292,1.3051994,1.3708571,1.3739779,0.9271916,1.2902757,1.3094573,1.4022968,1.1058886,1.2661419,1.2807817,1.3811661,1.0554887,1.246059,1.3876945,1.3767301,1.1609098,1.3568797
-0.0004959512,-0.00034255127,-0.00058909925,-0.00035128422,0.03662748,0.35764942,0.3160052,0.04699909,0.21008703,0.8009359,0.7160018,0.21060625,0.42172468,0.9541577,0.76365834,0.40524095,0.5924719,0.90500337,0.61588985,0.5535264,0.79898894,1.0293872,0.6729675,0.7573906,0.98190093,1.10493,0.5641633,0.9202081,1.1229812,1.1530398,0.57459605,1.0758096,1.2192527,1.1947068,0.57287735,1.1597525,1.2153552,1.167182,0.6188002,1.1739632,1.2079334,1.2362934,0.75546837,1.1372123,1.2006495,1.255668,0.78826153,1.1233623,1.2337317,1.3154838,0.74745005,1.1694267,1.2446437,1.3246434,0.6752767,1.1631163,1.2531734,1.3267044,0.6077415,1.1516637,1.2574522,1.3569435,0.7462975,1.201428,1.257108,1.3400481,0.73918676,1.1968355,1.2673432,1.3219748,0.58890676,1.2250967,1.2934449,1.3916947,0.74277186,1.2224536,1.3333151,1.3370274,0.8501433,1.2670002,1.3382174,1.3705143,0.6667301,1.2780347,1.3609706,1.3302065,0.70867205,1.2649479,1.4222113,1.3806553,0.6417297,1.3346928,1.4114395,1.3526075,0.56412786,1.3256246,1.4286112,1.3776581,0.6757955,1.341677,1.4361573,1.3621048,0.7547522,1.360593,1.402551,1.3685391,0.7874076,1.3186591,1.3321342,1.398984,0.63662094,1.21999,1.3063109,1.3878865,0.7274881,1.2352021,1.4144744,1.3845202,0.7526444,1.3340422
0.0,-0.0005531317,0.0,-0.00035387283,0.0,0.3613663,0.0,0.04945217,0.0,0.78880197,0.0,0.22478291,0.0,0.85675526,0.0,0.42667574,0.0,0.697551,0.0,0.57572407,0.0,0.67007947,0.0,0.75474155,0.0,0.5630224,0.0,0.8919064,0.0,0.4628037,0.0,0.98946625,0.0,0.44397223,0.0,1.0538546,0.0,0.3867071,0.0,1.0535343,0.0,0.3879188,0.0,1.0237087,0.0,0.32008576,0.0,1.0228456,0.0,0.32338712,0.0,1.0633795,0.0,0.30658224,0.0,1.0707605,0.0,0.3135009,0.0,1.1003792,0.0,0.35991642,0.0,1.1230086,0.0,0.36499542,0.0,1.1390626,0.0,0.32861346,0.0,1.1441389,0.0,0.39210618,0.0,1.1837264,0.0,0.3427791,0.0,1.2467198,0.0,0.40136123,0.0,1.2715504,0.0,0.36998007,0.0,1.3106238,0.0,0.39834127,0.0,1.3595196,0.0,0.3998666,0.0,1.3787254,0.0,0.4232729,0.0,1.4018255,0.0,0.41116115,0.0,1.4185764,0.0,0.42814225,0.0,1.4000188,0.0,0.47794098,0.0,1.315563,0.0,0.48414773,0.0,1.3164496,0.0,0.48921007,0.0,1.4343591
0.0,-0.00020563096,0.0,-0.00041344218,0.0,0.33869815,0.0,0.032628126,0.0,0.750551,0.0,0.19391489,0.0,0.9126402,0.0,0.3838781,0.0,0.89245623,0.0,0.5297915,0.0,1.0446241,0.0,0.7127986,0.0,1.1494908,0.0,0.87100244,0.0,1.2114056,0.0,1.0093861,0.0,1.2564551,0.0,1.1137173,0.0,1.2190001,0.0,1.0829756,0.0,1.2735057,0.0,1.0900217,0.0,1.2966509,0.0,1.0902706,0.0,1.3534303,0.0,1.136358,0.0,1.3528383,0.0,1.1411645,0.0,1.3454227,0.0,1.1646852,0.0,1.3656105,0.0,1.1481394,0.0,1.3393619,0.0,1.1462159,0.0,1.3175765,0.0,1.1555504,0.0,1.3705609,0.0,1.2041223,0.0,1.3180803,0.0,1.2439566,0.0,1.3376117,0.0,1.2245374,0.0,1.2963524,0.0,1.2635456,0.0,1.3478054,0.0,1.3048917,0.0,1.3161458,0.0,1.3167738,0.0,1.3313093,0.0,1.2789778,0.0,1.3079996,0.0,1.315482,0.0,1.3065901,0.0,1.3235403,0.0,1.3227124,0.0,1.2482196,0.0,1.2967099,0.0,1.2275879,0.0,1.2783989,0.0,1.3139464
0.0,-0.0006525009,0.0,-0.00020525715,0.0,0.32259592,0.0,0.057118587,0.0,0.7222176,0.0,0.22862607,0.0,0.77473533,0.0,0.4184907,0.0,0.6045934,0.0,0.5575864,0.0,0.58737296,0.0,0.72531205,0.0,0.51670575,0.0,0.8643092,0.0,0.47179893,0.0,0.9786936,0.0,0.49651432,0.0,1.0435106,0.0,0.4770939,0.0,1.0537592,0.0,0.5098562,0.0,1.0305729,0.0,0.45439506,0.0,1.0395092,0.0,0.46332034,0.0,1.0833294,0.0,0.43751127,0.0,1.0759017,0.0,0.433188,0.0,1.0896801,0.0,0.46478477,0.0,1.124575,0.0,0.454767,0.0,1.1064112,0.0,0.40805948,0.0,1.1315159,0.0,0.4630283,0.0,1.1809644,0.0,0.4021939,0.0,1.2406337,0.0,0.4452107,0.0,1.2599187,0.0,0.4057308,0.0,1.2806545,0.0,0.42556903,0.0,1.3460344,0.0,0.40655634,0.0,1.3424672,0.0,0.40747517,0.0,1.3905314,0.0,0.3689799,0.0,1.4159626,0.0,0.37350297,0.0,1.3921202,0.0,0.40569702,0.0,1.3521333,0.0,0.39141947,0.0,1.3454125,0.0,0.3800043,0.0,1.4328994
0.0,-0.00078798784,0.0,0.0009702742,0.0,0.28627715,0.0,0.07919837,0.0,0.6554591,0.0,0.23084858,0.0,0.6790824,0.0,0.4094993,0.0,0.49052173,0.0,0.5416975,0.0,0.4428384,0.0,0.695374,0.0,0.34630543,0.0,0.8329576,0.0,0.28329232,0.0,0.94397384,0.0,0.28907305,0.0,1.0038911,0.0,0.2601702,0.0,0.99883854,0.0,0.28330955,0.0,1.0047463,0.0,0.21536182,0.0,0.96984303,0.0,0.21026611,0.0,1.0071664,0.0,0.17909962,0.0,1.0204291,0.0,0.17171738,0.0,1.0387858,0.0,0.19610012,0.0,1.066455,0.0,0.18527494,0.0,1.0628073,0.0,0.13479578,0.0,1.0894644,0.0,0.17755435,0.0,1.121808,0.0,0.11817108,0.0,1.1719704,0.0,0.15333138,0.0,1.1843492,0.0,0.114434816,0.0,1.2188817,0.0,0.12971622,0.0,1.2712139,0.0,0.11384658,0.0,1.2764624,0.0,0.10752479,0.0,1.2915314,0.0,0.06737105,0.0,1.3116157,0.0,0.07042907,0.0,1.3199553,0.0,0.09732109,0.0,1.2588334,0.0,0.0817434,0.0,1.2484941,0.0,0.065053605,0.0,1.3707261
0.0,-0.0005182055,0.0,-0.00028406896,0.0,0.3424309,0.0,0.051300354,0.0,0.7621115,0.0,0.21065162,0.0,0.8442377,0.0,0.41067106,0.0,0.71075016,0.0,0.5690742,0.0,0.7260529,0.0,0.73291844,0.0,0.68714803,0.0,0.902545,0.0,0.6837909,0.0,1.0192357,0.0,0.7476381,0.0,1.1028768,0.0,0.7543711,0.0,1.0814793,0.0,0.8221344,0.0,1.0846881,0.0,0.7928651,0.0,1.0600076,0.0,0.83148825,0.0,1.1016355,0.0,0.8254112,0.0,1.133744,0.0,0.830037,0.0,1.0582685,0.0,0.87553775,0.0,1.1258763,0.0,0.8723693,0.0,1.1027591,0.0,0.8345052,0.0,1.1650463,0.0,0.91396123,0.0,1.1692858,0.0,0.85655284,0.0,1.221121,0.0,0.91772383,0.0,1.2477306,0.0,0.8811183,0.0,1.2730306,0.0,0.91777104,0.0,1.3220986,0.0,0.90050685,0.0,1.3035103,0.0,0.9144351,0.0,1.2761542,0.0,0.88497144,0.0,1.3403898,0.0,0.89790046,0.0,1.2903438,0.0,0.949838,0.0,1.2398077,0.0,0.95018774,0.0,1.228656,0.0,0.9600848,0.0,1.3402108
0.0,-9.6931006e-05,0.0,-0.0002299916,0.0,0.37977993,0.0,0.05966223,0.0,0.83303666,0.0,0.2037271,0.0,1.009827,0.0,0.4125803,0.0,0.9892495,0.0,0.5713784,0.0,1.1479489,0.0,0.78419936,0.0,1.271271,0.0,0.96550584,0.0,1.3450117,0.0,1.1291837,0.0,1.3982588,0.0,1.2286646,0.0,1.367424,0.0,1.2287395,0.0,1.4467626,0.0,1.2542362,0.0,1.4883738,0.0,1.2992995,0.0,1.5641603,0.0,1.2991347,0.0,1.575132,0.0,1.3104618,0.0,1.5721488,0.0,1.2584465,0.0,1.5959059,0.0,1.3072952,0.0,1.5724852,0.0,1.2781904,0.0,1.5599608,0.0,1.2940834,0.0,1.6366773,0.0,1.308962,0.0,1.586299,0.0,1.319906,0.0,1.6204672,0.0,1.332515,0.0,1.584698,0.0,1.342322,0.0,1.6395351,0.0,1.4266399,0.0,1.6037722,0.0,1.3858298,0.0,1.6355289,0.0,1.3941284,0.0,1.620765,0.0,1.3754438,0.0,1.6263424,0.0,1.3110096,0.0,1.6551361,0.0,1.3085868,0.0,1.638201,0.0,1.2749653,0.0,1.6321036,0.0,1.3636409
0.0,-0.00026350116,0.0,-0.00044275483,0.0,0.3448827,0.0,0.033919908,0.0,0.76214427,0.0,0.20550293,0.0,0.91884935,0.0,0.40112442,0.0,0.8932332,0.0,0.54132324,0.0,1.0391968,0.0,0.72228515,0.0,1.1385111,0.0,0.9001665,0.0,1.1868559,0.0,1.0170106,0.0,1.2261772,0.0,1.1310556,0.0,1.1992683,0.0,1.1292585,0.0,1.2606679,0.0,1.133278,0.0,1.2769756,0.0,1.1327753,0.0,1.337638,0.0,1.107867,0.0,1.3342069,0.0,1.1639636,0.0,1.329212,0.0,1.1537677,0.0,1.3499343,0.0,1.163694,0.0,1.3149412,0.0,1.180665,0.0,1.2819817,0.0,1.2045441,0.0,1.3381939,0.0,1.2104275,0.0,1.272469,0.0,1.2290086,0.0,1.3011193,0.0,1.2462116,0.0,1.251914,0.0,1.2849407,0.0,1.2821293,0.0,1.307556,0.0,1.2405059,0.0,1.284831,0.0,1.2385437,0.0,1.2971699,0.0,1.1986517,0.0,1.3186642,0.0,1.1940958,0.0,1.3042613,0.0,1.2145162,0.0,1.2287564,0.0,1.1751653,0.0,1.2526317,0.0,1.1439278,0.0,1.3120748
